Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:3	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:3	G0689	Ἀράμ·	Aram	Ἀράμ	Aram	Ram;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G0689	Ἀρὰμ	Aram	Ἀράμ	Aram	Ram	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G0284	Ἀμιναδάβ·	Aminadab	Ἀμιναδάβ	Amminadab	Amminadab;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G0284	Ἀμιναδὰβ	Aminadab	Ἀμιναδάβ	Amminadab	Amminadab	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G3476	Ναασσών·	Naassōn	Ναασσών	Nahshon	Nahshon;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G3476	Ναασσὼν	Naassōn	Ναασσών	Nahshon	Nahshon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:4	G4533	Σαλμών·	Salmōn	Σαλμών	Salmon	Salmon;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G4533	Σαλμὼν	Salmōn	Σαλμών	Salmon	Salmon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1003	Βόες	Boes	Βοόζ	Boaz	Boaz	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1537	ἐκ	ek	ἐκ	out from	out of	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G3588	τῆς	tēs	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G4477	Ῥαχάβ·	Rhachab	Ῥαχάβ	Rahab	Rahab;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1003	Βόες	Boes	Βοόζ	Boaz	Boaz	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G5601	Ἰωβὴδ	Iōbēd	Ὠβήδ	Obed	Obed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1537	ἐκ	ek	ἐκ	out from	out of	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G3588	τῆς	tēs	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G4503	Ῥούθ·	Rhouth	Ῥούθ	Ruth	Ruth;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G5601	Ἰωβὴδ	Iōbēd	Ὠβήδ	Obed	Obed	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:5	G2421	Ἰεσσαί·	Iessai	Ἰεσσαί	Jesse	Jesse;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G2421	Ἰεσσαὶ	Iessai	Ἰεσσαί	Jesse	Jesse	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G1138	Δαυὶδ	Dauid	Δαυείδ, Δαυίδ, Δαβίδ	David	David	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G3588	τὸν	ton	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:6	G0935	βασιλέα·	basilea	βασιλεύς	king	king;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
