Igehely	Szósorszám	Strong-szám	Angol szó	Morfológiai kód
Gen.12.8	16	H3068	of the LORD.	
Gen.12.9	1	H87	And Abram	
Gen.12.9	2	H5265	journeyed	[H8799]
Gen.12.9	3	H1980	, going on	[H8800]
Gen.12.9	4	H5265	still	[H8800]
Gen.12.9	5	H5045	toward the south.	
Gen.12.10	1	H7458	And there was a famine	
Gen.12.10	2	H776	in the land	
Gen.12.10	3	H87	: and Abram	
Gen.12.10	4	H3381	went down	[H8799]
Gen.12.10	5	H4714	into Egypt	
Gen.12.10	6	H1481	to sojourn	[H8800]
Gen.12.10	7	H7458	there; for the famine	
Gen.12.10	8	H3515	was grievous	
Gen.12.10	9	H776	in the land.	
Gen.12.11	1	H834	And it came to pass, when	
Gen.12.11	2	H7126	he was come near	[H8689]
Gen.12.11	3	H935	to enter	[H8800]
Gen.12.11	4	H4714	into Egypt	
Gen.12.11	5	H559	, that he said	[H8799]
Gen.12.11	6	H8297	unto Sarai	
Gen.12.11	7	H802	his wife	
Gen.12.11	8	H2009	, Behold	
Gen.12.11	9	H4994	now	
Gen.12.11	10	H3045	, I know	[H8804]
Gen.12.11	11	H3303	that thou art a fair	
Gen.12.11	12	H802	woman	
Gen.12.11	13	H4758	to look upon:	
Gen.12.12	1	H4713	Therefore it shall come to pass, when the Egyptians	
Gen.12.12	2	H7200	shall see	[H8799]
Gen.12.12	3	H559	thee, that they shall say	[H8804]
Gen.12.12	4	H802	, This is his wife	
Gen.12.12	5	H2026	: and they will kill	[H8804]
Gen.12.12	6	H2421	me, but they will save thee alive	[H8762]
Gen.12.13	1	H559	Say	[H8798]
Gen.12.13	2	H4994	, I pray thee	
Gen.12.13	3	H269	, thou art my sister	
Gen.12.13	4	H4616	: that	
Gen.12.13	5	H3190	it may be well	[H8799]
Gen.12.13	6	H5315	with me for thy sake; and my soul	
Gen.12.13	7	H2421	shall live	[H8804]
Gen.12.13	8	H1558	because of thee.	
Gen.12.14	1	H87	And it came to pass, that, when Abram	
Gen.12.14	2	H935	was come	[H8800]
Gen.12.14	3	H4714	into Egypt	
Gen.12.14	4	H4713	, the Egyptians	
Gen.12.14	5	H7200	beheld	[H8799]
Gen.12.14	6	H802	the woman	
Gen.12.14	7	H3966	that she was very	
Gen.12.14	8	H3303	fair.	
Gen.12.15	1	H8269	The princes	
Gen.12.15	2	H6547	also of Pharaoh	
Gen.12.15	3	H7200	saw	[H8799]
Gen.12.15	4	H1984	her, and commended	[H8762]
Gen.12.15	5	H413	her before	
Gen.12.15	6	H6547	Pharaoh	
Gen.12.15	7	H802	: and the woman	
Gen.12.15	8	H3947	was taken	[H8714]
Gen.12.15	9	H6547	into Pharaoh's	
Gen.12.15	10	H1004	house.	
Gen.12.16	1	H3190	And he entreated	
Gen.12.16	2	H87	Abram	
Gen.12.16	3	H3190	well	[H8689]
Gen.12.16	4	H6629	for her sake: and he had sheep	
Gen.12.16	5	H1241	, and oxen	
Gen.12.16	6	H2543	, and he asses	
Gen.12.16	7	H5650	, and menservants	
Gen.12.16	8	H8198	, and maidservants	
Gen.12.16	9	H860	, and she asses	
Gen.12.16	10	H1581	, and camels.	
Gen.12.17	1	H3068	And the LORD	
Gen.12.17	2	H5060	plagued	[H8762]
Gen.12.17	3	H6547	Pharaoh	
Gen.12.17	4	H1004	and his house	
Gen.12.17	5	H1419	with great	
Gen.12.17	6	H5061	plagues	
Gen.12.17	7	H1697	because of	
Gen.12.17	8	H8297	Sarai	
Gen.12.17	9	H87	Abram's	
Gen.12.17	10	H802	wife.	
Gen.12.18	1	H6547	And Pharaoh	
Gen.12.18	2	H7121	called	[H8799]
Gen.12.18	3	H87	Abram	
Gen.12.18	4	H559	, and said	[H8799]
Gen.12.18	5	H6213	, What is this that thou hast done	[H8804]
Gen.12.18	6	H5046	unto me? why didst thou not tell	[H8689]
Gen.12.18	7	H802	me that she was thy wife?	
Gen.12.19	1	H559	Why saidst thou	[H8804]
Gen.12.19	2	H269	, She is my sister	
Gen.12.19	3	H3947	? so I might have taken	[H8799]
Gen.12.19	4	H802	her to me to wife	
Gen.12.19	5	H802	: now therefore behold thy wife	
Gen.12.19	6	H3947	, take	[H8798]
Gen.12.19	7	H3212	her, and go thy way	[H8798]
Gen.12.20	1	H6547	And Pharaoh	
Gen.12.20	2	H6680	commanded	[H8762]
Gen.12.20	3	H582	his men	
Gen.12.20	4	H7971	concerning him: and they sent him away	[H8762]
Gen.12.20	5	H802	, and his wife, and all that he had.	
Gen.13.1	1	H87	And Abram	
Gen.13.1	2	H5927	went up	[H8799]
Gen.13.1	3	H4714	out of Egypt	
Gen.13.1	4	H802	, he, and his wife	
Gen.13.1	5	H3876	, and all that he had, and Lot	
Gen.13.1	6	H5045	with him, into the south.	
Gen.13.2	1	H87	And Abram	
Gen.13.2	2	H3966	was very	
Gen.13.2	3	H3513	rich	[H8804]
Gen.13.2	4	H4735	in cattle	
Gen.13.2	5	H3701	, in silver	
Gen.13.2	6	H2091	, and in gold.	
Gen.13.3	1	H3212	And he went	[H8799]
Gen.13.3	2	H4550	on his journeys	
Gen.13.3	3	H5045	from the south	
Gen.13.3	4	H1008	even to Bethel	
Gen.13.3	5	H4725	, unto the place	
Gen.13.3	6	H168	where his tent	
Gen.13.3	7	H1961	had been	[H8804]
Gen.13.3	8	H8462	at the beginning	
Gen.13.3	9	H1008	, between Bethel	
Gen.13.3	10	H5857	and Hai;	
Gen.13.4	1	H4725	Unto the place	
Gen.13.4	2	H4196	of the altar	
Gen.13.4	3	H6213	, which he had made	[H8804]
Gen.13.4	4	H7223	there at the first	
Gen.13.4	5	H87	: and there Abram	
Gen.13.4	6	H7121	called	[H8799]
Gen.13.4	7	H8034	on the name	
Gen.13.4	8	H3068	of the LORD.	
Gen.13.5	1	H3876	And Lot	
Gen.13.5	2	H1980	also, which went	[H8802]
Gen.13.5	3	H854	with	
Gen.13.5	4	H87	Abram	
Gen.13.5	5	H6629	, had flocks	
Gen.13.5	6	H1241	, and herds	
Gen.13.5	7	H168	, and tents.	
Gen.13.6	1	H776	And the land	
Gen.13.6	2	H5375	was not able to bear	[H8804]
Gen.13.6	3	H3427	them, that they might dwell	[H8800]
Gen.13.6	4	H3162	together	
Gen.13.6	5	H7399	: for their substance	
Gen.13.6	6	H7227	was great	
Gen.13.6	7	H3201	, so that they could	[H8804]
Gen.13.6	8	H3427	not dwell	[H8800]
Gen.13.6	9	H3162	together.	
Gen.13.7	1	H7379	And there was a strife	
Gen.13.7	2	H7462	between the herdmen	[H8802]
Gen.13.7	3	H87	of Abram's	
Gen.13.7	4	H4735	cattle	
Gen.13.7	5	H7462	and the herdmen	[H8802]
Gen.13.7	6	H3876	of Lot's	
Gen.13.7	7	H4735	cattle	
Gen.13.7	8	H3669	: and the Canaanite	
Gen.13.7	9	H6522	and the Perizzite	
Gen.13.7	10	H3427	dwelled	[H8802]
Gen.13.7	11	H776	then in the land.	
Gen.13.8	1	H87	And Abram	
Gen.13.8	2	H559	said	[H8799]
Gen.13.8	3	H3876	unto Lot	
Gen.13.8	4	H1961	, Let there be	[H8799]
Gen.13.8	5	H408	no	
Gen.13.8	6	H4808	strife	
Gen.13.8	7	H7462	, I pray thee, between me and thee, and between my herdmen	[H8802]
Gen.13.8	8	H7462	and thy herdmen	[H8802]
Gen.13.8	9	H582	; for we	
Gen.13.8	10	H251	be brethren.	
Gen.13.9	1	H776	Is not the whole land	
Gen.13.9	2	H6440	before thee	
Gen.13.9	3	H6504	? separate thyself	[H8734]
Gen.13.9	4	H8040	, I pray thee, from me: if thou wilt take the left hand	
Gen.13.9	5	H3231	, then I will go to the right	[H8686]
Gen.13.9	6	H3225	; or if thou depart to the right hand	
Gen.13.9	7	H8041	, then I will go to the left	[H8686]
Gen.13.10	1	H3876	And Lot	
Gen.13.10	2	H5375	lifted up	[H8799]
Gen.13.10	3	H5869	his eyes	
Gen.13.10	4	H7200	, and beheld	[H8799]
Gen.13.10	5	H3603	all the plain	
Gen.13.10	6	H3383	of Jordan	
Gen.13.10	7	H4945	, that it was well watered	
Gen.13.10	8	H6440	every where, before	
Gen.13.10	9	H3068	the LORD	
Gen.13.10	10	H7843	destroyed	[H8763]
Gen.13.10	11	H5467	Sodom	
Gen.13.10	12	H6017	and Gomorrah	
Gen.13.10	13	H1588	, even as the garden	
Gen.13.10	14	H3068	of the LORD	
Gen.13.10	15	H776	, like the land	
Gen.13.10	16	H4714	of Egypt	
Gen.13.10	17	H935	, as thou comest	[H8800]
Gen.13.10	18	H6820	unto Zoar.	
Gen.13.11	1	H3876	Then Lot	
Gen.13.11	2	H977	chose	[H8799]
Gen.13.11	3	H3603	him all the plain	
Gen.13.11	4	H3383	of Jordan	
Gen.13.11	5	H3876	; and Lot	
Gen.13.11	6	H5265	journeyed	[H8799]
Gen.13.11	7	H6924	east	
Gen.13.11	8	H6504	: and they separated themselves	[H8735]
Gen.13.11	9	H376	the one	
Gen.13.11	10	H251	from the other.	
Gen.13.12	1	H87	Abram	
Gen.13.12	2	H3427	dwelled	[H8804]
Gen.13.12	3	H776	in the land	
Gen.13.12	4	H3667	of Canaan	
Gen.13.12	5	H3876	, and Lot	
Gen.13.12	6	H3427	dwelled	[H8804]
Gen.13.12	7	H5892	in the cities	
Gen.13.12	8	H3603	of the plain	
Gen.13.12	9	H167	, and pitched his tent	[H8799]
Gen.13.12	10	H5704	toward	
Gen.13.12	11	H5467	Sodom.	
Gen.13.13	1	H582	But the men	
Gen.13.13	2	H5467	of Sodom	
Gen.13.13	3	H7451	were wicked	
Gen.13.13	4	H2400	and sinners	
Gen.13.13	5	H3068	before the LORD	
Gen.13.13	6	H3966	exceedingly.	
Gen.13.14	1	H3068	And the LORD	
Gen.13.14	2	H559	said	[H8804]
Gen.13.14	3	H87	unto Abram	
Gen.13.14	4	H310	, after	
Gen.13.14	5	H3876	that Lot	
Gen.13.14	6	H6504	was separated	[H8736]
Gen.13.14	7	H5375	from him, Lift up	[H8798]
Gen.13.14	8	H5869	now thine eyes	
Gen.13.14	9	H7200	, and look	[H8798]
Gen.13.14	10	H4725	from the place	
Gen.13.14	11	H6828	where thou art northward	
Gen.13.14	12	H5045	, and southward	
Gen.13.14	13	H6924	, and eastward	
Gen.13.14	14	H3220	, and westward:	
Gen.13.15	1	H776	For all the land	
Gen.13.15	2	H7200	which thou seest	[H8802]
Gen.13.15	3	H5414	, to thee will I give it	[H8799]
Gen.13.15	4	H2233	, and to thy seed	
Gen.13.15	5	H5704	for	
Gen.13.15	6	H5769	ever.	
Gen.13.16	1	H7760	And I will make	[H8804]
Gen.13.16	2	H2233	thy seed	
Gen.13.16	3	H6083	as the dust	
Gen.13.16	4	H776	of the earth	
Gen.13.16	5	H834	: so that	
Gen.13.16	6	H376	if a man	
Gen.13.16	7	H3201	can	[H8799]
Gen.13.16	8	H4487	number	[H8800]
Gen.13.16	9	H6083	the dust	
Gen.13.16	10	H776	of the earth	
Gen.13.16	11	H2233	, then shall thy seed	
Gen.13.16	12	H4487	also be numbered	[H8735]
Gen.13.17	1	H6965	Arise	[H8798]
Gen.13.17	2	H1980	, walk	[H8690]
Gen.13.17	3	H776	through the land	
Gen.13.17	4	H753	in the length	
Gen.13.17	5	H7341	of it and in the breadth	
Gen.13.17	6	H5414	of it; for I will give	[H8799]
Gen.13.18	1	H87	Then Abram	
Gen.13.18	2	H167	removed his tent	[H8799]
Gen.13.18	3	H935	, and came	[H8799]
Gen.13.18	4	H3427	and dwelt	[H8799]
Gen.13.18	5	H436	in the plain	
Gen.13.18	6	H4471	of Mamre	
Gen.13.18	7	H2275	, which is in Hebron	
Gen.13.18	8	H1129	, and built	[H8799]
Gen.13.18	9	H4196	there an altar	
Gen.13.18	10	H3068	unto the LORD.	
Gen.14.1	1	H3117	And it came to pass in the days	
Gen.14.1	2	H569	of Amraphel	
Gen.14.1	3	H4428	king	
Gen.14.1	4	H8152	of Shinar	
Gen.14.1	5	H746	, Arioch	
Gen.14.1	6	H4428	king	
Gen.14.1	7	H495	of Ellasar	
Gen.14.1	8	H3540	, Chedorlaomer	
Gen.14.1	9	H4428	king	
Gen.14.1	10	H5867	of Elam	
Gen.14.1	11	H8413	, and Tidal	
Gen.14.1	12	H4428	king	
Gen.14.1	13	H1471	of nations;	
Gen.14.2	1	H6213	That these made	[H8804]
Gen.14.2	2	H4421	war	
Gen.14.2	3	H854	with	
Gen.14.2	4	H1298	Bera	
Gen.14.2	5	H4428	king	
Gen.14.2	6	H5467	of Sodom	
Gen.14.2	7	H1306	, and with Birsha	
Gen.14.2	8	H4428	king	
Gen.14.2	9	H6017	of Gomorrah	
Gen.14.2	10	H8134	, Shinab	
Gen.14.2	11	H4428	king	
Gen.14.2	12	H126	of Admah	
Gen.14.2	13	H8038	, and Shemeber	
Gen.14.2	14	H4428	king	
Gen.14.2	15	H6636	of Zeboiim	
Gen.14.2	16	H4428	, and the king	
Gen.14.2	17	H1106	of Bela	
Gen.14.2	18	H1931	, which is	
Gen.14.2	19	H6820	Zoar.	
Gen.14.3	1	H2266	All these were joined together	[H8804]
Gen.14.3	2	H6010	in the vale	
Gen.14.3	3	H7708	of Siddim	
Gen.14.3	4	H1931	, which	
Gen.14.3	5	H4417	is the salt	
Gen.14.3	6	H3220	sea.	
Gen.14.4	1	H6240	Twelve	
Gen.14.4	2	H8147		
Gen.14.4	3	H8141	years	
Gen.14.4	4	H5647	they served	[H8804]
Gen.14.4	5	H853		
Gen.14.4	6	H3540	Chedorlaomer	
Gen.14.4	7	H7969	, and in the thirteenth	
Gen.14.4	8	H6240		
Gen.14.4	9	H8141	year	
Gen.14.4	10	H4775	they rebelled	[H8804]
Gen.14.5	1	H6240	And in the fourteenth	
Gen.14.5	2	H702		
Gen.14.5	3	H8141	year	
Gen.14.5	4	H935	came	[H8804]
Gen.14.5	5	H3540	Chedorlaomer	
Gen.14.5	6	H4428	, and the kings	
Gen.14.5	7	H5221	that were with him, and smote	[H8686]
Gen.14.5	8	H7497	the Rephaims	
Gen.14.5	9	H6255	in Ashteroth Karnaim	
Gen.14.5	10	H2104	, and the Zuzims	
Gen.14.5	11	H1990	in Ham	
Gen.14.5	12	H368	, and the Emims	
Gen.14.5	13	H7741	in Shaveh Kiriathaim,	
Gen.14.6	1	H2752	And the Horites	
Gen.14.6	2	H2042	in their mount	
Gen.14.6	3	H8165	Seir	
Gen.14.6	4	H364	, unto Elparan	
Gen.14.6	5	H5921	, which is by	
Gen.14.6	6	H4057	the wilderness.	
Gen.14.7	1	H7725	And they returned	[H8799]
Gen.14.7	2	H935	, and came	[H8799]
Gen.14.7	3	H413	to	
Gen.14.7	4	H5880	Enmishpat	
Gen.14.7	5	H6946	, which is Kadesh	
Gen.14.7	6	H5221	, and smote	[H8686]
Gen.14.7	7	H7704	all the country	
Gen.14.7	8	H6003	of the Amalekites	
Gen.14.7	9	H567	, and also the Amorites	
Gen.14.7	10	H3427	, that dwelt	[H8802]
Gen.14.7	11	H2688	in Hazezontamar.	
Gen.14.8	1	H3318	And there went out	[H8799]
Gen.14.8	2	H4428	the king	
Gen.14.8	3	H5467	of Sodom	
Gen.14.8	4	H4428	, and the king	
Gen.14.8	5	H6017	of Gomorrah	
Gen.14.8	6	H4428	, and the king	
Gen.14.8	7	H126	of Admah	
Gen.14.8	8	H4428	, and the king	
Gen.14.8	9	H6636	of Zeboiim	
Gen.14.8	10	H4428	, and the king	
Gen.14.8	11	H1106	of Bela	
Gen.14.8	12	H1931	(the same	
Gen.14.8	13	H6820	is Zoar	
Gen.14.8	14	H6186	;) and they joined	[H8799]
Gen.14.8	15	H4421	battle	
Gen.14.8	16	H6010	with them in the vale	
Gen.14.8	17	H7708	of Siddim;	
Gen.14.9	1	H3540	With Chedorlaomer	
Gen.14.9	2	H4428	the king	
Gen.14.9	3	H5867	of Elam	
Gen.14.9	4	H8413	, and with Tidal	
Gen.14.9	5	H4428	king	
Gen.14.9	6	H1471	of nations	
Gen.14.9	7	H569	, and Amraphel	
Gen.14.9	8	H4428	king	
Gen.14.9	9	H8152	of Shinar	
Gen.14.9	10	H746	, and Arioch	
Gen.14.9	11	H4428	king	
Gen.14.9	12	H495	of Ellasar	
Gen.14.9	13	H702	; four	
Gen.14.9	14	H4428	kings	
Gen.14.9	15	H2568	with five.	
Gen.14.10	1	H6010	And the vale	
Gen.14.10	2	H7708	of Siddim	
Gen.14.10	3	H875	was full of	
Gen.14.10	4	H875	slimepits	
Gen.14.10	5	H2564		
Gen.14.10	6	H4428	; and the kings	
Gen.14.10	7	H5467	of Sodom	
Gen.14.10	8	H6017	and Gomorrah	
Gen.14.10	9	H5127	fled	[H8799]
Gen.14.10	10	H5307	, and fell	[H8799]
Gen.14.10	11	H7604	there; and they that remained	[H8737]
Gen.14.10	12	H5127	fled	[H8804]
Gen.14.10	13	H2022	to the mountain.	
Gen.14.11	1	H3947	And they took	[H8799]
Gen.14.11	2	H7399	all the goods	
Gen.14.11	3	H5467	of Sodom	
Gen.14.11	4	H6017	and Gomorrah	
Gen.14.11	5	H400	, and all their victuals	
Gen.14.11	6	H3212	, and went their way	[H8799]
Gen.14.12	1	H3947	And they took	[H8799]
Gen.14.12	2	H3876	Lot	
Gen.14.12	3	H87	, Abram's	
Gen.14.12	4	H251	brother's	
Gen.14.12	5	H1121	son	
Gen.14.12	6	H3427	, who dwelt	[H8802]
Gen.14.12	7	H5467	in Sodom	
Gen.14.12	8	H7399	, and his goods	
Gen.14.12	9	H3212	, and departed	[H8799]
Gen.14.13	1	H935	And there came	[H8799]
Gen.14.13	2	H6412	one that had escaped	
Gen.14.13	3	H5046	, and told	[H8686]
Gen.14.13	4	H87	Abram	
Gen.14.13	5	H5680	the Hebrew	
Gen.14.13	6	H7931	; for he dwelt	[H8802]
Gen.14.13	7	H436	in the plain	
Gen.14.13	8	H4471	of Mamre	
Gen.14.13	9	H567	the Amorite	
Gen.14.13	10	H251	, brother	
Gen.14.13	11	H812	of Eshcol	
Gen.14.13	12	H251	, and brother	
Gen.14.13	13	H6063	of Aner	
Gen.14.13	14	H1167	: and these were confederate	
Gen.14.13	15	H1285		
Gen.14.13	16	H87	with Abram.	
Gen.14.14	1	H87	And when Abram	
Gen.14.14	2	H8085	heard	[H8799]
Gen.14.14	3	H251	that his brother	
Gen.14.14	4	H7617	was taken captive	[H8738]
Gen.14.14	5	H7324	, he armed	[H8686]
Gen.14.14	6	H2593	his trained	
Gen.14.14	7	H3211	servants, born	
Gen.14.14	8	H1004	in his own house	
Gen.14.14	9	H7969	, three	
Gen.14.14	10	H3967	hundred	
Gen.14.14	11	H6240	and eighteen	
Gen.14.14	12	H8083		
Gen.14.14	13	H7291	, and pursued	[H8799]
Gen.14.14	14	H1835	them unto Dan.	
Gen.14.15	1	H2505	And he divided	[H8735]
Gen.14.15	2	H5650	himself against them, he and his servants	
Gen.14.15	3	H3915	, by night	
Gen.14.15	4	H5221	, and smote	[H8686]
Gen.14.15	5	H7291	them, and pursued	[H8799]
Gen.14.15	6	H2327	them unto Hobah	
Gen.14.15	7	H8040	, which is on the left hand	
Gen.14.15	8	H1834	of Damascus.	
Gen.14.16	1	H7725	And he brought back	[H8686]
Gen.14.16	2	H7399	all the goods	
Gen.14.16	3	H7725	, and also brought again	[H8689]
Gen.14.16	4	H251	his brother	
Gen.14.16	5	H3876	Lot	
Gen.14.16	6	H7399	, and his goods	
Gen.14.16	7	H802	, and the women	
Gen.14.16	8	H5971	also, and the people.	
Gen.14.17	1	H4428	And the king	
Gen.14.17	2	H5467	of Sodom	
Gen.14.17	3	H3318	went out	[H8799]
Gen.14.17	4	H7125	to meet	[H8800]
Gen.14.17	5	H310	him after	
Gen.14.17	6	H7725	his return	[H8800]
Gen.14.17	7	H5221	from the slaughter	[H8687]
Gen.14.17	8	H3540	of Chedorlaomer	
Gen.14.17	9	H4428	, and of the kings	
Gen.14.17	10	H6010	that were with him, at the valley	
Gen.14.17	11	H7740	of Shaveh	
Gen.14.17	12	H1931	, which	
Gen.14.17	13	H4428	is the king's	
Gen.14.17	14	H6010	dale.	
Gen.14.18	1	H4442	And Melchizedek	
Gen.14.18	2	H4428	king	
Gen.14.18	3	H8004	of Salem	
Gen.14.18	4	H3318	brought forth	[H8689]
Gen.14.18	5	H3899	bread	
Gen.14.18	6	H3196	and wine	
Gen.14.18	7	H3548	: and he was the priest	
Gen.14.18	8	H5945	of the most high	
Gen.14.18	9	H410	God.	
Gen.14.19	1	H1288	And he blessed	[H8762]
Gen.14.19	2	H559	him, and said	[H8799]
Gen.14.19	3	H1288	, Blessed	[H8803]
Gen.14.19	4	H87	be Abram	
Gen.14.19	5	H5945	of the most high	
Gen.14.19	6	H410	God	
Gen.14.19	7	H7069	, possessor	[H8802]
Gen.14.19	8	H8064	of heaven	
Gen.14.19	9	H776	and earth:	
Gen.14.20	1	H1288	And blessed	[H8803]
Gen.14.20	2	H5945	be the most high	
Gen.14.20	3	H410	God	
Gen.14.20	4	H4042	, which hath delivered	[H8765]
Gen.14.20	5	H6862	thine enemies	
Gen.14.20	6	H3027	into thy hand	
Gen.14.20	7	H5414	. And he gave	[H8799]
Gen.14.20	8	H4643	him tithes of all.	
Gen.14.21	1	H4428	And the king	
Gen.14.21	2	H5467	of Sodom	
Gen.14.21	3	H559	said	[H8799]
Gen.14.21	4	H87	unto Abram	
Gen.14.21	5	H5414	, Give	[H8798]
Gen.14.21	6	H5315	me the persons	
Gen.14.21	7	H3947	, and take	[H8798]
Gen.14.21	8	H7399	the goods to thyself.	
Gen.14.22	1	H87	And Abram	
Gen.14.22	2	H559	said	[H8799]
Gen.14.22	3	H4428	to the king	
Gen.14.22	4	H5467	of Sodom	
Gen.14.22	5	H7311	, I have lift up	[H8689]
Gen.14.22	6	H3027	mine hand	
Gen.14.22	7	H3068	unto the LORD	
Gen.14.22	8	H5945	, the most high	
Gen.14.22	9	H410	God	
Gen.14.22	10	H7069	, the possessor	[H8802]
Gen.14.22	11	H8064	of heaven	
Gen.14.22	12	H776	and earth,	
Gen.14.23	1	H518	That I will not	
Gen.14.23	2	H2339	take from a thread	
Gen.14.23	3	H5275	even to a shoelatchet	
Gen.14.23	4	H8288		
Gen.14.23	5	H518	, and that I will not	
Gen.14.23	6	H3947	take	[H8799]
Gen.14.23	7	H559	any thing that is thine, lest thou shouldest say	[H8799]
Gen.14.23	8	H6238	, I have made	
Gen.14.23	9	H87	Abram	
Gen.14.23	10	H6238	rich	[H8689]
Gen.14.24	1	H1107	Save	
Gen.14.24	2	H834	only that which	
Gen.14.24	3	H5288	the young men	
Gen.14.24	4	H398	have eaten	[H8804]
Gen.14.24	5	H2506	, and the portion	
Gen.14.24	6	H582	of the men	
Gen.14.24	7	H1980	which went	[H8804]
Gen.14.24	8	H854	with	
Gen.14.24	9	H6063	me, Aner	
Gen.14.24	10	H812	, Eshcol	
Gen.14.24	11	H4471	, and Mamre	
Gen.14.24	12	H1992	; let them	
Gen.14.24	13	H3947	take	[H8799]
Gen.14.24	14	H2506	their portion.	
Gen.15.1	1	H310	After	
Gen.15.1	2	H1697	these things	
Gen.15.1	3	H1697	the word	
Gen.15.1	4	H3068	of the LORD	
Gen.15.1	5	H1961	came	[H8804]
Gen.15.1	6	H87	unto Abram	
Gen.15.1	7	H4236	in a vision	
Gen.15.1	8	H559	, saying	[H8800]
Gen.15.1	9	H3372	, Fear	[H8799]
Gen.15.1	10	H87	not, Abram	
Gen.15.1	11	H4043	: I am thy shield	
Gen.15.1	12	H3966	, and thy exceeding	
Gen.15.1	13	H7235	great	[H8687]
Gen.15.1	14	H7939	reward.	
Gen.15.2	1	H87	And Abram	
Gen.15.2	2	H559	said	[H8799]
Gen.15.2	3	H136	, Lord	
Gen.15.2	4	H3069	GOD	
Gen.15.2	5	H5414	, what wilt thou give	[H8799]
Gen.15.2	6	H1980	me, seeing I go	[H8802]
Gen.15.2	7	H6185	childless	
Gen.15.2	8	H1121	, and the steward	
Gen.15.2	9	H4943		
Gen.15.2	10	H1004	of my house	
Gen.15.2	11	H1931	is this	
Gen.15.2	12	H461	Eliezer	
Gen.15.2	13	H1834	of Damascus?	
Gen.15.3	1	H87	And Abram	
Gen.15.3	2	H559	said	[H8799]
Gen.15.3	3	H5414	, Behold, to me thou hast given	[H8804]
Gen.15.3	4	H3808	no	
Gen.15.3	5	H2233	seed	
Gen.15.3	6	H1121	: and, lo, one born	
Gen.15.3	7	H1004	in my house	
Gen.15.3	8	H3423	is mine heir	[H8802]
Gen.15.4	1	H1697	And, behold, the word	
Gen.15.4	2	H3068	of the LORD	
Gen.15.4	3	H559	came unto him, saying	[H8800]
Gen.15.4	4	H3423	, This shall not be thine heir	[H8799]
Gen.15.4	5	H3318	; but he that shall come forth	[H8799]
Gen.15.4	6	H4578	out of thine own bowels	
Gen.15.4	7	H3423	shall be thine heir	[H8799]
Gen.15.5	1	H3318	And he brought him forth	[H8686]
Gen.15.5	2	H2351	abroad	
Gen.15.5	3	H559	, and said	[H8799]
Gen.15.5	4	H5027	, Look	[H8685]
Gen.15.5	5	H8064	now toward heaven	
Gen.15.5	6	H5608	, and tell	[H8798]
Gen.15.5	7	H3556	the stars	
Gen.15.5	8	H3201	, if thou be able	[H8799]
Gen.15.5	9	H5608	to number	[H8800]
Gen.15.5	10	H559	them: and he said	[H8799]
Gen.15.5	11	H3541	unto him, So	
Gen.15.5	12	H2233	shall thy seed be.	
Gen.15.6	1	H539	And he believed	[H8689]
Gen.15.6	2	H3068	in the LORD	
Gen.15.6	3	H2803	; and he counted	[H8799]
Gen.15.6	4	H6666	it to him for righteousness.	
Gen.15.7	1	H559	And he said	[H8799]
Gen.15.7	2	H3068	unto him, I am the LORD	
Gen.15.7	3	H3318	that brought thee out	[H8689]
Gen.15.7	4	H218	of Ur	
Gen.15.7	5	H3778	of the Chaldees	
Gen.15.7	6	H5414	, to give	[H8800]
Gen.15.7	7	H776	thee this land	
Gen.15.7	8	H3423	to inherit	[H8800]
Gen.15.8	1	H559	And he said	[H8799]
Gen.15.8	2	H136	, Lord	
Gen.15.8	3	H3069	GOD	
Gen.15.8	4	H4100	, whereby	
Gen.15.8	5	H3045	shall I know	[H8799]
Gen.15.8	6	H3423	that I shall inherit it	[H8799]
Gen.15.9	1	H559	And he said	[H8799]
Gen.15.9	2	H3947	unto him, Take	[H8798]
Gen.15.9	3	H5697	me an heifer	
Gen.15.9	4	H8027	of three years old	[H8794]
Gen.15.9	5	H5795	, and a she goat	
Gen.15.9	6	H8027	of three years old	[H8794]
Gen.15.9	7	H352	, and a ram	
Gen.15.9	8	H8027	of three years old	[H8794]
Gen.15.9	9	H8449	, and a turtledove	
Gen.15.9	10	H1469	, and a young pigeon.	
Gen.15.10	1	H3947	And he took	[H8799]
Gen.15.10	2	H1334	unto him all these, and divided	[H8762]
Gen.15.10	3	H8432	them in the midst	
Gen.15.10	4	H5414	, and laid	[H8799]
Gen.15.10	5	H376	each	
Gen.15.10	6	H1335	piece	
Gen.15.10	7	H7125	one against	[H8800]
Gen.15.10	8	H7453	another	
Gen.15.10	9	H6833	: but the birds	
Gen.15.10	10	H1334	divided	[H8804]
Gen.15.11	1	H5861	And when the fowls	
Gen.15.11	2	H3381	came down	[H8799]
Gen.15.11	3	H6297	upon the carcases	
Gen.15.11	4	H87	, Abram	
Gen.15.11	5	H5380	drove them away	[H8686]
Gen.15.12	1	H8121	And when the sun	
Gen.15.12	2	H935	was going down	[H8800]
Gen.15.12	3	H8639	, a deep sleep	
Gen.15.12	4	H5307	fell	[H8804]
Gen.15.12	5	H87	upon Abram	
Gen.15.12	6	H367	; and, lo, an horror	
Gen.15.12	7	H1419	of great	
Gen.15.12	8	H2825	darkness	
Gen.15.12	9	H5307	fell	[H8802]
Gen.15.13	1	H559	And he said	[H8799]
