Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0122	אֱדֹם	'a.Dom	red stuff
H0123	אֱדוֹם	'e.Dom	Esau
H0124	אֹ֫דֶם	'O.dem	sardius
H0125	אֲדַמְדָּם	'a.dam.Da.met	reddish
H0126	אַדְמָה	'ad.Mah	Admah
H0127	אֲדָמָה	'a.da.Mah	land
H0128	אֲדָמָה	'a.da.Mah	Adamah
H0129	אֲדָמִי	'a.da.Mi	Adami-nekeb
H0130	אֲדֹמִי	'a.do.Mi	Edom
H0131	אֲדֻמִּים	'a.du.Mim	Adummim
H0132	אַדְמוֹנִי	'ad.mo.Ni	red
H0133	אַדְמָתָא	'ad.Ma.ta'	Admatha
H0134	אֶ֫דֶן	'ad.nei-	socket
H0135	אַדָּן	'a.Dan	Addan
H0136	אֲדֹנָי	'a.do.Nai	LORD
H0137	אֲדֹנִי־בֶ֫זֶק	'a.do.Ni	Adoni-bezek
H0138	אֲדֹנִיָּ֫הוּ	'a.do.ni.Yah	Adonijah
H0139	אֲדֹנִי־צֶ֫דֶק	'a.do.ni-	Adoni-zedek
H0140	אֲדֹנִיקָם	'a.Do.ni.Kam	Adonikam
H0141	אֲדֹנִירָם	'a.do.ni.Ram	Adoram
H0142	אָדַר	ne'.da.Ri	be glorious
H0143	אֲדָר	'a.Dar	Adar
H0144	אֲדָר	'a.Dar	Adar
H0145	אֶ֫דֶר	'E.der	robe
H0146	אַדָּר	'a.Da.ra	Addar
H0147	אִדַּר	'i.de.rei-	threshing floor
H0148	אֲדַרְגָּזֵר	'a.dar.ga.ze.rai.Ya	judge
H0149	אַדְרַזְדָּא	'ad.raz.Da'	diligently
H0150	אֲדַרְכֹּן	'a.dar.kho.Nim	dram
H0151	אֲדֹרָם	'a.do.Ram	Adoram
H0152	אַדְרַמֶּ֫לֶךְ	'ad.ra.Me.lekh	Adrammelech
H0153	אֶדְרַע	'ed.Ra'	force
H0154	אֶדְרֶ֫עִי	'ed.Re.'i	Edrei
H0155	אַדֶּ֫רֶת	'a.De.ret	clothing
H0157	אָהֵב	'a.Hav.ta	to love
H0158	אַ֫הַב	'a.ha.Vim	lover
H0159	אֹ֫הַב	'o.ha.Vim	beloved
H0160	אַהֲבָה	'a.ha.va.T	love
H0161	אֹ֫הַד	'O.had	Ohad
H0162	אֲהָהּ	'a.Hah	alas!
H0163	אַהֲוָא	'a.ha.Va'	Ahava
H0164	אֵהוּד	'e.Hud	Ehud
H0165	אֱהִי	'e.Hi	where?
H0166	אָהַל	ya.'a.Hil	to shine
H0167	אָהַל	i.ye.'e.Hal	to pitch
H0168	אֹ֫הֶל	'O.hel	tent
H0169	אֹ֫הֶל	'o.hel	Ohel
H0170	אׇהֳלָה	'o.ho.Lah	Oholah
H0171	אׇהֳלִיאָב	'o.ho.li.'Av	Oholiab
H0172	אׇהֳלִיבָה	'o.ho.li.Vah	Oholibah
H0173	אׇהֳלִיבָמָה	'o.ho.li.va.Mah	Oholibamah
H0174	אָהָל	'a.ha.Lim	aloe
H0175	אַהֲרֹן	'a.ha.Ron	Aaron
H0176	אוֹ	'o	or
H0177	אוּאֵל	'u.'El	Uel
H0178	אוֹב	'o.Vot	medium
H0179	אוֹבִיל	'o.Vil	Obil
H0180	אוּבַל	'u.Val	river
H0181	אוּד	'u.Dim	firebrand
H0182	אוֹדָה	'o.Dot	because
H0183	אָוָה	hit.'a.Vu	to desire
H0184	אָוָה	hit.'a.vi.Tem	to mark
H0185	אַוָּה	'a.Vat	desire
H0186	אוּזַי	'u.Zai	Uzai
H0187	אוּזָל	'u.Zal	Uzal
H0188	אוֹי	'o-	woe!
