Strong-szám	Szótő	Kiejtés	Rövid jelentés
H3501	יִתְרָא	yit.Ra'	Jether
H3502	יִתְרָה	yit.Rah	abundance
H3503	יִתְרוֹ	yit.Ro	Jethro
H3504	יִתְרוֹן	yit.Ron	advantage
H3505	יִתְרִי	yit.Ri	Ithrites
H3506	יִתְרָן	yit.Ran	Ithran
H3507	יִתְרְעָם	yit.re.'Am	Ithream
H3508	יֹתֶ֫רֶת	yo.Te.ret	lobe
H3509	יְתֵת	ye.Tet	Jetheth
H3510	כָּאַב	ko.'a.Vim	to pain
H3511	כְּאֵב	ke.'Ev	pain
H3512	כָּאֶה	ka.'im	disheartened
H3513	כָּבֵד	kha.ve.Dah	to honor
H3514	כֹּ֫בֶד	koed-	heaviness
H3515	כָּבֵד	kha.Ved	heavy
H3516	כָּבֵד	ka.Ved	liver
H3517	כְּבֵדֻת	kh.ve.Dut	heaviness
H3518	כָּבָה	yikh.Beh	to quench
H3519	כָּבוֹד	ka.Vod	glory
H3520	כְּבוּדָּ֯ה	ke.vu.Dah	riches
H3521	כָּבוּל	ka.Vul	Cabul
H3522	כַּבּוֹן	kha.Bon	Cabbon
H3523	כָּבִיר	ke.Vir	quilt
H3524	כַּבִּיר	Ka.bir	mighty
H3525	כֶּ֫בֶל	Ke.vel	fetter
H3526	כָּבַס	ki.Bes	to wash
H3527	כָּבַר	yakh.Bir	to multiply
H3528	כְּבָר	ke.Var	already
H3529	כְּבָר	ke.Var	Chebar
H3530	כִּבְרָה	kiv.rat-	distance
H3531	כְּבָרָה	ke.va.Rah	sieve
H3532	כֶּ֫בֶשׂ	ke.va.Sim	lamb
H3533	כָּבַשׁ	khiv.Shu.	to subdue
H3534	כֶּ֫בֶשׁ	Khe.vesh	footstool
H3535	כִּבְשָׂה	kiv.Sot	ewe-lamb
H3536	כִּבְשָׁן	kiv.Shan	kiln
H3537	כַּד	kha.de	jar
H3538	כְּדַב	khid.Vah	false
H3539	כַּדְכֹּד	kad.Khod	ruby
H3540	כְּדׇרְלָעֹמֶר	ke.da.re.la.'O.mer	Chedorlaomer
H3541	כֹּה	koh	thus
H3542	כָּה	kah	thus
H3543	כָּהָה	tikh.Hei.na	to grow dim
H3544	כֵּהֶה	khe.Hah	faint
H3545	כֵּהָה	ke.Hah	easing
H3546	כְּהַל	ka.Hel	be able
H3547	כָּהַן	kha.ha.no	to minister
H3548	כֹּהֵן	kho.Hen	priest
H3549	כָּהֵן	ka.ha.nai.Ya	priest
H3550	כְּהֻנָּה	ke.hu.Nah	priesthood
H3552	כּוּב	Khuv	Libya
H3553	כּוֹבַע	Khoa'	helmet
H3554	כָּוָה	ti.ka.Vei.nah	to burn
H3555	כְּוִיָּה	ke.vi.Yah	burning
H3556	כּוֹכָב	ko.kha.Vim	star
H3557	כּוּל	khil.kal.Ti	to sustain
H3558	כּוּמָז	khu.Maz	bracelet
H3559	כּוּן	na.Khon	to establish
H3560	כּוּן	Kun	Berothah
H3561	כַּוָּן	ka.va.Nim	bun
H3562	כּוֹנַנְיָ֫הוּ	ko.nan.ya.hu	Conaniah
H3563	כּוֹס	Khos	cup
H3564	כּוּר	Kur	furnace
H3565	בּוֹר עָשָׁן	Vor-	Bor-ashan
H3566	כּ֫וֹרֶשׁ	Kho.resh	Cyrus
H3567	כּ֫וֹרֶשׁ	Kho.resh	Cyrus
H3568	כּוּשׁ	Kush	Cush
H3569	כּוּשִׁי	ku.Shit	Cush
H3570	כּוּשִׁי	ku.Shi	Cushi
H3572	כּוּשָׁן	khu.Shan	Cushan
H3573	כּוּשַׁן רִשְׁעָתַ֫יִם	ku.Shan	Cushan-rishathaim
H3575	כּוּתָה	ku.ta	Cuth|Cuthah
H3576	כָּזַב	kha.Zev	to lie
H3577	כָּזָב	ke.za.Vim	lie
H3578	כֹּֽזֵבָ֗א	kho.ze.Va'	Achzib
H3579	כָּזְבִי	ka.ze.Bi	Cozbi
H3580	כְּזִיב	kh.Ziv	Achzib
H3581	כֹּחַ	ko.Cha	strength
H3582	כָּחַד	ne.kha.Ched	to hide
H3583	כָּחַל	ka.Chalt	to paint
H3584	כָּחַשׁ	te.kha.Chesh	to deceive
H3585	כַּ֫חַשׁ	kha.cha.Sh	lie
H3586	כֶּחָשׁ	ke.cha.Shim	deceptive
H3587	כִּי	ki-	branding
H3588	כִּי	ki-	for
H3589	כִּיד	ki.D	ruin
H3591	כִּידוֹן	ki.Don	javelin
H3592	כִּידֹן	ki.Don	Nacon
H3593	כִּידוֹר	ki.Dor	battle
H3594	כִּיּוּן	ki.Yun	Kiyyun
H3595	כִּיֹּר	ki.Yor	basin
H3596	כִּילַי	khi.Lai	rogue
H3597	כֵּילַפּוֹת	khei.la.Pot	axe
H3598	כִּימָה	khi.Mah	Pleiades
H3599	כִּיס	khi.se.	purse
H3600	כִּיר	khi.Ra.yim	stove
H3601	כִּישׁוֹר	ki.Shor	distaff
H3602	כָּ֫כָה	kha.Khah	thus
H3603	כִּכָּר	ki.Kar	talent
H3604	כִּכֵּר	ka.ke.Rin	talent
H3605	כֹּל	kol-	all
H3606	כֹּל	Khol	all
H3607	כָּלָא	i.yi.ka.Le'	to restrain
H3608	כֶּ֫לֶא	Ke.le'	prison
H3609	כִּלְאָב	khil.'Av	Chileab
H3610	כִּלְאַיִם	kil.'A.yim	two
H3611	כֶּ֫לֶב	ke.lev	dog
H3612	כָּלֵב	ka.Lev	Caleb
H3613	כָּלֵב אֶפְרָתָה	kha.Lev	Caleb_Ephrathah
H3614	כָּלִבִּי	khal.vov	Caleb
H3615	כָּלָה	y.khu.Lu	to end
H3616	כָּלֶה	kha.Lot	longing
H3617	כָּלָה	ka.Lah	consumption
H3618	כַּלָּה	ka.la.T	daughter-in-law
H3619	כְּלוּב	kh.Luv	basket
H3620	כְּלוּב	khe.Luv	Chelub
H3621	כְּלוּבָ֑י	ke.lu.Vai	Caleb
H3622	כְּלוּהוּ	ke.la.hai	Cheluhi
H3623	כְּלוּלָה	ke.lu.lo.Ta.yi	betrothal
H3624	כֶּ֫לַח	Khe.lach	vigor
H3625	כֶּ֫לַח	Ka.lach	Calah
H3626	כׇּל־חֹזֶה	kol-	Col-hozeh
H3627	כְּלִי	ke.lei-	article|utensil
H3628	כְּלִיא	ke.li'	prison
H3629	כִּלְיָה	ke.la.Yot	kidney
H3630	כִּלְיוֹן	khil.yOn	Chilion
H3631	כִּלָּיוֹן	khil.Yon	failing
H3632	כָּלִיל	ke.Lil	entire
H3633	כַּלְכֹּל	khal.Kol	Calcol
H3634	כָּלַל	ka.Lu	to perfect
H3635	כְּלַל	shakh.Li.lu	to complete
H3636	כְּלָ֑ל	khe.Lal	Chelal
H3637	כָּלַם	ti.ka.Lem	be humiliated
H3638	כִּלְמָד	kil.Mad	Chilmad
H3639	כְּלִמָּה	ke.li.ma.T	shame
H3640	כְּלִמּוּת	khe.li.Mut	shame
H3641	כַּלְנֵ֑ה	khal.Neh	Calneh
H3644	כְּמוֹ	khe.Mo	like
H3645	כְּמוֹשׁ	ke.Mo.osh	Chemosh
H3646	כַּמֹּן	kha.Mon	cummin
H3647	כָּמַס	ka.Mus	to store up
H3648	כָּמַר	nikh.me.Ru	to grow warm
H3649	כֹּ֫מֶר	ke.ma.Rim	pagan priest
H3650	כִּמְרִיר	kim.Ri.rei	darkness
H3651	כֵּן	Khen	so
H3652	כֵּן	Khen	thus
H3653	כֵּן	ka.Ne.	stand
H3654	כֵּן	ki.Nim	gnat
H3655	כָּנָה	'a.kha.Neh	to flatter
H3656	כַּנֶּה	kha.Neh	Calneh
H3658	כִּנּוֹר	ki.Nor	lyre
H3659	כׇּנְיָהוּ	ka.ne.Ya.hu	Jehoiachin
H3660	כְּנֵ֫מָא	ke.Ne.ma'	thus
H3662	כְּנָנִי	khe.Na.ni	Chenani
H3663	כְּנַנְיָ֫הוּ	khe.nan.Ya.hu	Chenaniah
H3664	כָּנַס	kh.nOs	to gather
H3665	כָּנַע	yi.ka.Na'	be humble
H3666	כִּנְעָה	kin.'a.Te	bundle
H3667	כְּנַ֫עַן	khe.Na.'an	Canaan
H3668	כְּנַעֲנָה	ke.na.'a.Nah	Chenaanah
H3669	כְּנַעֲנִי	ke.na.'a.Ni	Canaan
H3670	כָּנַף	yi.ka.Nef	to corner
H3671	כָּנָף	ka.Naf	wing
H3672	כִּנֶּ֫רֶת	ki.Ne.ret	Galilee_Sea
H3673	כְּנַשׁ	mikh.Nash	to gather
H3674	כְּנָת	ke.na.vo.to	associate
H3675	כְּנָת	ke.na.va.te.	associate
H3676	כֵּס	kes	throne
H3677	כֶּ֫סֶא	Ke.se'	full moon
H3678	כִּסֵּא	ki.Se'	throne
H3679	כַּשְׂדָּ֑י	kas.da.ya	Chaldea
H3680	כָּסָה	y.khu.Su	to cover
H3681	כָּסוּי	ke.Sui	covering
H3682	כְּסוּת	ke.Sut	covering
H3683	כָּסַח	ke.su.Chim	to cut
H3684	כְּסִיל	khe.si.Lim	fool
H3685	כְּסִיל	ke.Sil	Orion
H3686	כְּסִיל	khe.Sil	Chesil
H3687	כְּסִילוּת	Ke.si.lut	stupidity
H3688	כָּסַל	yikh.Sa.lu	be stupid
H3689	כֶּ֫סֶל	ke.sa.Lim	loin
H3690	כִּסְלָה	kis.la.Te.	confidence
H3691	כִּסְלֵו	kis.lev	Chislev
H3692	כִּסְלוֹן	kis.Lon	Chislon
H3693	כְּסָלוֹן	khe.sa.Lon	Chesalon
H3694	כְּסֻלּוֹת	ke.su.Lot	Chesulloth
H3695	כַּסְלֻחִים	kas.lu.Chim	Casluhim
H3696	כִּסְלֹת תָּבֹר	kis.Lot	Chesulloth
H3697	כָּסַם	ka.Som	to shear
H3698	כֻּסֶּ֫מֶת	k.ku.Se.met	rye
H3699	כָּסַס	ta.Kho.su	to compute
H3700	כָּסַף	nikh.Sof	to long
H3701	כֶּ֫סֶף	Ke.sef	silver
H3702	כְּסַף	khas.Pa	silver
H3703	כָּסִפְיָא	kha.sif.Ya'	Casiphia
H3704	כֶּ֫סֶת	ke.sa.Tot	amulet
H3705	כְּעַן	ke.'An	now
H3706	כְּעֶ֫נֶת	khe.'E.net	now
H3707	כָּעַס	hakh.'i.S	to provoke
H3708	כַּ֫עַס	Ka.'as	vexation
H3709	כַּף	khaf-	palm
H3710	כֵּף	khe.Fim	rock
H3711	כָּפָה	yikh.peh-	to subdue
H3712	כִּפָּה	khi.pa.T	branch
H3713	כְּפוֹר	ke.For	frost
H3714	כָּפִיס	kha.Fis	rafter
H3715	כְּפִיר	ke.Fir	lion
H3716	כְּפִירָה	ke.fi.Rah	Chephirah
H3717	כָּפַל	kha.fal.Ta	to double
H3718	כֶּ֫פֶל	khif.La.yim	double
H3719	כָּפַן	ka.fe.Nah	to hunger
H3720	כָּפָן	kha.Fan	famine
H3721	כָּפַף	ke.fu.Fim	to bend
H3722	כָּפַר	kha.far.Ta	to cover
H3723	הָעַמּוֹנִי	khe.Far	Chephar-ammoni
H3724	כֹּ֫פֶר	Ko.fer	pitch
H3725	כִּפֻּרִים	ki.pu.Rim	atonement
H3726	הָעַמּוֹנִי	'a.mo.ni	Chephar-ammoni
H3727	כַּפֹּרֶת	kha.Po.ret	mercy seat
H3728	כָּפַשׁ	hikh.pi.Sha.	to cower
H3729	כְּפַת	kha.pa.Tah	to bind
H3730	כַּפְתּוֹר	kaf.to.Rei.	capital
H3731	כַּפְתּוֹר	kaf.Tor	Crete
H3732	כַּפְתֹּרִי	kaf.to.Rim	Caphtorim
H3733	כָּר	Khar	saddle
H3734	כֹּר	ko.Rim	kor
H3735	כְּרָא	'et.ke.ri.Yat	be distressed
H3736	כרבל	me.khur.Bal	be clothed
H3737	כַּרְבְּלָא	khar.be.la.te.	helmet
H3738	כָּרָה	i.yikh.ru-	to pierce
H3739	כָּרָה	tikh.Ru	to trade
H3740	כֵּרָה	ke.Rah	feast
H3741	כָּרָה	ke.Rot	meadow
H3742	כְּרוּב	ke.ru.Vim	cherub
H3743	כְּרוּב	ke.Ruv	Cherub
H3744	כָּרוֹז	kha.ro.Za	herald
H3745	כְּרַז	hakh.Ri.zu	to proclaim
H3746	כָּרִי	ka.Ri	Cherethite
H3747	כְּרִית	ke.Rit	Cherith
H3748	כְּרִיתוּת	ke.ri.Tut	divorce
H3749	כַּרְכֹּב	kar.Ko	ledge
H3750	כַּרְכֹּם	khar.Kom	saffron
H3751	כַּרְכְּמִישׁ	khar.ke.Mish	Carchemish
H3752	כַּרְכַּס	khar.Kas	Carkas
H3753	כִּרְכָּרָה	kir.ka.Rot	dromedary
H3754	כֶּרֶם	Ka.rem	vineyard
H3755	כָּרַם	kho.re.Mim	to tend vineyards
H3756	כַּרְמִי	khar.Mi	Carmi
H3757	כַּרְמִי	kar.Mi	Carmi
H3758	כַּרְמִיל	khar.Mil	crimson
H3759	כַּרְמֶל	kar.Mel	plantation
H3760	כַּרְמֶל	kar.Mel	Carmel
H3761	כַּרְמְלִי	kar.me.Lit	Carmel
H3763	כְּרָ֑ן	khe.Ran	Cheran
H3764	כׇּרְסֵא	ka.re.Se'	throne
H3766	כָּרַע	ka.Ra'	to bow
H3767	כֶּ֫רַע	ke.ra.'A	leg
H3768	כַּרְפַּס	kar.Pas	fine linen
H3769	כָּרַר	me.khar.Ker	to dance
H3770	כְּרֵשׂ	khe.re.S	belly
H3771	כַּרְשְׁנָא	kar.she.Na'	Carshena
H3772	כָּרַת	yi.ka.Ret	to cut
H3773	כָּרֻתָה	ke.ru.Tot	beam
H3774	כְּרֵתִי	ke.re.Ti	Cherethites
H3775	כֶּ֫שֶׂב	ke.sa.Vim	sheep
H3776	כִּשְׂבָּה	kis.Bah	lamb
H3777	כֶּ֫שֶׂד	Ke.sed	Chesed
H3778	כַּשְׂדִּים	kas.Dim	Chaldea
H3779	כַּשְׂדַּי	khas.da.'e	Chaldean
H3780	כָּשָׂה	ka.Si.ta	be sated
H3781	כַּשִּׁיל	kha.Shil	axe
H3782	כָּשַׁל	kha.she.Lu	to stumble
H3783	כִּשָּׁלוֹן	khi.sha.Lon	stumbling
H3784	כָּשַׁף	m.kha.she.Fim	to practice sorcery
H3785	כֶּ֫שֶׁף	khe.sha.Fei.	sorcery
H3786	כַּשָּׁף	ka.sha.fei.	sorcerer
H3787	כָּשֵׁר	kha.Sher	to succeed
H3788	כִּשְׁרוֹן	khish.Ron	skill
H3789	כָּתַב	ke.To	to write
H3790	כְּתַב	ke.Ta.vu	to write
H3791	כְּתָב	kh.Tav	writing
H3792	כְּתָב	kh.Tav	inscription
H3793	כְּתֹ֫בֶת	khe.Toet	imprint
H3794	כִּתִּי	ki.Tim	Kittim
H3795	כָּתִית	ka.Tit	beaten
H3796	כֹּ֫תֶל	ka.te.Le.	wall
H3797	כְּתַל	khut.lai.Ya	wall
H3798	כִּתְלִישׁ	khit.Lish	Chitlish
H3799	כָּתַם	nikh.Tam	be stained
H3800	כֶּ֫תֶם	Khe.tem	gold
H3801	כֻּתֹּ֫נֶת	ka.te.Not	tunic
H3802	כָּתֵף	ka.Tef	shoulder
H3803	כָּתַר	ki.te.Ru	to surround
H3804	כֶּ֫תֶר	Khe.ter	crown
H3805	כֹּתֶ֫רֶת	kho.ta.Rot	capital
H3806	כָּתַשׁ	tikh.to.osh-	to pound
H3807	כָּתַת	kha.Tut	to crush
H3808	לֹא	lo'	not
H3809	לָא	la'	not
H3810	לֹא דְבָר	Lo	Lo-debar
H3811	לָאָה	i.yil.'U	be weary
H3812	לֵאָה	le.'Ah	Leah
H3814	לָאט	la.ha.tei.	secret
H3815	לָאֵל	la.'El	Lael
H3816	לְאֹם	le.'u.Mim	people
H3817	לְאֻמִּ֑ים	le.'u.Mim	Leummim
H3818	לֹא עַמִּי	lo'	Lo-ammi
H3819	לֹא רֻחָ֫מָה	lo'	Lo-ruhamah
H3820	לֵב	li.B	heart
H3821	לֵב	li.B	heart
H3822	לְבָאוֹת	le.va.'ot	Lebaoth
H3823	לִבֵּב	te.la.Bev	to bake
H3824	לֵבָב	le.va.V	heart
H3825	לְבַב	li.Va	heart
H3826	לִבָּה	li.bo.Ta	heart
H3827	לַבָּה	la.bat-	flame
H3828	לְבֹנָה	le.vo.Nah	frankincense
H3829	לְבוֹנָה	l.vo.Nah	Lebonah
H3830	לְבוּשׁ	le.vu.Sh	clothing
H3831	לְבוּשׁ	le.vu.shei.	garment
H3832	לָבַט	yi.la.Vet	to ruin
H3833	לָבִיא	la.Vi'	lion
H3834	לְבִבָה	le.vi.Vot	cake
H3835	לָבַן	nil.be.Nah	to make bricks
H3836	לָבָן	la.Van	white
H3837	לָבָן	la.Van	Laban
H3838	לְבָנָא	le.va.Nah	Lebanah
H3839	לִבְנֶה	liv.Neh	poplar
H3841	לִבְנָה	liv.Nah	Libnah
H3842	לְבָנָה	le.va.Nah	moon
H3843	לְבֵנָה	le.ve.Nim	brick
H3844	לְבָנוֹן	le.va.Non	Lebanon
H3845	לִבְנִי	liv.Ni	Libni
H3846	לִבְנִי	liv.Ni	Libni
H3847	לָבֵשׁ	i.yal.bi.She	to clothe
H3848	לְבֵשׁ	yil.Bash	to clothe
H3849	לֹג	Log	log
H3850	לֹד	lod	Lod
H3851	לַ֫הַב	La.hav	flame
H3852	לֶהָבָה	le.ha.Vah	flame
H3853	לְהָבִים	le.ha.Vim	Lehabim
H3854	לַ֫הַג	La.hag	study
H3855	לָ֑הַד	La.had	Lahad
H3856	לָהַה	Te.lah	to languish
H3857	לָהַט	te.la.Het	to kindle
H3858	לַ֫הַט	La.hat	flame
H3859	לָהַם	mit.la.ha.Mim	to swallow
H3860	לָהֵן	la.Hen	therefore
H3861	לָהֵן	la.Hen	except
H3862	לַהֲקָה	la.ha.Kat	company
H3863	לוּ	lu	if
H3864	לוּב	lu.Vim	Libya
H3865	לוּד	Lud	Lud
H3866	לוּדִי	lu.Dim	Ludim
H3867	לָוָה	yi.la.Veh	to join
H3868	לוּז	ne.lo.Zim	be devious
H3869	לוּז	Luz	almond
H3870	לוּז	luz	Bethel
H3871	לוּחַ	lu.Chot	tablet
H3872	לוּחִית	lu.Chit	Luhith
H3873	הַלּוֹחֵשׁ	ha.lo.Chesh	Hallohesh
H3874	לוּט	i.Ya.let	to wrap
H3875	לוֹט	Lot	covering
H3876	לוֹט	Lot	Lot
H3877	לוֹטָן	lo.Tan	Lotan
H3878	לֵוִי	le.Vi	Levi
H3879	לֵוָי	le.va.Ye	Levi
H3880	לִוְיָה	liv.Yat	wreath
H3881	לֵוִי	le.Vi	Levi
H3882	לִוְיָתָן	liv.ya.Tan	Leviathan
H3883	לוּל	lu.Lim	stairs
H3884	לוּלֵא	lu.Lei	unless
H3885	לוּן	Li.nu	to lodge
H3886	לוּעַ	La.'u	to talk wildly
H3887	לִיץ	me.Litz	to mock
H3888	לוּשׁ	Lu.shi	to knead
H3890	לְוָת	le.va.Ta	with
H3891	לָזוּת	le.Zut	perversity
H3892	לַח	lach	fresh
H3893	לֵחַ	le.Cho	vigor
H3894	לְחוּם	l.chu.M	intestine
H3895	לְחִי	le.cha.Ya.yim	jaw
H3896	לֶחִי	Le.chi	Lehi
H3897	לָחַךְ	ye.la.cha.Khu	to lick
H3898	לָחַם	nil.cham-	to fight
H3899	לֶ֫חֶם	Le.chem	food
H3900	לְחֵם	le.Chem	feast
H3901	לָחֶם	la.Chem	war
H3902	לַחְמִי	lach.Mi	Lahmi
H3903	לַחְמָס	lach.Mas	Lahmam
H3904	לְחֵנָה	le.che.na.Te	concubine
H3905	לָחַץ	lo.cha.Tzim	to oppress
H3906	לַ֫חַץ	La.chatz	oppression
H3907	לָחַשׁ	mit.la.cha.Shim	to whisper
H3908	לַ֫חַשׁ	La.chash	charm
H3909	לָט	la.tei.	secrecy
H3910	לֹט	Lot	myrrh
H3911	לְטָאָה	le.ta.'Ah	lizard
H3912	לְטוּשִׁם	le.tu.Shim	Letushim
H3913	לָטַשׁ	lo.Tesh	to sharpen
H3914	לֹיָה	lo.Yot	wreath
H3915	לַ֫יְלָה	Lai.lah	night
H3916	לֵילָא	leil.Ya	night
H3917	לִילִית	li.Lit	night-demon
H3918	לַ֫יִשׁ	La.yish	lion
H3919	לַ֫יִשׁ	La.ye.sha	Dan
H3920	לָכַד	i.yil.ke.Du	to capture
H3921	לֶ֫כֶד	La.khed	capture
H3922	לֵכָה	le.Khah	Lecah
H3923	לָכִישׁ	la.Khish	Lachish
H3924	לוּלַי	lul.'Ot	loop
H3925	לָמַד	me.la.Med	to learn
H3926	לְמוֹ	le.mov-	upon
H3927	לְמוּאֵל	le.mu.'El	Lemuel
H3928	לִמֻּד	li.mu.Da	taught
H3929	לֶ֫מֶךְ	La.mekh	Lamech
H3930	לֹעַ	lo.'E.	throat
H3931	לָעַב	mal.'i.Vim	to jest
H3932	לָעַג	la.'a.Gah	to mock
H3933	לַ֫עַג	La.'ag	derision
H3934	לָעֵג	la.'a.Gei	mocking
H3935	לַעְדָּה	la'.Dah	Laadah
H3936	לַעְדָּן	la'.Dan	Ladan
H3937	לָעַז	lo.'Ez	to mumble
H3938	לָעַט	hal.'i.Te.	to eat
H3939	לַעֲנָה	la.'a.Nah	wormwood
H3940	לַפִּיד	la.Pid	torch
H3941	לַפִּידוֹת	la.pi.Dot	Lappidoth
H3943	לָפַת	i.yil.Pot	to twist
H3944	לָצוֹן	La.tzon	scorning
H3946	לַקּוּם	la.Kum	Lakkum
H3947	לָקַח	i.yi.Kach	to take
H3948	לֶ֫קַח	lik.Ch	teaching
H3949	לִקְחִי	lik.Chi	Likhi
H3950	לָקַט	lik.Tu	to gather
H3951	לֶ֫קֶט	Le.ket	gleaning
H3952	לָקַק	ya.Lok	to lick
H3953	לָקַשׁ	ye.la.Ke.shu	to glean
H3954	לֶ֫קֶשׁ	La.kesh	spring crop
H3955	לָשָׁד	le.Shad	juicy bit
H3956	לָשׁוֹן	l.sho.N	tongue
H3957	לִשְׁכָּה	lish.Ka.ta	chamber
H3958	לֶ֫שֶׁם	Le.shem	jacinth
H3959	לֶ֫שֶׁם	Le.shem	Dan
H3960	לָשַׁן	me.la.she.Ni	to slander
H3961	לִשָּׁן	li.sha.nai.Ya	tongue
H3962	לֶ֫שַׁע	La.sha'	Lasha
H3963	לֶ֫תֶךְ	Le.tekh	lethek
H3964	מָא	Ma'	what
H3965	מַאֲבוּס	ma.'a.vu.Sei.	granary
H3966	מְאֹד	me.'Od	much
H3967	מֵאָה	me.'At	hundred
H3968	מֵאָה	me.'Ah	Tower_of_the_Hundred
H3969	מְאָה	me.'Ah	hundred
H3971	מוּם	Mum	blemish
H3972	מְא֫וּמָה	me.'U.mah	anything
H3973	מָאוֹס	ma.'os	refuse
H3974	מָאוֹר	me.'o.Rot	light
H3975	מְאוּרָה	me.'u.Rat	hole
H3976	מֹאזֵן	Moz.nei	balance
H3977	מֹאזֵנְיָא	mo.zan.Ya	scale
H3978	מַאֲכָל	ma.'a.Khal	food
H3979	מַאֲכֶ֫לֶת	ma.'a.Khe.let	knife
H3981	מַאֲמָץ	ma.'a.ma.tzei-	power
H3982	מַאֲמַר	ma.'a.Mar	command
H3983	מֵאמַר	me.Mar	command
H3984	מָאן	ma.nai.Ya	utensil
H3985	מָאֵן	y.ma.'En	to refuse
H3986	מָאֵן	ma.'En	refusing
H3987	מֵאֵן	me.'a.Nim	refusing
H3988	מָאַס	tim.'A.su	to reject
H3989	מַאֲפֶה	ma.'a.Peh	baked (good)
H3990	מַאֲפֵל	ma.'a.Fel	darkness
H3991	מַאְפֵּלְיָה	ma'.Pe.le.Yah	darkness
H3992	מָאַר	mam.'E.ret	to malign
H3993	מַאֲרָב	ma'.Rav	ambush
H3994	מְאֵרָה	me.'e.Rah	curse
H3995	מִבְדָּלָה	miv.da.lOt	separate place
H3996	מָבוֹא	me.Vo'	entrance
H3997	מְבוֹאָה	me.vo.'Ot	entry
H3998	מְבוּכָה	me.vu.Khah	confusion
H3999	מַבּוּל	ma.Bul	flood
H4001	מְבוּסָה	me.vu.Sah	subjugation
H4002	מַבּוּעַ	ma.Bu.a'	spring
H4004	מִבְחוֹר	miv.Chor	choice
H4005	מִבְחָר	miv.Char	best
H4006	מִבְחָר	miv.Char	Mibhar
H4007	מַבָּט	ma.ba.Ta	expectation
H4009	מִבְטָח	miv.ta.Ch	confidence
H4010	מַבְלִיגִית	mav.Li.gi.T	cheer
H4011	מִבְנֶה	miv.neh-	structure
H4012	מְבֻנַּי	me.vu.Nai	Sibbecai
H4013	מִבְצָר	miv.tza.Rim	fortification
H4014	מִבְצָר	miv.Tzar	Mibzar
H4015	מִבְרָח	miv.ra.cho	fugitive
H4016	מָבוֹשׁ	m.vu.Sha	genitalia
H4017	מִבְשָׂם	miv.Sam	Mibsam
H4018	מְבַשְּׁלוֹת	me.va.she.Lot	hearth
H4019	מַגְבִּישׁ	mag.Bish	Magbish
H4020	מִגְבָּלֹת	mig.ba.Lot	twisted
H4021	מִגְבָּעוֹת	mig.ba.'Ot	headgear
H4022	מֶ֫גֶד	Me.ged	excellence
H4023	מְגִדּוֹ	me.gi.Do	Megiddo
H4024	מִגְדֹּל	mig.Dol	Migdol
H4025	מַגְדִּיאֵל	mag.di.'El	Magdiel
H4026	מִגְדָּל	mig.Dal	tower
H4027	מִגְדַּל־אֵל	mig.dal-	Migdal-el
H4028	מִגְדַּל־גַּד	mig.dal-	Migdal-gad
H4029	מִגְדַּל־עֵ֫דֶר	mig.dal-	Tower_of_Eder
H4030	מִגְדָּנָה	Mig.da.Not	precious thing
H4031	מָגוֹג	ma.Gog	Magog
H4032	מָגוֹר	ma.Gor	terror
H4033	מָגוֹר	me.gu.Rei.	sojourning
H4034	מְגוֹרָה	me.go.Rat	fear
H4035	מְגוּרָה	me.gu.ro.Ta	fear
H4036	מָגוֹר מִסָּבִיב	ma.Gor	Pashhur
H4037	מַגְזֵרָה	mag.ze.Rot	axe
H4038	מַגָּל	ma.Gal	sickle
H4039	מְגִלָּה	me.gi.lat-	scroll
H4040	מְגִלָּה	me.gi.Lah	scroll
H4041	מְגַמָּה	me.ga.Mat	horde
H4042	מָגַן	mi.Gen	to deliver
H4043	מָגֵן	ma.Gen	shield
H4044	מְגִנָּה	me.gi.nat-	covering
H4045	מִגְעֶ֫רֶת	mig.'E.ret	rebuke
H4046	מַגֵּפָה	ma.ge.fo.Ta	plague
H4049	מְגַר	ye.ma.Gar	to overthrow
H4050	מְגֵרָה	me.ge.rah	saw
H4051	מִגְרוֹן	mig.Ron	Migron
H4052	מִגְרָעָה	mig.ra.'Ot	recess
H4053	מֶגְרָפָה	meg.re.Fo.tei.	clod
H4054	מִגְרָשׁ	mig.Rash	pasture
H4055	מַד	ma.Da	garment
H4056	מַדְבַּח	mad.be.Chah	altar
H4057	מִדְבָּר	mid.Bar	wilderness
H4058	מָדַד	i.ya.Mo.du	to measure
H4060	מִדָּה	mi.Dah	measure
H4061	מִנְדָּה	min.dah-	tribute
H4062	מַדְהֵבָה	mad.he.Vah	insolence
H4063	מָ֫דוּ	mad.vei.	garment
H4064	מַדְוֶה	mad.Vei	disease
H4065	מַדּוּחַ	ma.du.Chim	enticement
H4066	מָדוֹן	ma.Don	strife
H4067	מָדוֹן	ma.din	huge_man
H4068	מָדוֹן	ma.Don	Madon
H4069	מַדּוּעַ	ma.Du.a'	why?
H4070	מְדָר	me.Da.re.	dwelling
H4071	מְדוּרָה	me.du.ra.Ta	pile
H4072	מִדְחֶה	mid.Cheh	ruin
H4074	מָדַי	ma.Dai	Madai
H4075	מָדִי, מָדָאָה	ma.Di	Medan
H4076	מָדַי	ma.Dai	Media
H4079	מִדְיָן	me.da.nim	contention
H4080	מִדְיָן	mid.Yan	Midian
H4081	מִדִּין	mi.Din	Middin
H4082	מְדִינָה	me.di.Not	province
H4083	מְדִינָה	me.di.Nan	province
