Igehely	Kapcsolódó igehely	Kapcsolódó igehely magyar megjelenítése
1Ki.8.1	2Sa.6.16-2Sa.6.17	2Sám 6,16-17
1Ki.8.2	Lev.23.24-Lev.23.32	3Móz 23,24-32
1Ki.8.4	Num.4.5-Num.4.15	4Móz 4,5-15
1Ki.8.6	1Ch.22.19	1Krón 22,19
1Ki.8.7	1Ki.6.23-1Ki.6.28	1Kir 6,23-28
1Ki.8.8	2Ch.5.8-2Ch.5.9	2Krón 5,8-9
1Ki.8.9	Exo.25.16-Exo.25.21	2Móz 25,16-21
1Ki.8.9	Heb.9.4	Zsid 9,4
1Ki.8.10	Exo.40.34-Exo.40.35	2Móz 40,34-35
1Ki.8.11	Exo.20.21	2Móz 20,21
1Ki.8.11	2Ch.5.14	2Krón 5,14
1Ki.8.12	Lev.16.2	3Móz 16,2
1Ki.8.12	Num.12.5	4Móz 12,5
1Ki.8.14	2Sa.6.18	2Sám 6,18
1Ki.8.15	2Ch.6.4	2Krón 6,4
1Ki.8.16	2Sa.7.6-2Sa.7.8	2Sám 7,6-8
1Ki.8.17	2Sa.7.2	2Sám 7,2
1Ki.8.19	2Sa.7.11-2Sa.7.13	2Sám 7,11-13
1Ki.8.21	1Ki.8.9	1Kir 8,9
1Ki.8.22	2Ch.6.12-2Ch.6.13	2Krón 6,12-13
1Ki.8.24	2Sa.7.12-2Sa.7.13	2Sám 7,12-13
1Ki.8.25	2Sa.7.16	2Sám 7,16
1Ki.8.27	Isa.66.1	Ésa 66,1
1Ki.8.27	Jer.23.24	Jer 23,24
1Ki.8.28	2Ch.7.12-2Ch.7.16	2Krón 7,12-16
1Ki.8.29	Deu.12.11	5Móz 12,11
1Ki.8.32	Exo.22.10-Exo.22.11	2Móz 22,10-11
1Ki.8.33	Deu.28.15-Deu.28.28	5Móz 28,15-28
1Ki.8.35	2Ch.6.26	2Krón 6,26
1Ki.8.36	2Ch.7.13-2Ch.7.15	2Krón 7,13-15
1Ki.8.37	Isa.37.14-Isa.37.29	Ésa 37,14-29
1Ki.8.39	Jer.17.10	Jer 17,10
1Ki.8.41	2Ch.6.32	2Krón 6,32
1Ki.8.42	2Ch.6.32	2Krón 6,32
1Ki.8.44	Dan.6.10	Dán 6,10
1Ki.8.46	Pro.20.9	Péld 20,9
1Ki.8.46	1Jn.1.8-1Jn.1.10	1Ján 1,8-10
1Ki.8.48	Dan.9.4-Dan.9.23	Dán 9,4-23
1Ki.8.50	Jer.52.31-Jer.52.34	Jer 52,31-34
1Ki.8.51	Deu.4.20	5Móz 4,20
1Ki.8.53	Exo.19.5-Exo.19.6	2Móz 19,5-6
1Ki.8.53	Deu.7.6	5Móz 7,6
1Ki.8.55	2Sa.6.18	2Sám 6,18
1Ki.8.56	Deu.12.10	5Móz 12,10
1Ki.8.60	Deu.4.35-Deu.4.39	5Móz 4,35-39
1Ki.8.60	Isa.44.8	Ésa 44,8
1Ki.8.62	2Ch.7.1-2Ch.7.2	2Krón 7,1-2
1Ki.8.63	2Ch.7.5	2Krón 7,5
1Ki.8.65	2Ch.7.7	2Krón 7,7
1Ki.8.65	2Ch.7.8-2Ch.7.10	2Krón 7,8-10
1Ki.8.66	2Ch.7.10	2Krón 7,10
1Ki.9.1	2Ch.7.11-2Ch.7.12	2Krón 7,11-12
1Ki.9.2	1Ki.3.5	1Kir 3,5
1Ki.9.3	Deu.12.11	5Móz 12,11
1Ki.9.4	1Ki.3.14	1Kir 3,14
1Ki.9.5	1Ki.11.38	1Kir 11,38
1Ki.9.6	Jos.23.16	Józs 23,16
1Ki.9.6	Psa.89.31-Psa.89.33	Zsolt 89,31-33
1Ki.9.7	Deu.4.25-Deu.4.27	5Móz 4,25-27
1Ki.9.7	Deu.4.28	5Móz 4,28
1Ki.9.7	Deu.4.36	5Móz 4,36
1Ki.9.7	Deu.4.37	5Móz 4,37
1Ki.9.8	Lam.2.2-Lam.2.7	Siral 2,2-7
1Ki.9.8	Deu.29.24-Deu.29.28	5Móz 29,24-28
1Ki.9.10	2Ch.8.1	2Krón 8,1
1Ki.9.15	Jos.17.11	Józs 17,11
1Ki.9.16	Jos.16.10	Józs 16,10
1Ki.9.19	1Ki.7.2-1Ki.7.8	1Kir 7,2-8
1Ki.9.20	Jos.16.10	Józs 16,10
1Ki.9.20	1Ch.22.2	1Krón 22,2
1Ki.9.22	Lev.25.39	3Móz 25,39
1Ki.9.23	1Ki.5.16	1Kir 5,16
1Ki.9.24	1Ki.7.2-1Ki.7.8	1Kir 7,2-8
1Ki.9.24	2Ch.8.11	2Krón 8,11
1Ki.9.25	Exo.34.23-Exo.34.24	2Móz 34,23-24
1Ki.9.25	Deu.16.16-Deu.16.17	5Móz 16,16-17
1Ki.9.26	2Ch.8.17-2Ch.8.18	2Krón 8,17-18
1Ki.9.27	1Ki.5.12	1Kir 5,12
1Ki.10.1	1Ki.4.29-1Ki.4.34	1Kir 4,29-34
1Ki.10.1	Mat.12.42	Máté 12,42
1Ki.10.2	Luk.11.31	Luk 11,31
1Ki.10.3	1Ki.4.29-1Ki.4.34	1Kir 4,29-34
1Ki.10.4	1Ki.6.7	1Kir 6,7
1Ki.10.5	1Ki.9.25	1Kir 9,25
1Ki.10.6	1Ki.4.29-1Ki.4.34	1Kir 4,29-34
1Ki.10.8	Luk.10.23	Luk 10,23
1Ki.10.9	1Ki.5.7	1Kir 5,7
1Ki.10.10	1Ki.10.2	1Kir 10,2
1Ki.10.11	1Ki.9.27-1Ki.9.28	1Kir 9,27-28
1Ki.10.13	1Ki.10.1	1Kir 10,1
1Ki.10.14	2Ch.9.13	2Krón 9,13
1Ki.10.16	1Ki.14.25-1Ki.14.26	1Kir 14,25-26
1Ki.10.17	1Ki.7.2	1Kir 7,2
1Ki.10.18	2Ch.9.17-2Ch.9.19	2Krón 9,17-19
1Ki.10.21	1Ki.10.27	1Kir 10,27
1Ki.10.22	1Ki.9.26-1Ki.9.28	1Kir 9,26-28
1Ki.10.23	1Ki.3.12-1Ki.3.13	1Kir 3,12-13
1Ki.10.23	1Ki.4.29-1Ki.4.31	1Kir 4,29-31
1Ki.10.25	1Ki.10.1-1Ki.10.2	1Kir 10,1-2
1Ki.10.25	1Ki.10.10	1Kir 10,10
1Ki.10.26	Deu.17.16	5Móz 17,16
1Ki.10.26	2Ch.1.14	2Krón 1,14
1Ki.10.27	2Ch.9.27	2Krón 9,27
1Ki.10.28	2Ch.1.16	2Krón 1,16
1Ki.11.1	Deu.17.17	5Móz 17,17
1Ki.11.2	Exo.34.16	2Móz 34,16
1Ki.11.2	Deu.7.3-Deu.7.4	5Móz 7,3-4
1Ki.11.3	1Ki.21.25	1Kir 21,25
1Ki.11.3	Deu.7.4	5Móz 7,4
1Ki.11.5	Jdg.2.13	Bir 2,13
1Ki.11.7	Num.21.29	4Móz 21,29
1Ki.11.7	Jdg.11.24	Bir 11,24
1Ki.11.9	1Ki.3.5	1Kir 3,5
1Ki.11.9	1Ki.9.2	1Kir 9,2
1Ki.11.10	1Ki.6.12	1Kir 6,12
1Ki.11.11	1Ki.11.30-1Ki.11.31	1Kir 11,30-31
1Ki.11.11	1Ki.6.12	1Kir 6,12
1Ki.11.11	1Ki.6.12	1Kir 6,12
1Ki.11.13	1Ki.11.32	1Kir 11,32
1Ki.11.13	1Ki.12.20-1Ki.12.24	1Kir 12,20-24
1Ki.11.15	2Sa.8.14	2Sám 8,14
1Ki.11.23	2Sa.8.3	2Sám 8,3
1Ki.11.23	2Sa.10.18	2Sám 10,18
1Ki.11.26	2Ch.13.6-2Ch.13.7	2Krón 13,6-7
1Ki.11.28	Gen.48.1-Gen.48.5	1Móz 48,1-5
1Ki.11.30	1Ki.12.15	1Kir 12,15
1Ki.11.31	1Ki.11.11	1Kir 11,11
1Ki.11.32	1Ki.11.12-1Ki.11.13	1Kir 11,12-13
1Ki.11.34	2Sa.7.12-2Sa.7.15	2Sám 7,12-15
1Ki.11.35	1Ki.12.17-1Ki.12.19	1Kir 12,17-19
1Ki.11.36	Psa.132.17	Zsolt 132,17
1Ki.11.37	1Ki.12.20	1Kir 12,20
1Ki.11.38	1Ki.9.4-1Ki.9.5	1Kir 9,4-5
1Ki.11.39	2Sa.7.14	2Sám 7,14
1Ki.11.40	1Ki.11.11-1Ki.11.31	1Kir 11,11-31
1Ki.11.41	2Ch.9.29	2Krón 9,29
1Ki.11.42	2Ch.9.30-2Ch.9.31	2Krón 9,30-31
1Ki.11.43	2Sa.5.6-2Sa.5.9	2Sám 5,6-9
1Ki.12.1	2Ch.10.1	2Krón 10,1
1Ki.12.2	1Ki.11.40	1Kir 11,40
1Ki.12.4	2Ch.10.4	2Krón 10,4
1Ki.12.12	1Ki.12.5	1Kir 12,5
1Ki.12.13	1Ki.12.7	1Kir 12,7
1Ki.12.15	1Ki.11.30-1Ki.11.31	1Kir 11,30-31
1Ki.12.15	Jos.11.19-Jos.11.20	Józs 11,19-20
1Ki.12.16	Pro.15.1	Péld 15,1
1Ki.12.17	1Ki.12.21	1Kir 12,21
1Ki.12.18	1Ki.4.6	1Kir 4,6
1Ki.12.18	1Ki.5.14	1Kir 5,14
1Ki.12.20	1Ki.11.30-1Ki.11.31	1Kir 11,30-31
1Ki.12.21	2Ch.11.1-2Ch.11.4	2Krón 11,1-4
1Ki.12.22	2Ch.11.2-2Ch.11.4	2Krón 11,2-4
1Ki.12.24	1Ki.11.11-1Ki.11.13	1Kir 11,11-13
1Ki.12.25	Jdg.8.17	Bir 8,17
1Ki.12.27	1Ki.11.37-1Ki.11.38	1Kir 11,37-38
1Ki.12.28	Exo.32.4-Exo.32.8	2Móz 32,4-8
1Ki.12.29	Gen.28.11-Gen.28.19	1Móz 28,11-19
1Ki.12.30	Deu.4.15	5Móz 4,15
1Ki.12.31	2Ch.11.15-2Ch.11.16	2Krón 11,15-16
1Ki.12.31	2Ch.13.9	2Krón 13,9
1Ki.13.1	1Ki.13.3	1Kir 13,3
1Ki.13.1	1Ki.13.9	1Kir 13,9
1Ki.13.1	1Ki.13.21-1Ki.13.24	1Kir 13,21-24
1Ki.13.2	2Ki.23.15-2Ki.23.16	2Kir 23,15-16
1Ki.13.5	1Ki.13.3	1Kir 13,3
1Ki.13.6	Exo.8.8	2Móz 8,8
1Ki.13.8	Num.22.18	4Móz 22,18
1Ki.13.14	1Ki.13.2-1Ki.13.6	1Kir 13,2-6
1Ki.13.17	1Ki.13.9	1Kir 13,9
1Ki.13.21	1Ki.13.9	1Kir 13,9
1Ki.13.22	1Ki.13.24-1Ki.13.30	1Kir 13,24-30
1Ki.13.24	1Ki.20.35-1Ki.20.36	1Kir 20,35-36
1Ki.13.24	2Ki.17.25	2Kir 17,25
1Ki.13.25	1Ki.13.11	1Kir 13,11
1Ki.13.26	1Ki.13.9-1Ki.13.18	1Kir 13,9-18
1Ki.13.30	Jer.22.18	Jer 22,18
1Ki.13.32	1Ki.13.2	1Kir 13,2
1Ki.13.33	1Ki.13.4-1Ki.13.6	1Kir 13,4-6
1Ki.13.34	1Ki.11.37-1Ki.11.38	1Kir 11,37-38
1Ki.13.34	1Ki.15.29-1Ki.15.30	1Kir 15,29-30
1Ki.14.2	1Ki.11.31-1Ki.11.37	1Kir 11,31-37
1Ki.14.5	2Ki.6.32	2Kir 6,32
1Ki.14.7	1Ki.11.29-1Ki.11.30	1Kir 11,29-30
1Ki.14.7	1Ki.12.20	1Kir 12,20
1Ki.14.8	1Ki.12.17-1Ki.12.19	1Kir 12,17-19
1Ki.14.9	1Ki.12.28-1Ki.12.30	1Kir 12,28-30
1Ki.14.10	1Ki.21.21	1Kir 21,21
1Ki.14.11	1Ki.16.4	1Kir 16,4
1Ki.14.14	1Ki.15.29	1Kir 15,29
1Ki.14.15	2Ki.17.23	2Kir 17,23
1Ki.14.16	1Ki.12.30	1Kir 12,30
1Ki.14.17	1Ki.14.12-1Ki.14.13	1Kir 14,12-13
1Ki.14.19	1Ki.13.13-1Ki.13.20	1Kir 13,13-20
1Ki.14.21	1Ki.9.3	1Kir 9,3
1Ki.14.23	2Ki.16.4	2Kir 16,4
1Ki.14.24	2Ki.23.7	2Kir 23,7
1Ki.14.25	1Ki.11.40	1Kir 11,40
1Ki.14.26	1Ki.10.16-1Ki.10.17	1Kir 10,16-17
1Ki.14.29	2Ch.12.15	2Krón 12,15
1Ki.14.30	1Ki.15.6	1Kir 15,6
1Ki.14.31	1Ki.11.43	1Kir 11,43
1Ki.15.1	2Ch.13.1-2Ch.13.2	2Krón 13,1-2
1Ki.15.3	1Ki.14.21-1Ki.14.24	1Kir 14,21-24
1Ki.15.4	1Ki.11.36	1Kir 11,36
1Ki.15.5	2Sa.11.2-2Sa.11.17	2Sám 11,2-17
1Ki.15.5	2Sa.12.9	2Sám 12,9
1Ki.15.7	2Ch.13.2-2Ch.13.19	2Krón 13,2-19
1Ki.15.8	2Ch.14.1-2Ch.14.2	2Krón 14,1-2
1Ki.15.11	1Ki.15.5	1Kir 15,5
1Ki.15.12	1Ki.22.47	1Kir 22,47
1Ki.15.13	1Ki.15.2	1Kir 15,2
1Ki.15.14	1Ki.22.44	1Kir 22,44
1Ki.15.17	2Ch.16.1	2Krón 16,1
1Ki.15.20	2Ki.15.29	2Kir 15,29
1Ki.15.23	2Ch.14.2-2Ch.14.15	2Krón 14,2-15
1Ki.15.24	2Ch.16.13-2Ch.16.14	2Krón 16,13-14
1Ki.15.26	1Ki.12.28-1Ki.12.33	1Kir 12,28-33
1Ki.15.27	Jos.19.40-Jos.19.44	Józs 19,40-44
1Ki.15.28	1Ki.16.7	1Kir 16,7
1Ki.15.28	1Sa.24.7	1Sám 24,7
1Ki.15.29	1Ki.14.10	1Kir 14,10
1Ki.15.34	1Ki.12.28-1Ki.12.33	1Kir 12,28-33
1Ki.16.1	1Ki.16.7	1Kir 16,7
1Ki.16.2	1Ki.15.34	1Kir 15,34
1Ki.16.3	1Ki.15.28-1Ki.15.30	1Kir 15,28-30
1Ki.16.4	1Ki.14.11	1Kir 14,11
1Ki.16.5	2Ch.16.1-2Ch.16.5	2Krón 16,1-5
1Ki.16.6	1Ki.16.23	1Kir 16,23
1Ki.16.7	1Ki.16.1-1Ki.16.4	1Kir 16,1-4
1Ki.16.10	2Ki.9.31	2Kir 9,31
1Ki.16.12	1Ki.16.3-1Ki.16.4	1Kir 16,3-4
1Ki.16.15	1Ki.15.27	1Kir 15,27
1Ki.16.18	1Ki.16.9	1Kir 16,9
1Ki.16.21	1Ki.16.16	1Kir 16,16
1Ki.16.24	2Ki.17.6	2Kir 17,6
1Ki.16.28	1Ki.16.23-1Ki.16.24	1Kir 16,23-24
1Ki.16.31	Exo.34.16	2Móz 34,16
1Ki.16.32	2Ki.3.2	2Kir 3,2
1Ki.16.32	2Ki.10.27	2Kir 10,27
1Ki.16.33	1Ki.18.19	1Kir 18,19
1Ki.16.34	Jos.6.26	Józs 6,26
1Ki.17.1	1Ki.18.5	1Kir 18,5
1Ki.17.1	1Ki.18.42-1Ki.18.45	1Kir 18,42-45
1Ki.17.1	Jas.5.17-Jas.5.18	Jak 5,17-18
1Ki.17.6	1Ki.17.4	1Kir 17,4
1Ki.17.6	1Ki.19.5	1Kir 19,5
1Ki.17.9	Luk.4.26	Luk 4,26
1Ki.17.14	1Ki.17.9	1Kir 17,9
1Ki.17.16	2Ki.4.2-2Ki.4.6	2Kir 4,2-6
1Ki.17.21	2Ki.4.33-2Ki.4.35	2Kir 4,33-35
1Ki.17.21	Act.20.10	Csel 20,10
1Ki.17.24	1Ki.17.14	1Kir 17,14
1Ki.17.24	1Ki.18.39	1Kir 18,39
1Ki.18.1	1Ki.18.40-1Ki.18.45	1Kir 18,40-45
1Ki.18.2	1Ki.16.23-1Ki.16.24	1Kir 16,23-24
1Ki.18.3	1Ki.18.13	1Kir 18,13
1Ki.18.5	Jer.14.3	Jer 14,3
1Ki.18.8	1Ki.18.1	1Kir 18,1
1Ki.18.13	1Ki.18.4	1Kir 18,4
1Ki.18.15	1Ki.18.1	1Kir 18,1
1Ki.18.17	1Ki.17.1	1Kir 17,1
1Ki.18.17	Amo.7.10-Amo.7.11	Ámós 7,10-11
1Ki.18.18	1Ki.16.30-1Ki.16.33	1Kir 16,30-33
1Ki.18.19	1Ki.16.33	1Kir 16,33
1Ki.18.21	Jos.24.14-Jos.24.16	Józs 24,14-16
1Ki.18.22	1Ki.18.4	1Kir 18,4
1Ki.18.28	Lev.19.28	3Móz 19,28
1Ki.18.31	Jos.4.5-Jos.4.20	Józs 4,5-20
1Ki.18.35	1Ki.18.32	1Kir 18,32
1Ki.18.36	Exo.3.6	2Móz 3,6
1Ki.18.38	1Ki.18.24	1Kir 18,24
1Ki.18.38	Lev.9.24	3Móz 9,24
1Ki.18.39	1Ki.18.36	1Kir 18,36
1Ki.18.39	1Ki.17.24	1Kir 17,24
1Ki.18.40	2Ki.10.25-2Ki.10.28	2Kir 10,25-28
1Ki.18.43	2Ki.5.10	2Kir 5,10
1Ki.18.45	1Ki.18.1	1Kir 18,1
1Ki.18.45	Jas.5.18	Jak 5,18
1Ki.19.1	1Ki.16.31	1Kir 16,31
1Ki.19.2	1Ki.2.23	1Kir 2,23
1Ki.19.3	Jos.19.1-Jos.19.2	Józs 19,1-2
1Ki.19.4	Job.7.16	Jób 7,16
1Ki.19.5	1Ki.17.4-1Ki.17.6	1Kir 17,4-6
1Ki.19.8	Exo.24.18	2Móz 24,18
1Ki.19.8	Exo.34.28	2Móz 34,28
1Ki.19.8	Mat.4.2	Máté 4,2
1Ki.19.10	1Ki.19.2	1Kir 19,2
1Ki.19.11	Exo.33.21-Exo.33.23	2Móz 33,21-23
1Ki.19.12	1Ki.19.13	1Kir 19,13
1Ki.19.13	1Ki.19.9	1Kir 19,9
1Ki.19.15	2Ki.8.13	2Kir 8,13
1Ki.19.16	2Ki.9.2-2Ki.9.3	2Kir 9,2-3
1Ki.19.16	2Ki.9.6	2Kir 9,6
1Ki.19.17	2Ki.9.14-2Ki.9.37	2Kir 9,14-37
1Ki.19.18	Rom.11.4	Róm 11,4
1Ki.19.19	1Ki.19.16	1Kir 19,16
1Ki.19.20	Luk.9.61	Luk 9,61
1Ki.20.19	1Ki.20.15	1Kir 20,15
1Ki.20.21	1Ki.20.13	1Kir 20,13
1Ki.20.23	1Ki.11.23-1Ki.11.25	1Kir 11,23-25
1Ki.20.27	1Ki.20.15	1Kir 20,15
1Ki.20.28	1Ki.20.23	1Kir 20,23
1Ki.20.28	2Ki.19.28-2Ki.19.35	2Kir 19,28-35
1Ki.20.29	1Ki.20.27	1Kir 20,27
1Ki.20.30	1Ki.20.10	1Kir 20,10
1Ki.20.32	1Ki.20.3-1Ki.20.10	1Kir 20,3-10
1Ki.20.36	1Ki.13.21-1Ki.13.24	1Kir 13,21-24
1Ki.20.42	1Ki.20.34	1Kir 20,34
1Ki.20.42	1Ki.22.37	1Kir 22,37
1Ki.21.1	1Ki.18.46	1Kir 18,46
1Ki.21.3	Lev.25.23	3Móz 25,23
1Ki.21.3	Num.36.7	4Móz 36,7
1Ki.21.5	1Ki.21.10	1Kir 21,10
1Ki.21.5	1Ki.19.2	1Kir 19,2
1Ki.21.10	Deu.17.6	5Móz 17,6
1Ki.21.10	Deu.19.15	5Móz 19,15
1Ki.21.14	1Ki.21.10	1Kir 21,10
1Ki.21.14	2Ki.9.10	2Kir 9,10
1Ki.21.14	2Ki.9.30-2Ki.9.36	2Kir 9,30-36
1Ki.21.17	1Ki.18.46	1Kir 18,46
1Ki.21.17	1Ki.19.2	1Kir 19,2
1Ki.21.19	1Ki.22.38	1Kir 22,38
1Ki.21.19	2Ki.9.10	2Kir 9,10
1Ki.21.20	1Ki.18.17	1Kir 18,17
1Ki.21.20	1Ki.19.2	1Kir 19,2
1Ki.21.21	2Ki.9.7-2Ki.9.10	2Kir 9,7-10
1Ki.21.21	2Ki.9.30-2Ki.9.36	2Kir 9,30-36
1Ki.21.22	1Ki.15.29	1Kir 15,29
1Ki.21.23	2Ki.9.30-2Ki.9.36	2Kir 9,30-36
1Ki.21.24	1Ki.14.11	1Kir 14,11
1Ki.21.24	2Ki.9.24-2Ki.9.26	2Kir 9,24-26
1Ki.21.25	1Ki.21.20	1Kir 21,20
1Ki.21.27	Ezr.9.3	Ezsdr 9,3
1Ki.21.29	1Ki.21.21	1Kir 21,21
1Ki.21.29	2Ki.9.24-2Ki.9.26	2Kir 9,24-26
1Ki.22.2	2Ch.18.1-2Ch.18.2	2Krón 18,1-2
1Ki.22.3	Jos.21.38	Józs 21,38
1Ki.22.4	2Ch.18.3	2Krón 18,3
1Ki.22.5	2Ki.3.11	2Kir 3,11
1Ki.22.8	1Ki.21.20	1Kir 21,20
1Ki.22.10	2Ch.18.9	2Krón 18,9
1Ki.22.14	Num.22.38	4Móz 22,38
1Ki.22.14	Num.24.13	4Móz 24,13
1Ki.22.16	Mat.26.63-Mat.26.65	Máté 26,63-65
1Ki.22.18	1Ki.22.8	1Kir 22,8
1Ki.22.19	Dan.7.10	Dán 7,10
1Ki.22.21	Job.1.6	Jób 1,6
1Ki.22.22	Rev.16.14	Jel 16,14
1Ki.22.24	Jhn.18.22	Ján 18,22
1Ki.22.25	1Ki.20.30	1Kir 20,30
1Ki.22.28	1Ki.22.17-1Ki.22.20	1Kir 22,17-20
1Ki.22.28	Deu.18.21-Deu.18.22	5Móz 18,21-22
1Ki.22.30	1Ki.22.17-1Ki.22.23	1Kir 22,17-23
1Ki.22.34	1Ki.22.23-1Ki.22.28	1Kir 22,23-28
1Ki.22.38	1Ki.21.19	1Kir 21,19
1Ki.22.44	1Ki.15.14	1Kir 15,14
1Ki.22.44	2Ch.20.33	2Krón 20,33
1Ki.22.47	1Ki.15.12	1Kir 15,12
1Ki.22.48	2Sa.8.14	2Sám 8,14
1Ki.22.49	2Ch.20.37	2Krón 20,37
1Ki.22.50	1Ki.22.49	1Kir 22,49
1Ki.22.50	2Ch.20.37	2Krón 20,37
1Ki.22.53	1Ki.15.29-1Ki.15.30	1Kir 15,29-30
1Ki.22.54	1Ki.16.31	1Kir 16,31
2Ki.1.1	2Sa.8.1	2Sám 8,1
2Ki.1.1	2Sa.2.12	2Sám 2,12
2Ki.1.3	1Ki.9.3	1Kir 9,3
2Ki.1.3	1Ki.18.38-1Ki.18.39	1Kir 18,38-39
2Ki.1.4	2Ki.1.17	2Kir 1,17
2Ki.1.10	Luk.9.54	Luk 9,54
2Ki.1.12	Rev.11.5	Jel 11,5
2Ki.1.16	2Ki.1.2-2Ki.1.4	2Kir 1,2-4
2Ki.1.17	2Ki.3.1	2Kir 3,1
2Ki.2.1	2Ki.3.11	2Kir 3,11
2Ki.2.1	1Ki.19.16	1Kir 19,16
2Ki.2.4	1Ki.16.34	1Kir 16,34
2Ki.2.8	Exo.14.21	2Móz 14,21
2Ki.2.8	Jos.3.15-Jos.3.16	Józs 3,15-16
2Ki.2.11	Deu.5.24	5Móz 5,24
2Ki.2.12	2Ki.13.14	2Kir 13,14
2Ki.2.14	2Ki.2.8-2Ki.2.10	2Kir 2,8-10
2Ki.2.15	2Ki.2.8-2Ki.2.10	2Kir 2,8-10
2Ki.2.21	Exo.15.23-Exo.15.25	2Móz 15,23-25
2Ki.2.24	2Ki.17.25	2Kir 17,25
2Ki.2.25	1Ki.18.19-1Ki.18.30	1Kir 18,19-30
2Ki.3.1	2Ki.1.17	2Kir 1,17
2Ki.3.2	1Ki.16.32	1Kir 16,32
2Ki.3.3	1Ki.12.28-1Ki.12.33	1Kir 12,28-33
2Ki.3.5	2Ki.1.1	2Kir 1,1
2Ki.3.7	2Ki.1.1	2Kir 1,1
2Ki.3.9	2Ki.8.20	2Kir 8,20
2Ki.3.9	2Sa.8.14	2Sám 8,14
2Ki.3.12	2Ki.2.14-2Ki.2.15	2Kir 2,14-15
2Ki.3.12	1Ki.19.16-1Ki.19.19	1Kir 19,16-19
2Ki.3.13	1Ki.18.19	1Kir 18,19
2Ki.3.13	1Ki.22.6-1Ki.22.34	1Kir 22,6-34
2Ki.3.14	2Ki.3.2-2Ki.3.3	2Kir 3,2-3
2Ki.3.18	2Ki.3.1-2Ki.3.5	2Kir 3,1-5
2Ki.3.20	Exo.29.38-Exo.29.39	2Móz 29,38-39
2Ki.3.24	Num.24.17	4Móz 24,17
2Ki.3.25	2Ki.3.19	2Kir 3,19
2Ki.3.27	2Ki.16.3	2Kir 16,3
2Ki.3.27	Deu.12.31	5Móz 12,31
2Ki.4.1	Lev.25.39	3Móz 25,39
2Ki.4.2	1Ki.17.12-1Ki.17.16	1Kir 17,12-16
2Ki.4.8	Jos.19.17-Jos.19.18	Józs 19,17-18
2Ki.4.9	1Ki.19.16	1Kir 19,16
2Ki.4.10	1Ki.17.9	1Kir 17,9
2Ki.4.10	1Ki.17.17-1Ki.17.23	1Kir 17,17-23
2Ki.4.12	2Ki.4.8	2Kir 4,8
2Ki.4.16	2Ki.4.14	2Kir 4,14
2Ki.4.16	Gen.18.10-Gen.18.12	1Móz 18,10-12
2Ki.4.21	2Ki.4.10-2Ki.4.11	2Kir 4,10-11
2Ki.4.22	2Ki.4.25	2Kir 4,25
2Ki.4.25	2Ki.2.25	2Kir 2,25
2Ki.4.25	1Ki.18.19-1Ki.18.30	1Kir 18,19-30
2Ki.4.27	2Ki.5.26	2Kir 5,26
2Ki.4.28	2Ki.4.16	2Kir 4,16
2Ki.4.29	Luk.10.4	Luk 10,4
2Ki.4.32	2Ki.4.21	2Kir 4,21
2Ki.4.33	Luk.8.54	Luk 8,54
2Ki.4.35	1Ki.17.19-1Ki.17.22	1Kir 17,19-22
2Ki.4.38	2Ki.2.15	2Kir 2,15
2Ki.4.38	2Ki.6.1	2Kir 6,1
2Ki.4.41	Exo.15.25	2Móz 15,25
2Ki.4.43	Jhn.6.9-Jhn.6.13	Ján 6,9-13
2Ki.4.44	2Ki.4.43	2Kir 4,43
2Ki.4.44	Mat.15.34-Mat.15.38	Máté 15,34-38
2Ki.5.1	Luk.4.27	Luk 4,27
2Ki.5.7	Deu.32.39	5Móz 32,39
2Ki.5.9	2Ki.5.3	2Kir 5,3
2Ki.5.14	2Ki.5.10	2Kir 5,10
2Ki.5.14	Luk.4.27	Luk 4,27
2Ki.5.15	2Ki.5.8	2Kir 5,8
2Ki.5.16	1Ki.17.1	1Kir 17,1
2Ki.5.17	2Ki.5.8	2Kir 5,8
2Ki.5.26	2Ki.4.27	2Kir 4,27
2Ki.5.27	Num.12.10	4Móz 12,10
2Ki.6.1	2Ki.2.14-2Ki.2.15	2Kir 2,14-15
2Ki.6.1	2Ki.4.38	2Kir 4,38
2Ki.6.12	2Ki.5.9-2Ki.5.14	2Kir 5,9-14
2Ki.6.17	2Ki.3.11	2Kir 3,11
2Ki.6.18	Gen.19.11	1Móz 19,11
2Ki.6.19	1Ki.16.24-1Ki.16.29	1Kir 16,24-29
2Ki.6.20	2Ki.6.18	2Kir 6,18
2Ki.6.22	Pro.25.21	Péld 25,21
2Ki.6.22	Mat.5.44-Mat.5.48	Máté 5,44-48
2Ki.6.25	2Ki.18.27	2Kir 18,27
2Ki.6.29	Deu.28.53-Deu.28.57	5Móz 28,53-57
2Ki.6.29	Lam.4.10	Siral 4,10
2Ki.6.32	2Ki.3.1	2Kir 3,1
2Ki.6.33	2Ki.7.1	2Kir 7,1
2Ki.7.1	2Ki.7.16	2Kir 7,16
2Ki.7.2	2Ki.7.19-2Ki.7.20	2Kir 7,19-20
2Ki.7.3	Lev.13.46	3Móz 13,46
2Ki.7.6	2Ki.19.7	2Kir 19,7
2Ki.7.16	2Ki.7.1	2Kir 7,1
2Ki.7.17	2Ki.7.2	2Kir 7,2
2Ki.7.19	2Ki.7.2	2Kir 7,2
2Ki.8.1	2Ki.4.35-2Ki.4.36	2Kir 4,35-36
