Strong_padded	Strong_eredeti	Teljes_szocikk
H0020	H20	אֲבַטִּיחַ (ʼăbaṭṭîyach｜ab-at-tee'-akh｜noun｜masculine｜water-melons) [Heb] אֲבַטִּיחַ ETCBC: אֲבַטִּיחַ (subs｜water-melon) OSHL: b.bj.ab TWOT: 234a GK: H19 Derivation: of uncertain derivation; Strong's: a melon (only plural) KJV: melon.
H0021	H21	אֲבִי (ʼĂbîy｜ab-ee'｜proper noun｜person｜Abi) [pn] אֲבִי ETCBC: אֲבִי (nmpr｜Abi) OSHL: a.ae.ai GK: H23 Derivation: from אָב; fatherly; Strong's: Abi, Hezekiah's mother KJV: Abi.
H0022	H22	אֲבִיאֵל (ʼĂbîyʼêl｜ab-ee-ale'｜proper noun｜person｜Abiel) [pn] אֲבִיאֵל ETCBC: אֲבִיאֵל (nmpr｜Abiel) OSHL: a.ae.ad GK: H24 Derivation: from אָב and אֵל; father (i.e. possessor) of God; Strong's: Abiel, the name of two Israelites KJV: Abiel.
H0023	H23	אֲבִיאָסָף (ʼĂbîyʼâçâph｜ab-ee-aw-sawf'｜proper noun｜person｜Abiasaph) [pn] אֲבִיאָסָף ETCBC: אֲבִיאָסָף (nmpr｜Abiasaph) OSHL: a.ae.ae GK: H25 Derivation: from אָב and אָסַף; father of gathering (i.e. gatherer); Strong's: Abiasaph, an Israelite KJV: Abiasaph.
H0024	H24	אָבִיב (ʼâbîyb｜aw-beeb'｜noun｜masculine｜green) [Heb] אָבִיב ETCBC: אָבִיב (subs｜ears) OSHL: a.ab.ac TWOT: 1b GK: H26 Greek: νέος, παρίστημι Derivation: from an unused root (meaning to be tender); Strong's: green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan KJV: Abib, ear, green ears of corn (not maize).
H0025	H25	אֲבִי גִבְעֹון (ʼĂbîy Gibʻôwn｜ab-ee' ghib-one'｜proper noun｜person｜father of Gibeon) [pn] אֲבִי גִבְעֹון, אָב, גִּבְעֹן ETCBC: גִּבְעֹון (nmpr｜Gibeon) OSHL: c.al.aj Derivation: from אָב and גִּבְעֹון; father (i.e. founder) of Gibon; Strong's: Abi-Gibon, perhaps an Israelite KJV: father of Gibeon.
H0026	H26	אֲבִיגַיִל (ʼĂbîygayil｜ab-ee-gah'-yil｜proper noun｜person｜Abigal) [pn] אֲבִיגַיִל ETCBC: אֲבִיגַיִל (nmpr｜Abigail) OSHL: a.ae.af GK: H28 Derivation: or shorter אֲבִיגַל; from אָב and גִּיל; father (i.e. source) of joy; Strong's: Abigail or Abigal, the name of two Israelitesses KJV: Abigal.
H0027	H27	אֲבִידָן (ʼĂbîydân｜ab-ee-dawn'｜proper noun｜person｜Abidan) [pn] אֲבִידָן ETCBC: אֲבִידָן (nmpr｜Abidan) OSHL: a.ae.ag GK: H29 Derivation: from אָב and דִּין; father of judgment (i.e. judge); Strong's: Abidan, an Israelite KJV: Abidan.
H0028	H28	אֲבִידָע (ʼĂbîydâʻ｜ab-ee-daw'｜proper noun｜person｜Abida) [pn] אֲבִידָע ETCBC: אֲבִידָע (nmpr｜Abida) OSHL: a.ae.ah GK: H30 Derivation: from אָב and יָדַע; father of knowledge (i.e. knowing); Strong's: Abida, a son of Abraham by Keturah KJV: Abida, Abidah.
H0029	H29	אֲבִיָּה (ʼĂbîyâh｜ab-ee-yaw'｜proper noun｜person｜Abiah) [pn] אֲבִיָּה, אֲבִיָּהוּ ETCBC: אֲבִיָּה (nmpr｜Abijah), אֲבִיָּהוּ (nmpr｜Abijah) OSHL: a.ae.ai GK: H31, H32 Greek: Ἀβιά Derivation: or prolonged אֲבִיָּהוּ ; from אָב and יָהּ; father (i.e. worshipper) of Jah; Strong's: Abijah, the name of several Israelite men and two Israelitesses KJV: Abiah, Abijah.
H0030	H30	אֲבִיהוּא (ʼĂbîyhûwʼ｜ab-ee-hoo'｜proper noun｜person｜Abihu) [pn] אֲבִיהוּא ETCBC: אֲבִיהוּא (nmpr｜Abihu) OSHL: a.ae.aj GK: H33 Derivation: from אָב and הוּא; father (i.e. worshipper) of Him (i.e. God); Strong's: Abihu, a son of Aaron KJV: Abihu.
