Igehely	Szósorszám	Strong-szám	Angol szó
Gen.1.1	1	H7225	In the beginning
Gen.1.1	2	H430	God
Gen.1.1	3	H1254	created
Gen.1.1	4	H8064	the heavens
Gen.1.1	5	H853	and
Gen.1.1	6	H776	the earth.
Gen.1.2	1	H776	And the earth
Gen.1.2	2	H1961	was
Gen.1.2	3	H8414	waste
Gen.1.2	4	H922	and void;
Gen.1.2	5	H2822	and darkness
Gen.1.2	6	H6440	was upon the face
Gen.1.2	7	H8415	of the deep:
Gen.1.2	8	H7307	and the Spirit
Gen.1.2	9	H430	of God
Gen.1.2	10	H7363	moved
Gen.1.2	11	H5921	upon
Gen.1.2	12	H6440	the face
Gen.1.2	13	H4325	of the waters.
Gen.1.3	1	H430	And God
Gen.1.3	2	H559	said,
Gen.1.3	3	H1961	Let there be
Gen.1.3	4	H216	light:
Gen.1.3	5	H216	and there was light.
Gen.1.4	1	H430	And God
Gen.1.4	2	H7200	saw
Gen.1.4	3	H216	the light,
Gen.1.4	4	H3588	that
Gen.1.4	5	H2896	it was good:
Gen.1.4	6	H430	and God
Gen.1.4	7	H914	divided
Gen.1.4	8	H216	the light
Gen.1.4	9	H996	from
Gen.1.4	10	H2822	the darkness.
Gen.1.5	1	H430	And God
Gen.1.5	2	H7121	called
Gen.1.5	3	H216	the light
Gen.1.5	4	H3117	Day,
Gen.1.5	5	H2822	and the darkness
Gen.1.5	6	H7121	he called
Gen.1.5	7	H3915	Night.
Gen.1.5	8	H6153	And there was evening
Gen.1.5	9	H1242	and there was morning,
Gen.1.5	10	H259	one
Gen.1.5	11	H3117	day.
Gen.1.6	1	H430	And God
Gen.1.6	2	H559	said,
Gen.1.6	3	H7549	Let there be a firmament
Gen.1.6	4	H8432	in the midst
Gen.1.6	5	H4325	of the waters,
Gen.1.6	6	H914	and let it divide
Gen.1.6	7	H4325	the waters
Gen.1.6	8	H4325	from the waters.
Gen.1.7	1	H430	And God
Gen.1.7	2	H6213	made
Gen.1.7	3	H7549	the firmament,
Gen.1.7	4	H914	and divided
Gen.1.7	5	H4325	the waters
Gen.1.7	6	H834	which
Gen.1.7	7	H8478	were under
Gen.1.7	8	H7549	the firmament
Gen.1.7	9	H4325	from the waters
Gen.1.7	10	H834	which
Gen.1.7	11	H5921	were above
Gen.1.7	12	H7549	the firmament:
Gen.1.7	13	H3651	and it was so.
Gen.1.8	1	H430	And God
Gen.1.8	2	H7121	called
Gen.1.8	3	H7549	the firmament
Gen.1.8	4	H8064	Heaven.
Gen.1.8	5	H6153	And there was evening
Gen.1.8	6	H1242	and there was morning,
Gen.1.8	7	H8145	a second
Gen.1.8	8	H3117	day.
Gen.1.9	1	H430	And God
Gen.1.9	2	H559	said,
Gen.1.9	3	H4325	Let the waters
Gen.1.9	4	H8064	under the heavens
Gen.1.9	5	H6960	be gathered together
Gen.1.9	6	H413	unto
Gen.1.9	7	H259	one
Gen.1.9	8	H4725	place,
Gen.1.9	9	H3004	and let the dry
Gen.1.9	10	H7200	land appear: and it was so.
Gen.1.10	1	H430	And God
Gen.1.10	2	H7121	called
Gen.1.10	3	H3004	the dry
Gen.1.10	4	H776	land Earth;
Gen.1.10	5	H4723	and the gathering together
Gen.1.10	6	H4325	of the waters
Gen.1.10	7	H7121	called
Gen.1.10	8	H3220	he Seas:
Gen.1.10	9	H430	and God
Gen.1.10	10	H7200	saw
Gen.1.10	11	H2896	that it was good.
Gen.1.11	1	H430	And God
Gen.1.11	2	H559	said,
Gen.1.11	3	H776	Let the earth
Gen.1.11	4	H1876	put forth
Gen.1.11	5	H1877	grass,
Gen.1.11	6	H6212	herbs
Gen.1.11	7	H2232	yielding
Gen.1.11	8	H2233	seed,
Gen.1.11	9	H6086	and fruit-trees
Gen.1.11	10	H6213	bearing
Gen.1.11	11	H6529	fruit
Gen.1.11	12	H4327	after their kind,
Gen.1.11	13	H834	wherein
Gen.1.11	14	H2233	is the seed
Gen.1.11	15	H776	thereof, upon the earth: and it was so.
Gen.1.12	1	H776	And the earth
Gen.1.12	2	H3318	brought forth
Gen.1.12	3	H1877	grass,
Gen.1.12	4	H6212	herbs
Gen.1.12	5	H2232	yielding
Gen.1.12	6	H2233	seed
Gen.1.12	7	H4327	after their kind,
Gen.1.12	8	H6086	and trees
Gen.1.12	9	H6213	bearing
Gen.1.12	10	H6529	fruit,
Gen.1.12	11	H2233	wherein is the seed
Gen.1.12	12	H4327	thereof, after their kind:
Gen.1.12	13	H430	and God
Gen.1.12	14	H7200	saw
Gen.1.12	15	H2896	that it was good.
Gen.1.13	1	H6153	And there was evening
Gen.1.13	2	H1242	and there was morning,
Gen.1.13	3	H7992	a third
Gen.1.13	4	H3117	day.
Gen.1.14	1	H430	And God
Gen.1.14	2	H559	said,
Gen.1.14	3	H3974	Let there be lights
Gen.1.14	4	H7549	in the firmament
Gen.1.14	5	H8064	of heaven
Gen.1.14	6	H914	to divide
Gen.1.14	7	H3117	the day
Gen.1.14	8	H3915	from the night;
Gen.1.14	9	H226	and let them be for signs,
Gen.1.14	10	H4150	and for seasons,
Gen.1.14	11	H3117	and for days
Gen.1.14	12	H8141	and years:
Gen.1.15	1	H3974	and let them be for lights
Gen.1.15	2	H7549	in the firmament
Gen.1.15	3	H8064	of heaven
Gen.1.15	4	H215	to give light
Gen.1.15	5	H776	upon the earth: and it was so.
Gen.1.16	1	H430	And God
Gen.1.16	2	H6213	made
Gen.1.16	3	H8147	the two
Gen.1.16	4	H1419	great
Gen.1.16	5	H3974	lights;
Gen.1.16	6	H1419	the greater
Gen.1.16	7	H3974	light
Gen.1.16	8	H4475	to rule
Gen.1.16	9	H3117	the day,
Gen.1.16	10	H6996	and the lesser
Gen.1.16	11	H3974	light
Gen.1.16	12	H4475	to rule
Gen.1.16	13	H3915	the night:
Gen.1.16	14	H3556	he made the stars also.
Gen.1.17	1	H430	And God
Gen.1.17	2	H5414	set
Gen.1.17	3	H8064	them in the firmament of heaven
Gen.1.17	4	H215	to give light
Gen.1.17	5	H776	upon the earth,
Gen.1.18	1	H4910	and to rule
Gen.1.18	2	H3117	over the day
Gen.1.18	3	H3915	and over the night,
Gen.1.18	4	H914	and to divide
Gen.1.18	5	H216	the light
Gen.1.18	6	H2822	from the darkness:
Gen.1.18	7	H430	and God
Gen.1.18	8	H7200	saw
Gen.1.18	9	H2896	that it was good.
Gen.1.19	1	H6153	And there was evening
Gen.1.19	2	H1242	and there was morning,
Gen.1.19	3	H7243	a fourth
Gen.1.19	4	H3117	day.
Gen.1.20	1	H430	And God
Gen.1.20	2	H559	said,
Gen.1.20	3	H4325	Let the waters
Gen.1.20	4	H8317	swarm
Gen.1.20	5	H8317	with swarms
Gen.1.20	6	H2416	of living
Gen.1.20	7	H5315	creatures,
Gen.1.20	8	H5775	and let birds
Gen.1.20	9	H5774	fly
Gen.1.20	10	H5921	above
Gen.1.20	11	H776	the earth
Gen.1.20	12	H6440	in the open
Gen.1.20	13	H7549	firmament
Gen.1.20	14	H8064	of heaven.
Gen.1.21	1	H430	And God
Gen.1.21	2	H1254	created
Gen.1.21	3	H1419	the great
Gen.1.21	4	H8577	sea-monsters,
Gen.1.21	5	H2416	and every living
Gen.1.21	6	H5315	creature
Gen.1.21	7	H7430	that moveth,
Gen.1.21	8	H4325	wherewith the waters
Gen.1.21	9	H8317	swarmed,
Gen.1.21	10	H4327	after their kind,
Gen.1.21	11	H3671	and every winged
Gen.1.21	12	H5775	bird
Gen.1.21	13	H4327	after its kind:
Gen.1.21	14	H430	and God
Gen.1.21	15	H7200	saw
Gen.1.21	16	H2896	that it was good.
Gen.1.22	1	H430	And God
Gen.1.22	2	H1288	blessed
Gen.1.22	3	H559	them, saying,
Gen.1.22	4	H6509	Be fruitful,
Gen.1.22	5	H7235	and multiply,
Gen.1.22	6	H4390	and fill
Gen.1.22	7	H4325	the waters
Gen.1.22	8	H3220	in the seas,
Gen.1.22	9	H5775	and let birds
Gen.1.22	10	H7235	multiply
Gen.1.22	11	H776	on the earth.
Gen.1.23	1	H6153	And there was evening
Gen.1.23	2	H1242	and there was morning,
Gen.1.23	3	H2549	a fifth
Gen.1.23	4	H3117	day.
Gen.1.24	1	H430	And God
Gen.1.24	2	H559	said,
Gen.1.24	3	H776	Let the earth
Gen.1.24	4	H3318	bring forth
Gen.1.24	5	H2416	living
Gen.1.24	6	H5315	creatures
Gen.1.24	7	H4327	after their kind,
Gen.1.24	8	H929	cattle,
Gen.1.24	9	H7431	and creeping things,
Gen.1.24	10	H776	and beasts of the earth
Gen.1.24	11	H4327	after their kind: and it was so.
Gen.1.25	1	H430	And God
Gen.1.25	2	H6213	made
Gen.1.25	3	H2416	the beasts
Gen.1.25	4	H776	of the earth
Gen.1.25	5	H4327	after their kind,
Gen.1.25	6	H929	and the cattle
Gen.1.25	7	H4327	after their kind,
Gen.1.25	8	H7431	and everything that creepeth
Gen.1.25	9	H127	upon the ground
Gen.1.25	10	H4327	after its kind:
Gen.1.25	11	H430	and God
Gen.1.25	12	H7200	saw
Gen.1.25	13	H2896	that it was good.
Gen.1.26	1	H430	And God
Gen.1.26	2	H559	said,
Gen.1.26	3	H6213	Let us make
Gen.1.26	4	H120	man
Gen.1.26	5	H6754	in our image,
Gen.1.26	6	H1823	after our likeness:
Gen.1.26	7	H7287	and let them have dominion
Gen.1.26	8	H1710	over the fish
Gen.1.26	9	H3220	of the sea,
Gen.1.26	10	H5775	and over the birds
Gen.1.26	11	H8064	of the heavens,
Gen.1.26	12	H929	and over the cattle,
Gen.1.26	13	H776	and over all the earth,
Gen.1.26	14	H7431	and over every creeping thing
Gen.1.26	15	H7430	that creepeth
Gen.1.26	16	H776	upon the earth.
Gen.1.27	1	H430	And God
Gen.1.27	2	H1254	created
Gen.1.27	3	H120	man
Gen.1.27	4	H6754	in his own image,
Gen.1.27	5	H6754	in the image
Gen.1.27	6	H430	of God
Gen.1.27	7	H1254	created
Gen.1.27	8	H2145	he him; male
Gen.1.27	9	H5347	and female
Gen.1.27	10	H1254	created he them.
Gen.1.28	1	H430	And God
Gen.1.28	2	H1288	blessed
Gen.1.28	3	H430	them: and God
Gen.1.28	4	H559	said
Gen.1.28	5	H6509	unto them, Be fruitful,
Gen.1.28	6	H7235	and multiply,
Gen.1.28	7	H4390	and replenish
Gen.1.28	8	H776	the earth,
Gen.1.28	9	H3533	and subdue it;
Gen.1.28	10	H7287	and have dominion
Gen.1.28	11	H1710	over the fish
Gen.1.28	12	H3220	of the sea,
Gen.1.28	13	H5775	and over the birds
Gen.1.28	14	H8064	of the heavens,
Gen.1.28	15	H2416	and over every living thing
Gen.1.28	16	H7430	that moveth
Gen.1.28	17	H776	upon the earth.
Gen.1.29	1	H430	And God
Gen.1.29	2	H559	said,
Gen.1.29	3	H2009	Behold,
Gen.1.29	4	H5414	I have given
Gen.1.29	5	H6212	you every herb
Gen.1.29	6	H2232	yielding
Gen.1.29	7	H2233	seed,
Gen.1.29	8	H6440	which is upon the face
Gen.1.29	9	H776	of all the earth,
Gen.1.29	10	H6086	and every tree,
Gen.1.29	11	H6529	in which is the fruit
Gen.1.29	12	H6086	of a tree
Gen.1.29	13	H2232	yielding
Gen.1.29	14	H2233	seed;
Gen.1.29	15	H1961	to you it shall be
Gen.1.29	16	H402	for food:
Gen.1.30	1	H2416	and to every beast
Gen.1.30	2	H776	of the earth,
Gen.1.30	3	H5775	and to every bird
Gen.1.30	4	H8064	of the heavens,
Gen.1.30	5	H7430	and to everything that creepeth
Gen.1.30	6	H776	upon the earth,
Gen.1.30	7	H2416	wherein there is life,
Gen.1.30	8	H3418	I have given every green
Gen.1.30	9	H6212	herb
Gen.1.30	10	H402	for food: and it was so.
Gen.1.31	1	H430	And God
Gen.1.31	2	H7200	saw
Gen.1.31	3	H834	everything that
Gen.1.31	4	H6213	he had made,
Gen.1.31	5	H3966	and, behold, it was very
Gen.1.31	6	H2896	good.
Gen.1.31	7	H6153	And there was evening
Gen.1.31	8	H1242	and there was morning,
Gen.1.31	9	H8345	the sixth
Gen.1.31	10	H3117	day.
Gen.2.1	1	H8064	And the heavens
Gen.2.1	2	H776	and the earth
Gen.2.1	3	H3615	were finished,
Gen.2.1	4	H6635	and all the host of them.
Gen.2.2	1	H7637	And on the seventh
Gen.2.2	2	H3117	day
Gen.2.2	3	H430	God
Gen.2.2	4	H3615	finished
Gen.2.2	5	H4399	his work
Gen.2.2	6	H6213	which he had made;
Gen.2.2	7	H7673	and he rested
Gen.2.2	8	H7637	on the seventh
Gen.2.2	9	H3117	day
Gen.2.2	10	H4399	from all his work
Gen.2.2	11	H6213	which he had made.
Gen.2.3	1	H430	And God
Gen.2.3	2	H1288	blessed
Gen.2.3	3	H7637	the seventh
Gen.2.3	4	H3117	day,
Gen.2.3	5	H6942	and hallowed
Gen.2.3	6	H3588	it; because
Gen.2.3	7	H7673	that in it he rested
Gen.2.3	8	H4399	from all his work
Gen.2.3	9	H430	which God
Gen.2.3	10	H1254	had created
Gen.2.3	11	H6213	and made.
Gen.2.4	1	H428	These
Gen.2.4	2	H8435	are the generations
Gen.2.4	3	H8064	of the heavens
Gen.2.4	4	H776	and of the earth
Gen.2.4	5	H1254	when they were created,
Gen.2.4	6	H3117	in the day
Gen.2.4	7	H3068	that Jehovah
Gen.2.4	8	H430	God
Gen.2.4	9	H6213	made
Gen.2.4	10	H776	earth
Gen.2.4	11	H8064	and heaven.
Gen.2.5	1	H7880	And no plant
Gen.2.5	2	H7704	of the field
Gen.2.5	3	H2962	was yet
Gen.2.5	4	H776	in the earth,
Gen.2.5	5	H6212	and no herb
Gen.2.5	6	H7704	of the field
Gen.2.5	7	H2962	had yet
Gen.2.5	8	H6779	sprung up;
Gen.2.5	9	H3588	for
Gen.2.5	10	H3068	Jehovah
Gen.2.5	11	H430	God
Gen.2.5	12	H3808	had not
Gen.2.5	13	H4305	caused it to rain
Gen.2.5	14	H776	upon the earth:
Gen.2.5	15	H369	and there was not
Gen.2.5	16	H120	a man
Gen.2.5	17	H5647	to till
Gen.2.5	18	H127	the ground;
Gen.2.6	1	H5927	but there went up
Gen.2.6	2	H108	a mist
Gen.2.6	3	H4480	from
Gen.2.6	4	H776	the earth,
Gen.2.6	5	H8248	and watered
Gen.2.6	6	H6440	the whole face
Gen.2.6	7	H127	of the ground.
Gen.2.7	1	H3068	And Jehovah
Gen.2.7	2	H430	God
Gen.2.7	3	H3335	formed
Gen.2.7	4	H120	man
Gen.2.7	5	H6083	of the dust
Gen.2.7	6	H4480	of
Gen.2.7	7	H127	the ground,
Gen.2.7	8	H5301	and breathed
Gen.2.7	9	H639	into his nostrils
Gen.2.7	10	H5397	the breath
Gen.2.7	11	H2416	of life;
Gen.2.7	12	H120	and man
Gen.2.7	13	H2416	became a living
Gen.2.7	14	H5315	soul.
Gen.2.8	1	H3068	And Jehovah
Gen.2.8	2	H430	God
Gen.2.8	3	H5193	planted
Gen.2.8	4	H1588	a garden
Gen.2.8	5	H6924	eastward,
Gen.2.8	6	H5731	in Eden;
Gen.2.8	7	H8033	and there
Gen.2.8	8	H7760	he put
Gen.2.8	9	H120	the man
Gen.2.8	10	H834	whom
Gen.2.8	11	H3335	he had formed.
Gen.2.9	1	H4480	And out
Gen.2.9	2	H127	of the ground
Gen.2.9	3	H6779	made
Gen.2.9	4	H3068	Jehovah
Gen.2.9	5	H430	God
Gen.2.9	6	H6779	to grow
Gen.2.9	7	H6086	every tree
Gen.2.9	8	H2530	that is pleasant
Gen.2.9	9	H4758	to the sight,
Gen.2.9	10	H2896	and good
Gen.2.9	11	H3978	for food;
Gen.2.9	12	H6086	the tree
Gen.2.9	13	H2416	of life
Gen.2.9	14	H8432	also in the midst
Gen.2.9	15	H1588	of the garden,
Gen.2.9	16	H6086	and the tree
Gen.2.9	17	H1847	of the
Gen.2.9	18	H2896	knowledge of good
Gen.2.9	19	H7451	and evil.
Gen.2.10	1	H5104	And a river
Gen.2.10	2	H3318	went out
Gen.2.10	3	H5731	of Eden
Gen.2.10	4	H8248	to water
Gen.2.10	5	H1588	the garden;
Gen.2.10	6	H6504	and from thence it was parted,
Gen.2.10	7	H702	and became four
Gen.2.10	8	H7218	heads.
Gen.2.11	1	H8034	The name
Gen.2.11	2	H259	of the first
Gen.2.11	3	H6376	is Pishon:
Gen.2.11	4	H1931	that
Gen.2.11	5	H5437	is it which compasseth
Gen.2.11	6	H776	the whole land
Gen.2.11	7	H2341	of Havilah,
Gen.2.11	8	H834	where
Gen.2.11	9	H2091	there is gold;
Gen.2.12	1	H2091	and the gold
Gen.2.12	2	H1931	of that
Gen.2.12	3	H776	land
Gen.2.12	4	H2896	is good:
Gen.2.12	5	H916	there is bdellium
Gen.2.12	6	H7718	and the onyx
Gen.2.12	7	H68	stone.
Gen.2.13	1	H8034	And the name
Gen.2.13	2	H8145	of the second
Gen.2.13	3	H5104	river
Gen.2.13	4	H1521	is Gihon:
Gen.2.13	5	H5437	the same is it that compasseth
Gen.2.13	6	H776	the whole land
Gen.2.13	7	H3568	of Cush.
Gen.2.14	1	H8034	And the name
Gen.2.14	2	H7992	of the third
Gen.2.14	3	H5104	river
Gen.2.14	4	H2313	is Hiddekel:
Gen.2.14	5	H1980	that is it which goeth in front
Gen.2.14	6	H6926	of
Gen.2.14	7	H804	Assyria.
Gen.2.14	8	H7243	And the fourth
Gen.2.14	9	H5104	river
Gen.2.14	10	H6578	is the Euphrates.
Gen.2.15	1	H3068	And Jehovah
Gen.2.15	2	H430	God
Gen.2.15	3	H3947	took
Gen.2.15	4	H120	the man,
Gen.2.15	5	H3240	and put him
Gen.2.15	6	H1588	into the garden
Gen.2.15	7	H5731	of Eden
Gen.2.15	8	H5647	to dress
Gen.2.15	9	H8104	it and to keep it.
Gen.2.16	1	H3068	And Jehovah
Gen.2.16	2	H430	God
Gen.2.16	3	H6680	commanded
Gen.2.16	4	H120	the man,
Gen.2.16	5	H559	saying,
Gen.2.16	6	H6086	Of every tree
Gen.2.16	7	H1588	of the garden
Gen.2.16	8	H398	thou mayest freely
Gen.2.16	9	H398	eat:
Gen.2.17	1	H6086	but of the tree
Gen.2.17	2	H1847	of the knowledge
Gen.2.17	3	H2896	of good
Gen.2.17	4	H7451	and evil,
Gen.2.17	5	H398	thou shalt not eat
Gen.2.17	6	H3117	of it: for in the day
Gen.2.17	7	H398	that thou eatest
Gen.2.17	8	H4191	thereof thou shalt surely
Gen.2.17	9	H4191	die.
Gen.2.18	1	H3068	And Jehovah
Gen.2.18	2	H430	God
Gen.2.18	3	H559	said,
Gen.2.18	4	H2896	It is not good
Gen.2.18	5	H120	that the man
Gen.2.18	6	H1961	should be
Gen.2.18	7	H6213	alone; I will make
Gen.2.18	8	H5828	him a help meet for him.
Gen.2.19	1	H127	And out of the ground
Gen.2.19	2	H3068	Jehovah
Gen.2.19	3	H430	God
Gen.2.19	4	H3335	formed
Gen.2.19	5	H2416	every beast
Gen.2.19	6	H7704	of the field,
Gen.2.19	7	H5775	and every bird
Gen.2.19	8	H8064	of the heavens;
Gen.2.19	9	H935	and brought
Gen.2.19	10	H7200	them unto the man to see
Gen.2.19	11	H7121	what he would call
Gen.2.19	12	H120	them: and whatsoever the man
Gen.2.19	13	H7121	called
Gen.2.19	14	H2416	every living
Gen.2.19	15	H5315	creature,
Gen.2.19	16	H1931	that
Gen.2.19	17	H8034	was the name thereof.
Gen.2.20	1	H120	And the man
Gen.2.20	2	H7121	gave
Gen.2.20	3	H8034	names
Gen.2.20	4	H929	to all cattle,
Gen.2.20	5	H5775	and to the birds
Gen.2.20	6	H8064	of the heavens,
Gen.2.20	7	H2416	and to every beast
Gen.2.20	8	H7704	of the field;
Gen.2.20	9	H120	but for man
Gen.2.20	10	H4672	there was not found
Gen.2.20	11	H5828	a help meet for him.
Gen.2.21	1	H3068	And Jehovah
Gen.2.21	2	H430	God
Gen.2.21	3	H5307	caused
Gen.2.21	4	H8639	a deep sleep
Gen.2.21	5	H5307	to fall
Gen.2.21	6	H121	upon the man,
Gen.2.21	7	H3462	and he slept;
Gen.2.21	8	H3947	and he took
Gen.2.21	9	H259	one
Gen.2.21	10	H6763	of his ribs,
Gen.2.21	11	H5462	and closed up
Gen.2.21	12	H1320	the flesh instead thereof:
Gen.2.22	1	H6763	and the rib,
Gen.2.22	2	H3068	which Jehovah
Gen.2.22	3	H430	God
Gen.2.22	4	H3947	had taken
Gen.2.22	5	H120	from the man,
Gen.2.22	6	H1129	made
Gen.2.22	7	H802	he a woman,
Gen.2.22	8	H935	and brought
Gen.2.22	9	H120	her unto the man.
Gen.2.23	1	H120	And the man
Gen.2.23	2	H559	said,
Gen.2.23	3	H2063	This
Gen.2.23	4	H6471	is now
Gen.2.23	5	H6106	bone
Gen.2.23	6	H6106	of my bones,
Gen.2.23	7	H1320	and flesh
Gen.2.23	8	H1320	of my flesh:
Gen.2.23	9	H2063	she
Gen.2.23	10	H7121	shall be called
Gen.2.23	11	H802	Woman,
Gen.2.23	12	H2063	because she
Gen.2.23	13	H3947	was taken
Gen.2.23	14	H376	out of Man.
Gen.2.24	1	H3651	Therefore
Gen.2.24	2	H376	shall a man
Gen.2.24	3	H5800	leave
Gen.2.24	4	H1	his father
Gen.2.24	5	H517	and his mother,
Gen.2.24	6	H1692	and shall cleave
Gen.2.24	7	H802	unto his wife:
Gen.2.24	8	H259	and they shall be one
Gen.2.24	9	H1320	flesh.
Gen.2.25	1	H8147	And they were both
Gen.2.25	2	H6174	naked,
Gen.2.25	3	H120	the man
Gen.2.25	4	H802	and his wife,
Gen.2.25	5	H954	and were not ashamed.
Gen.3.1	1	H5175	Now the serpent
Gen.3.1	2	H1961	was
Gen.3.1	3	H6175	more subtle
Gen.3.1	4	H2416	than any beast
Gen.3.1	5	H7704	of the field
Gen.3.1	6	H3068	which Jehovah
Gen.3.1	7	H430	God
Gen.3.1	8	H6213	had made.
Gen.3.1	9	H559	And he said
Gen.3.1	10	H802	unto the woman,
Gen.3.1	11	H637	Yea,
Gen.3.1	12	H430	hath God
Gen.3.1	13	H559	said,
Gen.3.1	14	H398	Ye shall not eat
Gen.3.1	15	H6086	of any tree
Gen.3.1	16	H1588	of the garden?
Gen.3.2	1	H802	And the woman
Gen.3.2	2	H559	said
Gen.3.2	3	H5175	unto the serpent,
Gen.3.2	4	H6529	Of the fruit
Gen.3.2	5	H6086	of the trees
Gen.3.2	6	H1588	of the garden
Gen.3.2	7	H398	we may eat:
Gen.3.3	1	H6529	but of the fruit
Gen.3.3	2	H6086	of the tree
Gen.3.3	3	H8432	which is in the midst
Gen.3.3	4	H1588	of the garden,
Gen.3.3	5	H430	God
Gen.3.3	6	H559	hath said,
Gen.3.3	7	H398	Ye shall not eat
Gen.3.3	8	H5060	of it, neither shall ye touch
Gen.3.3	9	H6435	it, lest
Gen.3.3	10	H4191	ye die.
Gen.3.4	1	H5175	And the serpent
Gen.3.4	2	H559	said
Gen.3.4	3	H802	unto the woman,
Gen.3.4	4	H4191	Ye shall not surely
Gen.3.4	5	H4191	die:
Gen.3.5	1	H430	for God
Gen.3.5	2	H3045	doth know
Gen.3.5	3	H3117	that in the day
Gen.3.5	4	H398	ye eat
Gen.3.5	5	H5869	thereof, then your eyes
Gen.3.5	6	H6491	shall be opened,
Gen.3.5	7	H430	and ye shall be as God,
Gen.3.5	8	H3045	knowing
Gen.3.5	9	H2896	good
Gen.3.5	10	H7451	and evil.
Gen.3.6	1	H802	And when the woman
Gen.3.6	2	H7200	saw
Gen.3.6	3	H6086	that the tree
Gen.3.6	4	H2896	was good
Gen.3.6	5	H3978	for food,
Gen.3.6	6	H1931	and that it
Gen.3.6	7	H8378	was a delight
Gen.3.6	8	H5869	to the eyes,
Gen.3.6	9	H6086	and that the tree
Gen.3.6	10	H2530	was to be desired
Gen.3.6	11	H7919	to make one wise,
Gen.3.6	12	H3947	she took
Gen.3.6	13	H6529	of the fruit thereof,
Gen.3.6	14	H398	and did eat;
Gen.3.6	15	H5414	and she gave
Gen.3.6	16	H1571	also
Gen.3.6	17	H376	unto her husband
Gen.3.6	18	H398	with her, and he did eat.
Gen.3.7	1	H5869	And the eyes
Gen.3.7	2	H8147	of them both
Gen.3.7	3	H6491	were opened,
Gen.3.7	4	H1992	and they
Gen.3.7	5	H3045	knew
Gen.3.7	6	H5903	that they were naked;
Gen.3.7	7	H8609	and they sewed
Gen.3.7	8	H8384	fig
Gen.3.7	9	H5929	-leaves
Gen.3.7	10	H8609	together,
Gen.3.7	11	H6213	and made themselves
Gen.3.7	12	H2290	aprons.
Gen.3.8	1	H8085	And they heard
Gen.3.8	2	H6963	the voice
Gen.3.8	3	H3068	of Jehovah
Gen.3.8	4	H430	God
Gen.3.8	5	H1980	walking
Gen.3.8	6	H1588	in the garden
Gen.3.8	7	H7307	in the cool
Gen.3.8	8	H3117	of the day:
Gen.3.8	9	H120	and the man
Gen.3.8	10	H802	and his wife
Gen.3.8	11	H2244	hid themselves
Gen.3.8	12	H6440	from the presence
Gen.3.8	13	H3068	of Jehovah
Gen.3.8	14	H430	God
Gen.3.8	15	H8432	amongst
Gen.3.8	16	H6086	the trees
Gen.3.8	17	H1588	of the garden.
Gen.3.9	1	H3068	And Jehovah
Gen.3.9	2	H430	God
Gen.3.9	3	H7121	called
Gen.3.9	4	H120	unto the man,
Gen.3.9	5	H559	and said
Gen.3.9	6	H335	unto him, Where art thou?
Gen.3.10	1	H559	And he said,
Gen.3.10	2	H8085	I heard
Gen.3.10	3	H6963	thy voice
Gen.3.10	4	H1588	in the garden,
Gen.3.10	5	H3372	and I was afraid,
Gen.3.10	6	H595	because I
Gen.3.10	7	H5903	was naked;
Gen.3.10	8	H2244	and I hid myself.
Gen.3.11	1	H559	And he said,
Gen.3.11	2	H4310	Who
Gen.3.11	3	H5046	told
Gen.3.11	4	H5903	thee that thou wast naked?
Gen.3.11	5	H398	Hast thou eaten
Gen.3.11	6	H6086	of the tree,
Gen.3.11	7	H6680	whereof I commanded thee
Gen.3.11	8	H1115	that thou shouldest not
Gen.3.11	9	H398	eat?
Gen.3.12	1	H120	And the man
Gen.3.12	2	H559	said,
Gen.3.12	3	H802	The woman
Gen.3.12	4	H5414	whom thou gavest
Gen.3.12	5	H5978	to be with me,
Gen.3.12	6	H1931	she
Gen.3.12	7	H5414	gave
Gen.3.12	8	H6086	me of the tree,
Gen.3.12	9	H398	and I did eat.
Gen.3.13	1	H3068	And Jehovah
Gen.3.13	2	H430	God
Gen.3.13	3	H559	said
Gen.3.13	4	H802	unto the woman,
Gen.3.13	5	H6213	What is this thou hast done?
Gen.3.13	6	H802	And the woman
Gen.3.13	7	H559	said,
Gen.3.13	8	H5175	The serpent
Gen.3.13	9	H5377	beguiled me,
Gen.3.13	10	H398	and I did eat.
Gen.3.14	1	H3068	And Jehovah
Gen.3.14	2	H430	God
Gen.3.14	3	H559	said
Gen.3.14	4	H5175	unto the serpent,
Gen.3.14	5	H859	Because thou
Gen.3.14	6	H6213	hast done
Gen.3.14	7	H779	this, cursed
Gen.3.14	8	H929	art thou above all cattle,
Gen.3.14	9	H2416	and above every beast
Gen.3.14	10	H7704	of the field;
Gen.3.14	11	H1512	upon thy belly
Gen.3.14	12	H3212	shalt thou go,
Gen.3.14	13	H6083	and dust
Gen.3.14	14	H398	shalt thou eat
Gen.3.14	15	H3117	all the days
Gen.3.14	16	H2416	of thy life:
Gen.3.15	1	H7896	and I will put
Gen.3.15	2	H342	enmity
Gen.3.15	3	H802	between thee and the woman,
Gen.3.15	4	H2233	and between thy seed
Gen.3.15	5	H2233	and her seed:
Gen.3.15	6	H7779	he shall bruise
Gen.3.15	7	H7218	thy head,
Gen.3.15	8	H7779	and thou shalt bruise
Gen.3.15	9	H6119	his heel.
Gen.3.16	1	H802	Unto the woman
Gen.3.16	2	H559	he said,
Gen.3.16	3	H7235	I will greatly
