Strong_padded	Strong_eredeti	Teljes_szocikk
G0012	G12	ἄβυσσος, ον, I bottomless, unfathomed, πηγαί Hdt. 2.28; ἄτης ἄβυσσον πέλαγος A. Supp. 470; χάσματα E. Ph. 1605; λίμνη Ar. Ra. 137: generally, unfathomable, boundless, πλοῦτος A. Th. 948; ἀργύριον Ar. Lys. 174; φρένα Δίαν καθορᾶν, ὄψιν ἄβυσσον A. Supp. 1058. II ἡ ἄ. the great deep, LXX Gen 1:2, etc.: the abyss, underworld, Luk 8:31, Rom 10:7, Rev 9:1, etc.; the infinite void, PMag.Par. 1.1120, cf. PMag.Lond. 121.261.
G0013	G13	Ἄγαβος This entry is a name, title, city, people, river, land, or tribe and is not Defined by LSJ (Note: there are some exceptions they will have there definitions)
G0014	G14	ἀγαθοεργέω do good or well, 1Ti 6:18: contr. ἀγαθο-ουργέω, Act 14:17. ἀγαθο-λογέω, use fair words, Eust. 378.30.
G0015	G15	ἀγαθο-ποιέω, Ι. 1. do good, Mar 3:4, S.E. M. 11.70, Aesop. 66. 2. ἀ. τινά do good to, Luk 6:33: c. dupl. acc., LXX Num 10:32, Aristeas 242: τινί LXX 2Ma 1:2 . 3. make good, τι Plot. 6.7.22; τὰ κακά Corp.Herm. 9.4. 4. Astrol., make favourable, Vett.Val. 203.32: Pass., Jul.Laod. in Cat.Cod.Astr. 5(1).185. exert beneficent influence, Procl. Par.Ptol. 292. II. do well, act rightly, 1Pe 2:15.
G0016	G16	ἀγαθο-ποιία, ἡ, = Ι. foreg., 1Pe 4:19, al. II. propitious influence, Vett.Val. 164.17, Ptol. Tetr. 38.
G0017	G17	ἀγαθο-ποιός, όν, Ι. beneficent, LXX Si. 42.14, Plu. 2.368b, Porph. Mar 17; of the King of Persia, Men.Prot. p.16D.: c. gen., -ποιὲ τῆς οἰκουμένης PMag.Lond. 122.16. II. Astrol., exerting beneficent influence, Ptol. Tetr. 19, Artem. 4.59, PMag.Lond. 46.48, etc. III. creating the Good, Dam. Pr. 33.
G0018	G18	ἀγᾰθός [ᾰγ], ή, όν, Lacon. ἀγασός Ar. Lys. 1301, Cypr. ἀζαθός GDI 57: - good: I of persons, 1. well-born, gentle, opp. κακός, δειλός, οἷά τε τοῖς ἀγαθοῖσι παραδρώωσι χέρηες Od. 15.324, cf. Il. 1.275; ἀφνειός τ’ ἀ. τε Il. 13.664, cf. Od. 18.276; πατρὸς δ’ εἴμ’ ἀγαθοῖο, θεὰ δέ με γείνατο μήτηρ Il. 21.109, cf. Od. 4.611; κακὸς ἐξ ἀ. Thgn. 190, cf. 57 sq.; πραῢς ἀστοῖς, οὐ φθονέων ἀγαθοῖς Pi. P. 3.71, cf. 2.96, 4.285; τίς ἂν εὔπατρις ὧδε βλάστοι; οὐδεὶς τῶν ἀ. κτλ. S. El. 1082; οἵ τ’ ἀ. πρὸς τῶν ἀγενῶν κατανικῶνται Id. Fr. 84; τοὺς εὐγενεῖς γὰρ κἀγαθοὺς.. φιλεῖ Ἄρης ἐναίρειν ib. 649, cf. E. Alc. 600, al.: ἀγαθοὶ καὶ ἐξ ἀγαθῶν Pl. Phdr. 274a: - in political sense, aristocrats, esp. in the phrase καλοὶ κἀγαθοί (v. sub καλοκἀγαθός). 2. brave, valiant, since courage was attributed to Chiefs and Nobles, Il. 1.131, al.; τῷ κ’ ἀγαθὸς μὲν ἔπεφν’, ἀγαθὸν δέ κεν ἐξενάριξεν 21.280; cf. Hdt. 5.109, etc. 3. good, capable, in reference to ability, ἀ. βασιλεύς Il. 3.179; ἰητήρ 2.732; θεράπων 16.165, 17.388; πύκτης Xenoph. 2.15; ἰητρός Hp. Prog. 1; προβατογνώμων A. Ag. 795; ἄρχοντες Democr. 266: freq. with qualifying words, ἀ. ἐν ὑσμίνῃ Il. 13.314; βοὴν ἀ. 2.408, 563, al.; πύξ Od. 11.300; βίην Il. 6.478; γνώμην S. OT 687; πᾶσαν ἀρετήν Pl. Lg. 899b, cf. Alc. 1.124e; τέχνην Id. Prt. 323b; τὰ πολέμια, τὰ πολιτικά, Hdt. 9.122, Pl. Grg. 516b, etc.: more rarely c. dat., ἀ. πολέμῳ X. Oec. 4.15: with Preps., ἄνδρες ἀ. περὶ τὸ πλῆθος Lys. 13.2; εἴς τι Pl. Alc. 1.125a; πρός τι Id. R. 407e: c. inf., ἀ. μάχεσθαι Hdt. 1.136; ἱππεύεσθαι 1.79; ἀ. ἱστάναι good at weighing, Pl. Prt. 356b. 4. good, in moral sense, first in Thgn. 438, cf. Heraclit. 104, S. El. 1082, X. Mem. 1.7.1, Pl. Ap. 41d, etc.; ψυχῆς ἀγαθῆς πατρὶς ὁ ξύμπας κόσμος Democr. 247: freq. with other Adjs., ὁ πιστὸς κἀ. S. Tr. 541; δικαίων κἀ. ib. 1050: - ironical, τὸν ἀ. Κρέοντα Id. Ant. 31. 5. ὦ ἀγαθέ, my good friend, as a term of gentle remonstrance, Pl. Prt. 311a, etc. 6. ἀ. δαίμων, v. sub δαίμων; ἀ. τύχη, v. sub τύχη; ἀ. θεός = Lat. bona dea, Plu. Caes. 9, Cic. 19. II of things, 1 good, serviceable, Ἰθάκη.. ἀ. κουροτρόφος Od. 9.27, etc.; ἀ. τοῖς τοκεῦσι, τῇ πόλει X. Cyn. 13.17: c. gen., εἴ τι οἶδα πυρετοῦ ἀ. good for it, Id. Mem. 3.8.3; ἑλκῶν Thphr. HP 9.11.1. 2. of outward circumstances, αἰδὼς οὐκ ἀ. κεχρημένῳ ἀνδρὶ παρεῖναι Od. 17.347; εἰπεῖν εἰς ἀγαθόν to good purpose, Il. 9.102; ὁ δὲ πείσεται εἰς ἀ. περ for his own good end, 11.789; οὐκ ἀγαθὸν πολυκοιρανίη 2.204: - ἀγαθόν [ἐστι ], c. inf., it is good to do so and so[*] Il. 7.282, 24.130, Od. 3.196, etc. 3. morally good, πρῆξις Democr. 177; ἔργα Emp. 112.2, cf. Rom 2:7, etc. 4. ἀγαθόν, τό, good, blessing, benefit, of persons or things, ὦ μέγα ἀ. σὺ τοῖς φίλοις X. Cyr. 5.3.20; φίλον, ὃ μέγιστον ἀ. εἶναί φασι Id. Mem. 2.4.2, cf. Ar. Ra. 74, etc; as term of endearment for a baby, blessing!, treasure!, Men. Sam. 28: - ἀγαθόν τινα δεδρακέναι, πεποιηκέναι confer a benefit on.., Th. 3.68, Lys. 13.92; ἐπ’ ἀγαθῷ τινος for one’s good, Th. 5.27, X. Cyr. 7.4.3; ἐπ’ ἀ. τοῖς πολίταις Ar. Ra. 1487; οὐκ ἐπ’ ἀ. for no good end, Th. 1.131; ἐπ’ οὐδενὶ ἀ. τῆς Ἑλλάδος X. HG 5.2.35: - in pl., ἡ ἐπ’ ἀγαθοῖς γεναμένη (sic) κατασπορά PFlor. 21.10 (iii A.D.): - τὸ ἀ. or τἀ., the good, Epich. 171.5, cf. Pl. R. 506b, 508e, Arist. Metaph. 1091a31, etc.: - in pl., ἀγαθά, τά, goods of fortune, treasures, wealth, Hdt. 2.172, Lys. 13.91, X. Mem. 1.2.63, etc.; ἀγαθὰ πράττειν fare well, Ar. Av. 1706; also, good things, dainties, Thgn. 1000, Ar. Ach. 873, etc.: good qualities, τοῖς ἀ., οἷς ἔχομεν ἐν τῇ ψυχῇ Isoc. 8.32, cf. Democr. 37; good points, of a horse, εἰ τἄλλα πάντα ἀ. ἔχοι, κακόπους δ’ εἴη X. Eq. 1.2. III Comp. and Sup. are usu. supplied from other stems, viz. Comp. ἀμείνων, ἀρείων[] βελτίων, κρείσσων (κάρρων), λωΐων (λὥων), βέλτερος, λωΐτερος, φέρτερος: - Sup. ἄριστος, βέλτιστος, κράτιστος, λώϊστος (λῷστος), βέλτατος, κάρτιστος, φέρτατος, φέριστος: - later, reg. Comp. ἀγαθώτερος LXX Jd. 11.25, LXX Jd. 15.2, D.S. 8 Fr. 12, Plot. 5.5.9, Diod.Rh. p.53.9H.: Sup. ἀγαθώτατος D.S. 16.85, Hld. 5.15, etc. (-ότατος POxy. 1757.26 (ii A.D.)). Adv. usually εὖ, q.v.: ἀγαθῶς Hp. Off. 9, Arist. Rh. 1388b6, LXX 1Ki 20:7. (Etym. dub. (ὅτι ἄγει ἡμᾶς ἐπὶ τὸν ὀρθὸν βίον Stoic. 3.49); perh. cognate with ἄγαμαι, hence admirable.)
G0019	G19	ἀγαθωσύνη, ἡ, goodness, kindness, LXX Jdg 9:16, al., Rom 15:14, Eph 5:9.
G0020	G20	ἀγαλλί-ᾱσις, εως, ἡ, great joy, exultation, LXX Job 8:21, al., Luk 1:14; Luk 1:44; Enoch 5:9, Ps.-Callisth. 2.22.
G0021	G21	ἀγαλλι-άω, late form of ἀγάλλομαι, rejoice exceedingly, Rev 19:7 (v.l. ἀγαλλιώμεθα) ; ἠγαλλίᾱσα Luk 1:47, cf. POxy. 1592.4 (iii/iv A.D.): - more common as D ἀγαλλιάομαι, LXX Isa 12:6, al.: fut. -άσομαι Psa 5:11: aor. ἠγαλλιᾱσάμην Psa 16:2(15).2, Joh 8:56; ἠγαλλιάσθην ib. 5.35. - This family of words seems also to have been used in malam partem,
G0022	G22	ἄγαμ-ος, ον, I. unmarried, single, prop. of the man, whether bachelor or widower (ἄνανδρος being used of the woman), Il. 3.40, X. Smp. 9.7, etc.; ζῶ δὲ Τίμωνος βίον, ἄγαμον, ἄδουλον Phryn.Com. 18: - of the woman, A. Supp. 143, S. OT 1502, E. Or. 205. Adv. -ως Sch. ad loc. II. γάμος ἄ. marriage that is no marriage, fatal marriage, S. OT 1214, E. Hel. 690.
G0023	G23	ἀγᾰνακτ-έω, I. properly in physical sense, feel a violent irritation, of the effects of cold on the body, Hp. Liqu. 2, cf. Heliod. ap. Orib. 46.7.8; of wine, ferment, Plu. 2.734e; so metaph., ζεῖ τε καὶ ἀ., of the soul, Pl. Phdr. 251c. II. metaph., 1. to be displeased, vexed, μηδ’ ἀγανάκτει Ar. V. 287; esp. show outward signs of grief, κλάων καὶ ἀ. Pl. Phd. 117d; τὰ σπλάγχν’ ἀγανακτεῖ Ar. Ra. 1006, etc.; ἀ. ἐνθυμούμενος.. And. 4.18: - foll. by a relat., ἀ. ὅτι.. Antipho 4.2.1, Lys. 3.3; ἀ. εἰ.., ἐάν.. And. 1.139, Pl. La. 194a. 2. c. dat. rei, to be vexed at a thing, θανάτῳ Pl. Phd. 63b, etc.; c. acc. neut., ib. 64a; ἀ. ταῦτα, ὅτι.. Id. Euthphr. 4d; ἀ. ἐπί τινι Lys. 1.1, Isoc. 16.49, etc.; ὑπέρ τινος Pl. Euthd. 283e, etc.; περί τινος Id. 349d; διά τι Id. Phd. 63c; πρός τι Epict. Ench. 4, M.Ant. 7.66; and sts. c. gen. rei, AB 334. 3. to be vexed at or with a person, τινί X. HG 5.3.11; πρός τινα Plu. Cam. 28, Diog.Oen. 68; κατά τινος Luc. Tim. 18: - c. part., to be angry at, ἀ. ἀποθνῄσκοντας Pl. Phd. 62e, cf. 67d. III Med. in act. sense, aor. part. -ησάμενος Luc. Somn. 4; prob. in Palaeph. 40; ἠγανάκτηνται τῷ πράγματι Hyp. Fr. 70.
G0024	G24	ἀγᾰνάκτ-ησις, εως, ἡ, I physical pain and irritation, ἀ. περὶ τὰ οὖλα, of the irritation caused by teething, Pl. Phdr. 251c. II vexation, ἀγανάκτησιν ἔχει Th. 2.41, cf. 2Co 7:11, Plot. 4.4.19: - of God, wrath, Porph. Mar 7:1-37, Jul. Gal. 171e.
G0025	G25	ἀγαπάω (Dor. ἀγανο-έω Archyt. ap. Stob. 3.1.110), aor. ἀγάπησα Od. 23.214: pf. ἠγάπηκα Isoc. 15.147, etc. I. 1. I greet with affection (cf. foreg.), once in Hom., Od.l.c.: - in Trag. only show affection for the dead, ὅτ’ ἠγάπα νεκρούς E. Supp. 764, cf. Hel. 937: - Pass., to be regarded with affection, ξένων εὐεργεσίαις ἀγαπᾶται Pi. I. 5(6).70: - generally, love, ὥσπερ.. οἱ ποιηταὶ τὰ αὑτῶν ποιήματα καὶ οἱ πατέρες τοὺς παῖδας ἀγαπῶσι Pl. R. 330c, cf. Lg. 928a; ὡς λύκοι ἄρν’ ἀγαπῶσ’ Poet. ap. Phdr. 241d; ἀ. τοὺς ἐπαινέτας ib. 257e; ἐπιστήμην, τὰ χρήματα, etc., Id. Phlb. 62d, al.; τούτους ἀγαπᾶ καὶ περὶ αὑτὸν ἔχει D. 2.19; ὁ μέγιστον ἀγαπῶν δι’ ἐλάχιστ’ ὀργίζεται Men. 659; esp. of children, αὐτὸν ἐτιθηνούμην ἀγαπῶσα Id. Sam. 32, etc.: - Pass., Pl. Plt. 301d, etc.; ὑπὸ τῶν θεῶν ἠγαπῆσθαι D. 61.9; ὑπὸ τοῦ φθᾶ OGI 90.4 (Rosetta, ii B. C.); so in LXX of the love of God for man and of man for God, Isa 41:8, Deu 11:1, al., cf. Joh 3:21, Rom 8:28: - as dist. fr. φιλέω (q. v.) implying regard rather than affection, but the two are interchanged, cf. X. Mem. 2.7.9 and 12; φιλεῖσθαι defined as ἀγαπᾶσθαι αὐτὸν δι’ αὑτόν Arist. Rh. 1371a21: - seldom of sexual love, for ἐράω, Arist. Fr. 76, Luc. JTr. 2; ἀ. ἑταίραν Anaxil. 22.1 (but ἀ. ἑταίρας to be fond of them, X. Mem. 1.5.4; ἐρωτικὴν μέμψιν ἡ ἀγαπωμένη λύει dub. in Democr. 271): - of brotherly love, Mat 5:43, al. 2. persuade, entreat, LXX 2Ch 18:2. 3. caress, pet, Plu. Per. 1. II of things, to be fond of, prize, desire, Pl. Ly. 215a, 215b, etc.; τὰ χρήματα R. 330c; μᾶλλον τὸ σκότος ἢ τὸ φῶς Joh 3:19; prefer, τὰ Φιλίππου δῶρα ἀντὶ τῶν κοινῇ τοῖς Ἕλλησι συμφερόντων D. 18.109: - Pass., λιθίδια τὰ ἀγαπώμενα highly prized, precious stones, Pl. Phd. 110d. III 1. to be well pleased, contented, once in Hom., οὐκ ἀγαπᾷς ὃ ἕκηλος.. μεθ’ ἡμῖν δαίνυσαι; Od. 21.289; freq. in Att., ἀγαπᾶν ὅτι.. Th. 6.36; more commonly, ἀ. εἰ.. to be well content if.., Lys. 12.11, Pl. R. 450a, al.; ἐὰν.. ib. 330b, cf. Ar. V. 684, Pl. Grg. 483c, al. 2. c. part., ἀ. τιμώμενος Pl. R. 475b, cf. Isoc. 12.8, Antiph. 169: c. inf., οὐκ ἀ. τῶν ἴσων τυγχάνειν τοῖς ἄλλοις Isoc. 18.50, cf. D. 55.19, Hdn. 2.15.4, Alciphr. 3.61, Luc. DMort. 12.4, etc. 3. c. dat. rei, to be contented with, ἀ. τοῖς ὑπάρχουσιν ἀγαθοῖς Lys. 2.21; τοῖς πεπραγμένοις D. 1.14. 4. c. acc. rei, tolerate, put up with, μηκέτι τὴν ἐλευθερίαν ἀ. Isoc. 4.140; τὰ παρόντα D. 6.15; τὸ δίκαιον Pl. R. 359a (Pass.), cf. Arist. Rh. 1398a23. 5. rarely c. gen., ἵνα.. τῆς ἀξίας ἀγαπῶσιν may be content with the proper price, Alex. 125.7. 6. abs., to be content, ἀγαπήσαντες Lycurg. 73, cf. Luc. Nec. 17. 7. c. inf., to be fond of doing, wont to do, like φιλέω, τοὺς Λυκίους ἀγαπῶντας τὸ τρίχωμα φορεῖν Arist. Oec. 1348a29, cf. LXX Hos 12:7.
G0026	G26	ἀγάπ-η, ἡ, I 1. love, LXX Jer 2:2, Ca. 2.7, al.; ἀ. καὶ μῖσος Ecc 9:1; dub. l. in PBerol. 9859 (ii B. C. [*], Phld. Lib. p.52 O; of the love of husband and wife, Sch. Ptol. Tetr. 52. 2. esp. love of God for man and of man for God, LXX Wi. 3.9, Aristeas 229; φόβος καὶ ἀ. Ph. 1.283, cf..Rom 5:8; 2Co 5:14,.Luk 11:42, al.: - also brotherly love, charity, 1Co 13:1, al. II in pl., love-feast, 2Pe 2:13,.Jud 1:12. III alms, charity, PGen. 14 (iv/v A. D.). ἀγάπη θεῶν, title of Isis, POxy. 1380.109 (ii A. D.).
G0027	G27	ἀγαπ-ητός, ή, όν, Dor. ἀγαπ-ᾱτός, ά, όν, I. 1. that wherewith one must be content (cf ἀγαπάω 111), hence of only children, μοῦνος ἐὼν ἀ. Od. 2.365; Ἑκτορίδην ἀ. Il. 6.401, cf. Od. 4.817, Sapph. 85, Ar. Th. 761, Pl. Alc. 1.131e; Νικήρατος.. ὁ τοῦ Νικίου ἀ. παῖς D. 21.165, cf. Arist. Pol. 1262b23, EE 1233b2; αὕτη μονογενὴς αὐτῷ ἀγαπητή LXX Jdg 11:34, cf. Tob 3:10 , Mar 12:6 (but cf. also 11.2), etc.; ἀγαπητός· μονογενής, Hsch.: - so of things, Arist. Rh. 1365b16; δαπίδιον ἓν ἀ. Hipparch.Com. 1; προβάτιον Men. 319.3. 2. to be acquiesced in (as the least in a choice of evils), And. 3.22, J. BJ 5.10.3: - hence, ἀγαπητόν [ἐστι ] one must be content, εἰ.., ἐάν.. Pl. Prt. 328b, X. Oec. 8.16, D. 18.220, Arist. Metaph. 1076a15, etc.; c. inf., EN 1171a20. II 1. of things, desirable, ἤθη X. Mem. 3.10.5; βίος Pl. Phlb. 61e (Sup.). 2. of persons, beloved, ἀδελφὲ ἀγαπητέ LXX Tob 3:10 : in letters, as a term of address, Rom 12:19, cf. PGrenf. 2.73, etc. III Adv. -τῶς 1. gladly, contentedly, Pl. Lg. 735d, D. 19.219, etc. 2. just enough to content one, barely, scarcely, Pl. Ly. 218c; ἀ σωθῆναι Lys. 6.45, cf. Diph. 89.2, etc.
G0028	G28	Ἅγαρ This entry is a name, title, city, people, river, land, or tribe and is not Defined by LSJ (Note: there are some exceptions they will have there definitions)
G0029	G29	ἀγγᾰρ-εύω, press one to serve as an ἄγγαρος, generally, press into service, Mat 5:41; Mat 27:32, OGI 665.24; κτήνη, πλοῖα PTeb. 5.182, 252 (ii B. C.), cf. PPetr. 2p.64 (iii B. C.): - Pass., to be pressed into service, Men. 440: metaph., to be constrained, Procop. Arc. 13.
G0030	G30	ἀγγεῖον, Ion. ἀγγειο-ήιον, τό, I 1. vessel for holding liquid or dry substances (τοῦτο.. ξηροῖς καὶ ὑγροῖς.. ἐργασθέν, ἀγγεῖον ὃ δὴ μιἇ κλήσει προσφθεγγόμεθα Pl. Plt. 287e); of metal, ἀργύρεα ἀ. silver jars or vases for water, Hdt. 1.188; ἀργυρᾶ καὶ χαλκᾶ ἀ. Plu. 2.695b; ἐν ἀ. χαλκψ mortar, Thphr. Lap. 60; ξύλινα ἀ. tubs, Hdt. 4.2; vessels for holding money, in a treasury, Id. 2.121. β’; for masons’ use, Th. 4.4; ὀστράκινα ἀ. Hp. Mul. 2.193, LXX La. 4.2; pails or buckets used by firemen, Plu. Rom. 20; sacks of leather, θύλακοι καὶ ἄλλα ἀ. X. An. 6.4.23; τὰς ῥαφὰς τῶν ἀ. Plu. Lys. 16; for corn, LXX Gen 42:25; for wine, LXX 1Sa 25:18; for bread, 1Ki 9:7; box for petitions, PTaur. I ii 6 (ii B. C.), etc. 2. receptacle, reservoir, X. Oec. 9.2, Pl. Lg. 845e; bed of the sea, Pl. Criti. 111a. 3. coffin, sarcophagus, IG 12(2).494 (Lesbos), BSA 17.227 (Pamphyl.), etc. II of the human or animal body, vessel, cavity, Hp. Morb. 4.37, Arist. HA 521b6, PA 680b33; of the veins, Id. HA 511b17, al.; the lungs, Id. GA 787b3; the female breast, Id. PA 692a12; afterbirth, Sor. 2.57; of plants, capsule, Thphr. HP 1.11.1: - later, the body itself, M.Ant. 3.3, cf. Secund. Sent. 7.
G0031	G31	ἀγγελία, Ion. and ἀγγειο-ίη, ἡ, (ἄγγελος) 1. message, tidings, as well the substance as the conveyance thereof, Il. 18.17, Od. 2.30, etc.; ἀ. λέγουσα τάδε Hdt. 2.114; ἀγγελίην φάτο, ἀπόφασθε, ἀπέειπε, Il. 18.17, 9.422, 7.416; φέρειν 15.174; πέμπειν Hdt. 2.114; ἐσπέμπειν 3.69; τὰς ἀ. ἐσφέρειν 1.114, 3.77: -ἐμὴ ἀ. a report of me, concerning me, Il. 19.337; ἀ. τινός a message about a person or thing, ἀγγελίην πατρὸς φέρει ἐρχομένοιο news of thy father’s coming, Od. 1.408; ἀνέρος αἴθονος ἀ. S. Aj. 222; ἀ. τῆς Χίου ἀφικνεῖται Th. 8.15; ἦλθε ἀ. τῶν πόλεων ὅτι ἀφεστᾶσι Id. 1.61: ἀ. ἦλθον ἐκ τῶν πολεμίων X. Cyr. 6.2.14; with Verbs of motion, ἀγγελίην ἐλθεῖν Il. 11.140: in gen., τευ ἀγγελίης.. ἤλυθες Il. 13.252; ἀγγελίης οἴχνεσκε 15.640; ἤλυθε σεῦ ἕνεκ’ ἀγγελίης (i.e. ἀγγελίης σοῦ ἕνεκα) 3.206; ἀγγελίης πωλεῖται Hes. Th. 781: - wrongly expl. by Sch. Il., Apollon. Lex. as a masc. Subst. ἀγγελίης. 2. announcement, proclamation, Pi. P. 2.4: command, order, h.Cer. 448, Pi. O. 3.28, cf. Od. 5.150, 7.263. 3. Ἀ. personified as daughter of Hermes, Pi. O. 8.82. II messenger, Ἶρις ἀ. v.l. Hes. Th. 781.
G0032	G32	ἄγγελος, ὁ, ἡ, 1. messenger, envoy, Il. 2.26, etc.; δι’ ἀγγέλων ὁμιλέειν τινί Hdt. 5.92. ζ, cf. SIG 229.25 (Erythrae): - prov., Ἀράβιος ἄ., of a loquacious person, Men. 32. 2. generally, one that announces or tells, e.g. of birds of augury, Il. 24.292, 296; Μουσῶν ἄγγελος, of a poet, Thgn. 769; ἄγγελε ἔαρος.. χελιδοῖ Simon. 74; ἄ. ἄφθογγος, of a beacon, Thgn. 549; of the nightingale, ὄρνις.. Διὸς ἄ. S. El. 149: c. gen. rei, ἄ. κακῶν ἐμῶν Id. Ant. 277; ἄγγελον γλῶσσαν λόγων E. Supp. 203; αἴσθησις ἡμῖν ἄ. Plot. 5.3.3; neut. pl., ἄγγελα νίκης Nonn. D. 34.226. 3. angel, LXX Gen 28:12, al., Mat 1:24, al., Ph. 2.604, etc. 4. in later philos., semi-divine being, ἡλιακοὶ ἄ. Jul. Or. 4.141b, cf. Iamb. Myst. 2.6, Procl. in R. 2.243 K.; ἄ. καὶ ἀρχάγγελοι Theol.Ar. 43.10, cf. Dam. Pr. 183, al.: also in mystical and magical writings, Herm. ap. Stob. 1.49.45, PMag.Lond. 46.121, etc. II title of Artemis at Syracuse, Hsch.
G0033	G33	ἄγε, ἄγετε, imper. of ἄγω, used as Adv., come on! freq. in Hom., who mostly strengthens it, εἰ δ’ ἄγε, νῦν δ’ ἄγε, ἄγε δή, ἀλλ’ ἄγε, in Att. freq. ἄγε νύν Ar. Eq. 1011, etc.; before 1 and 2 pers. pl., ἄγε δὴ τραπείομεν Il. 3.441; ἄγε δὴ στέωμεν 11.348; ἄγε τάμνετε Od. 3.332; ἀλλ’ ἄγε, Πέρσαι, φροντίδα θώμεθα A. Pers. 140; ἄγε δὴ καὶ χορὸν ἅψωμεν Id. Eu. 307; rarely before 1 sg., ἄγε δὴ.. ἀριθμήσω Od. 13.215; before 3 pl., ἀλλ’ ἄγε, κήρυκες.. λαὸν.. ἀγειρόντων Il. 2.437; in Prose, ἄγε τοίνυν.. σκοπῶμεν X. Cyr. 5.5.15; foll. by ὅπως c. fut., Ar. Ec. 149; abs., E. Cyc. 590: - also, ἄγετε,.. λύσασθε A. Ch. 803; ἄγετε with 1 pl., Il. 2.139, Od. 1.76, Ar. Lys. 665; with 1 sg., Od. 22.139: cf. ἄγι.
G0034	G34	ἀγέλ-η, ἡ, (ἄγω) I herd, of horses, Il. 19.281; elsewhere in Hom. always of oxen and kine, Il. 11.678, etc., cf. βούνομος· - also, any herd or company, συῶν ἀ. Hes. Sc. 168; ἀ. παρθένων Pi. Fr. 112; μαινάδων E. Ba. 1022; πτηνῶν ἀγέλαι S. Aj. 168, E. Ion 106; shoal of fish, Opp. H. 3.639: metaph., πόνων ἀγέλαι E. HF 1276: - also in Pl. R. 451c, Arist. HA 570a27, etc., but rare in early Prose. II in Crete and at Sparta, bands in which boys were trained, Ephor. 64, Plu. Lyc. 16, Heraclid. Pol. 15, GDI 4952 (Dreros), etc.; νέων ἀ. Epigr.Gr. 223.8 (Miletus); ἀϊθέων ib.239 (Smyrna). III = ἀστρικαὶ σφαῖραι Theol.Ar. 43.6.
G0035	G35	ἀγενεᾱλόγητος, ον, of unrecorded descent, Heb 7:3.
G0036	G36	ἀγεν-ής, ές, (γενέσθαι) I unborn, uncreated, Pl. Ti. 27c. II of no family, ignoble, opp. ἀγαθός, S. Fr. 84, cf. POxy. 33 [*] 5.5 (ii A. D.); of things, οὐκ ἀγενεῖς στίχοι Sch. Od. 11.568; cf. AB 336, St.Byz. s.v. Ἀνακτορεία. III childless, Isa 2:10, cf. Harp. (ἄπαις codd.).
G0037	G37	ἁγι-άζω, = cross ἁγίζω, LXX Gen 2:3,al., Ph. 2.238: - Pass., ἁγιασθήτω τὸ ὄνομά σου Mat 6:9.
G0038	G38	ἁγι-ασμός, ον, ὁ, consecration, sanctification, LXX Jdg 17:3,al., 1Th 4:7.
G0039	G39	This entry is a name, title, city, people, river, land, or tribe and is not Defined by LSJ (Note: there are some exceptions they will have there definitions)
