STEPBible_elsodleges	STEPBible_masodlagos	Státusz	Indoklás	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9001	וְ	ve.	ו	&	and
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1961	הָיָ֨ה	ha.Yah	הָיָה	to be	it will be
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לָ	la.	ל	to	to
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9038	הֶ֤ם	Hem	Op3m	them	them
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9004	כִּ	ki	כ	like	as
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7080	קְסָם	k.som-	קָסַם	to divine	divines
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7723	שָׁוְא֙	shaV'	שָׁוְא	vanity	falsehood
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9003	בְּ	be.	ב	in	in
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5869	עֵ֣ינֵי	'Ei.nei.	עַ֫יִן	eye	view
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9028	הֶ֔ם	Hem	Pp3m	their	their
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7650	שְׁבֻעֵ֥י	she.vu.'Ei	שָׁבַע	to swear	oaths of
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7621	שְׁבֻע֖וֹת	she.vu.'ot	שְׁבוּעָה	oath	oaths
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לָ	la.	ל	to	[belong] to
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9038	הֶ֑ם	Hem	Op3m	them	them
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1931	הֽוּא	hu'-	הוּא	he;_she;_it	it
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2142	מַזְכִּ֥יר	maz.Kir	זָכַר	to remember	[will] bring to remembrance
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5771	עָוֹ֖ן	'a.Von	עָוֺן	iniquity	iniquity
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לְ	le.	ל	to	to
Ezk.21.23	Ezk.21.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H8610	הִתָּפֵֽשׂ	hi.ta.Fes	תָּפַשׂ	to capture	be seized
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לָ	la.	ל	to	<to>
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3651	כֵ֗ן	Khen	כֵּן	so	therefore
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3541	כֹּֽה	koh-	כֹּה	thus	thus
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0559	אָמַר֮	'a.Mar	אָמַר	to say	he says
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0136	אֲדֹנָ֣י	'a.do.Nai	אֲדֹנָי	LORD	[the] Lord
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3069	יְהוִה֒	Yah.weh	יְהֹוִה	YHWH|Yahweh	Yahweh
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3282	יַ֗עַן	Ya.'an	יַעַן	because	because
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2142	הַזְכַּרְ	haz.kar.	זָכַר	to remember	brought to remembrance
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9046	כֶם֙	Khem	Sp2m	you	you
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5771	עֲוֹ֣נְ	'a.Vo.ne.	עָוֺן	iniquity	iniquity
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9026	כֶ֔ם	Khem	Pp2m	your	your
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9003	בְּ	be.	ב	in	because
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1540	הִגָּל֣וֹת	hi.ga.Lot	גָּלָה	to reveal	were uncovered
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H6588	פִּשְׁעֵי	pish.'ei.	פֶּ֫שַׁע	transgression	transgressions
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9026	כֶ֗ם	Khem	Pp2m	your	your
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לְ	le.	ל	to	to
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7200	הֵֽרָאוֹת֙	he.ra.'Ot	רָאָה	to see	be seen
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2403	חַטֹּ֣אותֵי	cha.To.tei.	חַטָּאת	sin	sins
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9026	כֶ֔ם	Khem	Pp2m	your	your
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9003	בְּ	be.	ב	in	in
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3605	כֹ֖ל	Khol	כֹּל	all	all
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5949	עֲלִילֽוֹתֵי	a.li.lo.tei.	עֲלִילָה	wantonness	practices
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9026	כֶ֑ם	Khem	Pp2m	your	your
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3282	יַ֚עַן	Ya.'an	יַעַן	because	because
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2142	הִזָּ֣כֶרְ	hi.Za.kher.	זָכַר	to remember	have been remembered
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9046	כֶ֔ם	Khem	Sp2m	you	you
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9003	בַּ	ba.	ב	in	by the
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3709	כַּ֖ף	Kaf	כַּף	palm	hand
Ezk.21.24	Ezk.21.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H8610	תִּתָּפֵֽשׂוּ	ti.ta.Fe.su	תָּפַשׂ	to capture	you will be seized
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0859	אַתָּה֙	'a.Tah	אַתָּ֫ה	you(m.s.)	you
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2491	חָלָ֣ל	cha.Lal	חָלָל	profaned	O profane [one]
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7563	רָשָׁ֔ע	ra.Sha'	רָשָׁע	wicked	wicked
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5387	נְשִׂ֖יא	ne.Si'	נָשִׂיא	leader	prince of
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3478	יִשְׂרָאֵ֑ל	Yis.ra.'El	יִשְׂרָאֵל	Israel	Israel
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0834	אֲשֶׁר	'a.Sher-	אֲשֶׁר	which	whom
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0935	בָּ֣א	ba'	בּוֹא	to come (in)	it has come
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3117	יוֹמ֔	yo.M	יוֹם	day;_when	day
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9023	וֹ	o	Ps3m	his	his
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9003	בְּ	be.	ב	in	at
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H6256	עֵ֖ת	'Et	עֵת	time	a time of
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5771	עֲוֹ֥ן	'a.Von	עָוֺן	iniquity	punishment of
Ezk.21.25	Ezk.21.30	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7093	קֵֽץ	Ketz	קֵץ	end	[the] end
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3541	כֹּ֤ה	koh	כֹּה	thus	thus
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0559	אָמַר֙	'a.Mar	אָמַר	to say	he says
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0136	אֲדֹנָ֣י	'a.do.Nai	אֲדֹנָי	LORD	[the] Lord
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3069	יְהוִ֔ה	Yah.weh	יְהֹוִה	YHWH|Yahweh	Yahweh
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5493	הָסִיר֙	ha.Sir	סוּר	to turn aside	to remove
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9009	הַ	ha.	ה	the	the
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H4701	מִּצְנֶ֔פֶת	mitz.Ne.fet	מִצְנֶ֫פֶת	turban	turban
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7311	הָרִ֖ים	ha.Rim	רוּם	to exalt	to lift off
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9009	הָֽ	ha.	ה	the	the
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5850	עֲטָרָ֑ה	'a.ta.Rah	עֲטָרָה	crown	crown
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2063	זֹ֣את	zot	זֹאת	this	this
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3808	לֹא	lo'-	לֹא	not	not
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2063	זֹ֔את	Zot	זֹאת	this	this
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9009	הַ	ha.	ה	the	the
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H8217	שָּׁפָ֣לָה	sha.Fa.lah	שָׁפָל	low	lowly
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1361	הַגְבֵּ֔הַ	hag.Be.ha	גָּבַהּ	to exult	exalt
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9009	הַ	ha.	ה	the	the
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1364	גָּבֹ֖הַ	ga.Vo.ha	גָּבֹהַּ	high	exalted
Ezk.21.26	Ezk.21.31	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H8213	הַשְׁפִּֽיל	hash.Pil	שָׁפֵל	to abase	to bring low
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5754	עַוָּ֥ה	'a.Vah	עַוָּה	ruin	a ruin
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5754	עַוָּ֖ה	'a.Vah	עַוָּה	ruin	a ruin
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5754	עַוָּ֣ה	'a.Vah	עַוָּה	ruin	a ruin
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H7760	אֲשִׂימֶ֑	'a.si.Me.	שׂוּם	to set	I will make
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9034	נָּה	nah	Os3f	her	it
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1571	גַּם	gam-	גַּם	also	also
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2063	זֹאת֙	zoT	זֹאת	this	this
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3808	לֹ֣א	lo'	לֹא	not	not
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1961	הָיָ֔ה	ha.Yah	הָיָה	to be	it will be
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5704	עַד	'ad-	עַד	till	until
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0935	בֹּ֛א	bo'	בּוֹא	to come (in)	comes
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0834	אֲשֶׁר	'a.Sher-	אֲשֶׁר	which	[the one] whom
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	ל֥	l	ל	to	[belongs] to
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9033	וֹ	o	Os3m	him	him
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9009	הַ	ha.	ה	the	the
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H4941	מִּשְׁפָּ֖ט	mish.Pat	מִשְׁפָּט	justice	judgment
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9001	וּ	u.	ו	&	and
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5414	נְתַתִּֽי	ne.ta.Ti	נָתַן	to give	I will give
Ezk.21.27	Ezk.21.32	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9033	ו	v	Os3m	him	it
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0859	אַתָּ֣ה	'a.Tah	אַתָּ֫ה	you(m.s.)	you
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1121	בֶן	ven-	בֵּן	son	O son of
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0120	אָדָ֗ם	'a.Dam	אָדָם	man	humankind
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5012	הִנָּבֵ֤א	hi.na.Ve'	נָבָא	to prophesy	prophesy
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9001	וְ	ve.	ו	&	and
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0559	אָֽמַרְתָּ֙	'a.mar.Ta	אָמַר	to say	you will say
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3541	כֹּ֤ה	koh	כֹּה	thus	thus
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0559	אָמַר֙	'a.Mar	אָמַר	to say	he says
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0136	אֲדֹנָ֣י	'a.do.Nai	אֲדֹנָי	LORD	[the] Lord
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3069	יְהֹוִ֔ה	Yah.weh	יְהֹוִה	YHWH|Yahweh	Yahweh
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0413	אֶל	'el-	אֶל	to(wards)	concerning
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H1121	בְּנֵ֥י	be.Nei	בֵּן	son	[the] people of
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H5983	עַמּ֖וֹן	a.Mon	עַמּוֹן	Ammon	Ammon
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9002	וְ	ve.	ו	and	and
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0413	אֶל	'el-	אֶל	to(wards)	concerning
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2781	חֶרְפָּתָ֑	cher.pa.Ta	חֶרְפָּה	reproach	reproach
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9028	ם	m	Pp3m	their	their
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9001	וְ	ve.	ו	&	and
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H0559	אָמַרְתָּ֗	'a.mar.Ta	אָמַר	to say	you will say
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2719	חֶ֣רֶב	Che.rev	חֶ֫רֶב	sword	a sword
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2719	חֶ֤רֶב	Che.rev	חֶ֫רֶב	sword	a sword
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H6605	פְּתוּחָה֙	pe.tu.Chah	פָּתַח	to open	[is] drawn
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לְ	le.	ל	to	for
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H2874	טֶ֣בַח	Te.vach	טֶ֫בַח	slaughter	slaughter
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H4803	מְרוּטָ֔ה	me.ru.Tah	מָרַט	to smooth	[is] polished
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H9005	לְ	le.	ל	to	to
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H3557	הָכִ֖יל	ha.Khil	כּוּל	to sustain	contain
Ezk.21.28	Ezk.21.33	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Ezk fejezet 21)	H4616	לְמַ֥עַן	le.Ma.'an	מַ֫עַן	because	on account of
