Karoli_igehely	Heber_vers	Latin_vers	Gorog_LXX_vers	Elteres_tipusa	Karoli_egyezik_hol
Zak 2:4	Zec.2:8	Zec.2:4	Zec.2:4	Renumber	Latin,Gorog
Zak 2:5	Zec.2:9	Zec.2:5	Zec.2:5	Renumber	Latin,Gorog
Zak 2:6	Zec.2:10	Zec.2:6	Zec.2:6	Renumber	Latin,Gorog
Zak 2:7	Zec.2:11	Zec.2:7	Zec.2:7	Renumber	Latin,Gorog
Zak 2:8	Zec.2:12	Zec.2:8	Zec.2:8	Renumber	Latin,Gorog
Zak 2:9	Zec.2:13	Zec.2:9	Zec.2:9	Renumber	Latin,Gorog
Zak 3:10	Zec.3:10	Zec.3:10	Zec.3:10	Renumber	Heber,Latin,Gorog
Zak 3:2	Zec.3:2a	Zec.3:2a	Zec.3:2a	Concatenation/Merge	EGYIK_SEM
Zak 3:3	Zec.3:3	Zec.3:3	Zec.3:3	Renumber	Heber,Latin,Gorog
Zak 3:4	Zec.3:4	Zec.3:4	Zec.3:4	Renumber	Heber,Latin,Gorog
Zak 3:5	Zec.3:5	Zec.3:5	Zec.3:5	Renumber	Heber,Latin,Gorog
Zak 3:6	Zec.3:6	Zec.3:6	Zec.3:6	Renumber	Heber,Latin,Gorog
Zak 3:7	Zec.3:7	Zec.3:7	Zec.3:7	Renumber	Heber,Latin,Gorog
Zak 3:8	Zec.3:8	Zec.3:8	Zec.3:8	Renumber	Heber,Latin,Gorog
Zak 3:9	Zec.3:9	Zec.3:9	Zec.3:9	Renumber	Heber,Latin,Gorog
Zak 4:13	Zec.4:13	Zec.4:13	Zec.4:13	Concatenation/Merge	Heber,Latin,Gorog
Zak 4:14	Zec.4:14	Zec.4:14	Zec.4:14	Concatenation/Merge	Heber,Latin,Gorog
Zsolt 100:1	Psa.100:1	Psa.99:1	Psa.99:1	Renumber	Heber
Zsolt 100:2	Psa.100:2	Psa.99:2	Psa.99:2	Renumber	Heber
Zsolt 100:3	Psa.100:3	Psa.99:3	Psa.99:3	Renumber	Heber
Zsolt 100:4	Psa.100:4	Psa.99:4	Psa.99:4	Renumber	Heber
Zsolt 100:5	Psa.100:5	Psa.99:5	Psa.99:5	Renumber	Heber
Zsolt 101:1	Psa.101:1	Psa.100:1	Psa.100:1	Renumber	Heber
Zsolt 101:2	Psa.101:2	Psa.100:2	Psa.100:2	Renumber	Heber
Zsolt 101:3	Psa.101:3	Psa.100:3	Psa.100:3	Renumber	Heber
Zsolt 101:4	Psa.101:4	Psa.100:4	Psa.100:4	Renumber	Heber
Zsolt 101:5	Psa.101:5	Psa.100:5	Psa.100:5	Renumber	Heber
Zsolt 101:6	Psa.101:6	Psa.100:6	Psa.100:6	Renumber	Heber
Zsolt 101:7	Psa.101:7	Psa.100:7	Psa.100:7	Renumber	Heber
Zsolt 101:8	Psa.101:8	Psa.100:8	Psa.100:8	Renumber	Heber
Zsolt 102:1	Psa.102:1-2	Psa.101:1-2	Psa.101:1-2	Renumber	EGYIK_SEM
Zsolt 102:1	Psa.102:2	Psa.101:2	Psa.101:2	Renumber	EGYIK_SEM
Zsolt 102:10	Psa.102:11	Psa.101:11	Psa.101:11	Renumber	EGYIK_SEM
Zsolt 102:11	Psa.102:12	Psa.101:12	Psa.101:12	Renumber	EGYIK_SEM
Zsolt 102:12	Psa.102:13	Psa.101:13	Psa.101:13	Renumber	EGYIK_SEM
Zsolt 102:13	Psa.102:14	Psa.101:14	Psa.101:14	Renumber	EGYIK_SEM
Zsolt 102:14	Psa.102:15	Psa.101:15	Psa.101:15	Renumber	EGYIK_SEM
Zsolt 102:15	Psa.102:16	Psa.101:16	Psa.101:16	Renumber	EGYIK_SEM
Zsolt 102:16	Psa.102:17	Psa.101:17	Psa.101:17	Renumber	EGYIK_SEM
Zsolt 102:17	Psa.102:18	Psa.101:18	Psa.101:18	Renumber	EGYIK_SEM
Zsolt 102:18	Psa.102:19	Psa.101:19	Psa.101:19	Renumber	EGYIK_SEM
Zsolt 102:19	Psa.102:20	Psa.101:20	Psa.101:20	Renumber	EGYIK_SEM
Zsolt 102:2	Psa.102:3	Psa.101:3	Psa.101:3	Renumber	EGYIK_SEM
Zsolt 102:20	Psa.102:21	Psa.101:21	Psa.101:21	Renumber	EGYIK_SEM
Zsolt 102:21	Psa.102:22	Psa.101:22	Psa.101:22	Renumber	EGYIK_SEM
Zsolt 102:22	Psa.102:23	Psa.101:23	Psa.101:23	Renumber	EGYIK_SEM
Zsolt 102:23	Psa.102:24	Psa.101:24	Psa.101:24	Renumber	EGYIK_SEM
Zsolt 102:24	Psa.102:25	Psa.101:25	Psa.101:25	Renumber	EGYIK_SEM
Zsolt 102:25	Psa.102:26	Psa.101:26	Psa.101:26	Renumber	EGYIK_SEM
Zsolt 102:26	Psa.102:27	Psa.101:27	Psa.101:27	Renumber	EGYIK_SEM
Zsolt 102:27	Psa.102:28	Psa.101:28	Psa.101:28	Renumber	EGYIK_SEM
Zsolt 102:28	Psa.102:29	Psa.101:29	Psa.101:29	Renumber	EGYIK_SEM
Zsolt 102:3	Psa.102:4	Psa.101:4	Psa.101:4	Renumber	EGYIK_SEM
Zsolt 102:4	Psa.102:5	Psa.101:5	Psa.101:5	Renumber	EGYIK_SEM
Zsolt 102:5	Psa.102:6	Psa.101:6	Psa.101:6	Renumber	EGYIK_SEM
Zsolt 102:6	Psa.102:7	Psa.101:7	Psa.101:7	Renumber	EGYIK_SEM
Zsolt 102:7	Psa.102:8	Psa.101:8	Psa.101:8	Renumber	EGYIK_SEM
Zsolt 102:8	Psa.102:9	Psa.101:9	Psa.101:9	Renumber	EGYIK_SEM
Zsolt 102:9	Psa.102:10	Psa.101:10	Psa.101:10	Renumber	EGYIK_SEM
Zsolt 103:1	Psa.103:1	Psa.102:1	Psa.102:1	Renumber	Heber
Zsolt 103:10	Psa.103:10	Psa.102:10	Psa.102:10	Renumber	Heber
Zsolt 103:11	Psa.103:11	Psa.102:11	Psa.102:11	Renumber	Heber
Zsolt 103:12	Psa.103:12	Psa.102:12	Psa.102:12	Renumber	Heber
Zsolt 103:13	Psa.103:13	Psa.102:13	Psa.102:13	Renumber	Heber
Zsolt 103:14	Psa.103:14	Psa.102:14	Psa.102:14	Renumber	Heber
Zsolt 103:15	Psa.103:15	Psa.102:15	Psa.102:15	Renumber	Heber
Zsolt 103:16	Psa.103:16	Psa.102:16	Psa.102:16	Renumber	Heber
Zsolt 103:17	Psa.103:17	Psa.102:17	Psa.102:17	Renumber	Heber
Zsolt 103:18	Psa.103:18	Psa.102:18	Psa.102:18	Renumber	Heber
Zsolt 103:19	Psa.103:19	Psa.102:19	Psa.102:19	Renumber	Heber
Zsolt 103:2	Psa.103:2	Psa.102:2	Psa.102:2	Renumber	Heber
Zsolt 103:20	Psa.103:20	Psa.102:20	Psa.102:20	Renumber	Heber
Zsolt 103:21	Psa.103:21	Psa.102:21	Psa.102:21	Renumber	Heber
Zsolt 103:22	Psa.103:22	Psa.102:22	Psa.102:22	Renumber	Heber
Zsolt 103:3	Psa.103:3	Psa.102:3	Psa.102:3	Renumber	Heber
Zsolt 103:4	Psa.103:4	Psa.102:4	Psa.102:4	Renumber	Heber
Zsolt 103:5	Psa.103:5	Psa.102:5	Psa.102:5	Renumber	Heber
Zsolt 103:6	Psa.103:6	Psa.102:6	Psa.102:6	Renumber	Heber
Zsolt 103:7	Psa.103:7	Psa.102:7	Psa.102:7	Renumber	Heber
Zsolt 103:8	Psa.103:8	Psa.102:8	Psa.102:8	Renumber	Heber
Zsolt 103:9	Psa.103:9	Psa.102:9	Psa.102:9	Renumber	Heber
Zsolt 104:1	Psa.104:1	Psa.103:1	Psa.103:1	Renumber	Heber
Zsolt 104:10	Psa.104:10	Psa.103:10	Psa.103:10	Renumber	Heber
Zsolt 104:11	Psa.104:11	Psa.103:11	Psa.103:11	Renumber	Heber
Zsolt 104:12	Psa.104:12	Psa.103:12	Psa.103:12	Renumber	Heber
Zsolt 104:13	Psa.104:13	Psa.103:13	Psa.103:13	Renumber	Heber
Zsolt 104:14	Psa.104:14	Psa.103:14	Psa.103:14	Renumber	Heber
Zsolt 104:15	Psa.104:15	Psa.103:15	Psa.103:15	Renumber	Heber
Zsolt 104:16	Psa.104:16	Psa.103:16	Psa.103:16	Renumber	Heber
Zsolt 104:17	Psa.104:17	Psa.103:17	Psa.103:17	Renumber	Heber
Zsolt 104:18	Psa.104:18	Psa.103:18	Psa.103:18	Renumber	Heber
Zsolt 104:19	Psa.104:19	Psa.103:19	Psa.103:19	Renumber	Heber
Zsolt 104:2	Psa.104:2	Psa.103:2	Psa.103:2	Renumber	Heber
Zsolt 104:20	Psa.104:20	Psa.103:20	Psa.103:20	Renumber	Heber
Zsolt 104:21	Psa.104:21	Psa.103:21	Psa.103:21	Renumber	Heber
Zsolt 104:22	Psa.104:22	Psa.103:22	Psa.103:22	Renumber	Heber
Zsolt 104:23	Psa.104:23	Psa.103:23	Psa.103:23	Renumber	Heber
Zsolt 104:24	Psa.104:24	Psa.103:24	Psa.103:24	Renumber	Heber
Zsolt 104:25	Psa.104:25	Psa.103:25	Psa.103:25	Renumber	Heber
Zsolt 104:26	Psa.104:26	Psa.103:26	Psa.103:26	Renumber	Heber
Zsolt 104:27	Psa.104:27	Psa.103:27	Psa.103:27	Renumber	Heber
Zsolt 104:28	Psa.104:28	Psa.103:28	Psa.103:28	Renumber	Heber
Zsolt 104:29	Psa.104:29	Psa.103:29	Psa.103:29	Renumber	Heber
Zsolt 104:3	Psa.104:3	Psa.103:3	Psa.103:3	Renumber	Heber
Zsolt 104:30	Psa.104:30	Psa.103:30	Psa.103:30	Renumber	Heber
Zsolt 104:31	Psa.104:31	Psa.103:31	Psa.103:31	Renumber	Heber
Zsolt 104:32	Psa.104:32	Psa.103:32	Psa.103:32	Renumber	Heber
Zsolt 104:33	Psa.104:33	Psa.103:33	Psa.103:33	Renumber	Heber
Zsolt 104:34	Psa.104:34	Psa.103:34	Psa.103:34	Renumber	Heber
Zsolt 104:35	Psa.104:35	Psa.103:35	Psa.103:35	Renumber	Heber
Zsolt 104:4	Psa.104:4	Psa.103:4	Psa.103:4	Renumber	Heber
