Strong_padded	Strong_eredeti	Teljes_szocikk
G0019	G19	ἀγαθωσύνη (agathōsýnē｜ag-ath-o-soo'-nay｜noun｜goodness) [Grk] ἀγαθωσύνη LN: 57.109, 88.1 GK: G20 Hebrew: טֹוב, טֹוב, טוּב Derivation: from ἀγαθός; Strong's: goodness, i.e. virtue or beneficence KJV: --goodness. See: ἀγαθός
G0020	G20	ἀγαλλίασις (agallíasis｜ag-al-lee'-as-is｜noun｜exultation) [Grk] ἀγαλλίασις LN: 25.132 GK: G21 Hebrew: גִּיל, רִנָּה, שָׂשֹׂון, תְּרוּעָה Derivation: from ἀγαλλιάω; Strong's: exultation; specially, welcome KJV: --gladness, (exceeding) joy. See: ἀγαλλιάω
G0021	G21	ἀγαλλιάω (agalliáō｜ag-al-lee-ah'-o｜verb｜to exult) [Grk] ἀγαλλιάω LN: 25.133 GK: G22 Hebrew: גִּיל, הָלַל, זָכַר, עָלַז, צָהַל, רָנַן, שׂוּשׂ, שָׂמַח Derivation: from agan (much) and ἅλλομαι; Strong's: properly, to jump for joy, i.e. exult KJV: --be (exceeding) glad, with exceeding joy, rejoice (greatly). See: ἅλλομαι
G0022	G22	ἄγαμος (ágamos｜ag'-am-os｜noun｜unmarried) [Grk] ἄγαμος LN: 34.76 GK: G23 Derivation: from Α (as a negative particle) and γάμος; Strong's: unmarried KJV: --unmarried. See: Α See: γάμος
G0023	G23	ἀγανακτέω (aganaktéō｜ag-an-ak-teh'-o｜verb｜to be indignant) [Grk] ἀγανακτέω LN: 88.187 GK: G24 Derivation: from ἄγαν (much) and ἄχθος (grief; Strong's: akin to the base of ἀγκάλη); to be greatly afflicted, i.e. (figuratively) indignant KJV: --be much (sore) displeased, have (be moved with, with) indignation. See: ἀγκάλη
G0024	G24	ἀγανάκτησις (aganáktēsis｜ag-an-ak'-tay-sis｜noun｜is indignation) [Grk] ἀγανάκτησις LN: 88.186 GK: G25 Derivation: from ἀγανακτέω; Strong's: indignation KJV: --indignation. See: ἀγανακτέω
G0025	G25	ἀγαπάω (agapáō｜ag-ap-ah'-o｜verb｜to love) [Grk] ἀγαπάω LN: 25.43, 25.44, 25.104 GK: G26 Hebrew: אָהַב, אָהַב, בֹּוא, זָכַר, חָטָא, חָפֵץ, יְדִיד, יְדִידָה, יָחִיד, מוּת, מָשֹׂושׂ, עֲגַב, עָשָׂה, פָּתָה, קָנָה, רָחַם, רָצָה, שָׁמַר, שָׁעַע, שַׁעְשֻׁעַ Derivation: perhaps from ἄγαν (much) (or compare עֲגַב); Strong's: to love (in a social or moral sense) KJV: --(be-)love(-ed). Compare φιλέω. See: עֲגַב See: φιλέω
G0026	G26	ἀγάπη (agápē｜ag-ah'-pay｜noun｜love) [Grk] ἀγάπη LN: 23.28, 25.43 GK: G27 Hebrew: אַהֲבָה Derivation: from ἀγαπάω; Strong's: love, i.e. affection or benevolence; specially (plural) a love-feast KJV: --(feast of) charity(-ably), dear, love. See: ἀγαπάω
G0027	G27	ἀγαπητός (agapētós｜ag-ap-ay-tos'｜adjective｜beloved) [Grk] ἀγαπητός LN: 25.45, 58.53 GK: G28 Hebrew: אָהַב, דֹּוד, יְדִיד, יָחִיד, יַקִּיר Derivation: from ἀγαπάω; Strong's: beloved KJV: --(dearly, well) beloved, dear. See: ἀγαπάω
G0028	G28	Ἄγαρ (Ágar｜ag'-ar｜proper noun｜person｜Hagar) [Grk] Ἄγαρ, Ἁγάρ, Ἅγαρ LN: 93.9 GK: G29 Hebrew: הָגָר Derivation: of Hebrew origin (הָגָר); Strong's: Hagar, the concubine of Abraham KJV: --Hagar. See: הָגָר
G0029	G29	ἀγγαρεύω (angareúō｜ang-ar-yew'-o｜verb｜to requisition) [Grk] ἀγγαρεύω LN: 37.34 GK: G30 Hebrew: אִגְּרָא Derivation: of foreign origin (compare אִגְּרָא); Strong's: properly, to be a courier, i.e. (by implication) to press into public service KJV: --compel (to go). See: אִגְּרָא
G0030	G30	ἀγγεῖον (angeîon｜ang-eye'-on｜noun｜vessel) [Grk] ἀγγεῖον, ἄγγος LN: 6.120 GK: G31, G35 Hebrew: בֹּור, כִּכָּר, כְּלוּב, כְּלִי, כְּלִי, נֶבֶל Derivation: from ἄγγος (a pail, perhaps as bent; Strong's: compare the base of ἀγκάλη); a receptacle KJV: --vessel. See: ἀγκάλη
G0031	G31	ἀγγελία (angelía｜ang-el-ee'-ah｜noun｜message) [Grk] ἀγγελία LN: 33.193 GK: G32 Hebrew: נָגַד Derivation: from ἄγγελος; Strong's: an announcement, i.e. (by implication) precept KJV: --message. See: ἄγγελος
G0032	G32	ἄγγελος (ángelos｜ang'-el-os｜noun｜angel) [Grk] ἄγγελος LN: 12.28, 33.189, 33.195 GK: G33, G34 Hebrew: אָבִיר, אֵל, אֱלָהּ, אֱנֹושׁ, בֵּן, חֶרֶב, יָד, כְּלוּב, כְּלִי, מֲלְאָךְ, מֲלְאָךְ, מַלְאֲכוּת, עֶבֶד, עֶבְרָה, עִיר, צִיר, שַׂר Derivation: from ἀγγέλλω (probably derived from ἄγω; Strong's: compare ἀγέλη) (to bring tidings); a messenger; especially an "angel"; by implication, a pastor KJV: --angel, messenger. See: ἄγω See: ἀγέλη
G0033	G33	ἄγε (áge｜ag'-eh｜verb｜to lead) [Grk] ἄγε, ἄγω GK: G72 Derivation: imperative of ἄγω; Strong's: properly, lead, i.e. come on KJV: --go to. See: ἄγω
G0034	G34	ἀγέλη (agélē｜ag-el'-ay｜noun｜herd) [Grk] ἀγέλη LN: 4.8 GK: G36 Hebrew: גְּדֵרָה, עֵדֶר, שִׁפְעָה Derivation: from ἄγω (compare ἄγγελος); Strong's: a drove KJV: --herd. See: ἄγω See: ἄγγελος
G0035	G35	ἀγενεαλόγητος (agenealógētos｜ag-en-eh-al-og'-ay-tos｜adjective｜without genealogy) [Grk] ἀγενεαλόγητος LN: 10.27 GK: G37 Derivation: from Α (as negative particle) and γενεαλογέω; Strong's: unregistered as to birth KJV: --without descent. See: Α See: γενεαλογέω
G0036	G36	ἀγενής (agenḗs｜ag-en-ace'｜adjective｜insignificant) [Grk] ἀγενής LN: 87.59 GK: G38 Derivation: from Α (as negative particle) and γένος; Strong's: properly, without kin, i.e. (of unknown descent, and by implication) ignoble KJV: --base things. See: Α See: γένος
