# GENERÁLT: eszkozok/lxx_os_import.py — kézzel nem szerkesztendő.
# forras: lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 (CC BY 4.0) + GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 (CC BY 4.0)
# sha256(verse_pairs.jsonl)=3a91c571f1f32545f78397a256fdfa5124bcbcbc42902411a8a93209dcb2e985 | sha256(GreekWordList.js)=84703d5de9fae423c141ff374ffab73fcda288d0a400fcd500445302a5dbe483
igehely_lxx	igehely_kjv	igehely_karoli	karoli_ok	pozicio	szoalak	normalizalt	lemma	morf	strong	strong_ok	proveniencia
3 Maccabees 1:1			nincs_karoli_konyv	1	ὁ	ο	ὁ	article masc nom sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	2	δὲ	δε	δέ	particle	1161		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	3	Φιλοπάτωρ	φιλοπατωρ	Φιλοπάτωρ	proper noun masc nom sg		nincs_uszbeli_megfelelo	forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	4	παρὰ	παρα	παρά	preposition	3844		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	5	τῶν	των	ὁ	article masc/fem/neut gen pl	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	6	ἀνακομισθέντων	ανακομισθεντων	ἀνακομίζω	participle aor ptc pass masc/neut gen pl		nincs_uszbeli_megfelelo	forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	7	μαθὼν	μαθων	μανθάνω	participle aor ptc act masc nom sg	3129		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	8	τὴν	την	ὁ	article fem acc sg	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	9	γενομένην	γενομενην	γίνομαι	participle aor ptc mid/pass fem acc sg	1096		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	10	τῶν	των	ὁ	article masc/fem/neut gen pl	3588		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	11	ὑπ᾿	υπ᾿	ὑπό	preposition	5259		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	12	αὐτοῦ	αυτου	αὐτός	pronoun 3rd gen sg	846		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	13	κρατουμένων	κρατουμενων	κρατέω	participle pres ptc mid/pass masc gen pl	2902		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
3 Maccabees 1:1			nincs_karoli_konyv	14	τόπων	τοπων	τόπος	noun masc gen pl	5117		forras=lxx-morph@c91f6b1e8fb3ba37df701e6ae31f675ace71a2b2 | forras=GreekWordList@dd5a2fd530ab3c6b748c174cec38966c356d8111 | ts=2026-09-25
