fajl	blokk	nyelv	tipus	strong	szo	atirat
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'o.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'o.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'o.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			seól
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			refáím
lexikon/ALVIL-001_TUDOMANYOS.md	kizart	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	kizart	gorog	alak		β	abüsszosz
lexikon/ALVIL-001_TUDOMANYOS.md	kizart	heber	alak			seól
lexikon/ALVIL-001_TUDOMANYOS.md	kizart	heber	alak			tehóm
lexikon/ALVIL-001_TUDOMANYOS.md	szocikkek	gorog	lemma	G0086	ᾍδης	Hadēs
lexikon/ALVIL-001_TUDOMANYOS.md	szocikkek	heber	lemma	H7585	שְׁאוֹל	she.ol
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
lexikon/ALVIL-001_TUDOMANYOS.md	lxx	gorog	alak		δ	ᾅδης, Hadēs G0086
