id	osszes_igehely	egyedi_igehely	OSZ	USZ	kapcsolat_sor
ALVIL-001	72	72	64	8	0
ANTROP-001	8	8	1	7	0
HAMART-001	52	52	43	9	0
HODIT-001	33	33	33	0	0
ISTENTISZT-001	32	32	22	10	25
KIRALY-001	9	9	5	4	9
MENNY-001	9	9	6	3	0
TEREMT-001	41	41	34	7	0
