igehely	tahot_strongok	bsb_strongok	halmaz_egyezes
1Móz 1:1	9003,7225,1254,430,853,9009,8064,9002,853,9009,776	7225,430,853,1254,8064,853,776	67%
1Móz 1:2	9002,9009,776,1961,8414,9002,922,9002,2822,5921,6440,8415,9002,7307,430,7363,5921,6440,9009,4325	776,1961,8414,922,2822,5921,6440,8415,7307,430,7363,5921,6440,4325	86%
1Móz 1:3	9001,559,430,1961,216,9001,1961,216	430,559,1961,216,1961,216	80%
1Móz 1:4	9001,7200,430,853,9009,216,3588,2895,9001,914,430,996,9009,216,9002,996,9009,2822	430,853,7200,3588,216,2896,430,914,216,996,996,2822	62%
1Móz 1:5	9001,7121,430,9005,216,3117,9002,9005,2822,7121,3915,9001,1961,6153,9001,1961,1242,3117,259	430,7121,216,3117,2822,7121,3915,1961,6153,1961,1242,259,3117	77%
