motivum	igehely	lxx_igehely	heber_kulcsszo	gorog_megfelelo	egyezes	forras
ALVIL-001	Péld 30:16	Péld 30:16	שְׁאוֹל֮ (she.'Ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Én 8:6	Én 8:6	שְׁא֖וֹל (sh.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 5:14	Ézs 5:14	שְּׁאוֹל֙ (she.'Ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:9	Ézs 14:9	שְׁא֗וֹל (she.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:11	Ézs 14:11	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:15	Ézs 14:15	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 28:15	Ézs 28:15	שְׁא֖וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 28:18	Ézs 28:18	שְׁא֖וֹל (she.'ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 38:10	Ézs 38:10	שְׁא֑וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 38:18	Ézs 38:18	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 57:9	Ézs 57:9	שְׁאֽוֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:15	Ez 31:15	שְׁא֙וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:16	Ez 31:16	שְׁא֖וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:17	Ez 31:17	שְׁא֖וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 32:27	Ez 32:27	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ámós 9:2	Ámós 9:2	שְׁא֔וֹל (sh.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Hab 2:5	Hab 2:5	שְׁא֜וֹל (sh.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ANTROP-001	1Móz 2:7	1Móz 2:7	נֶ֥פֶשׁ (Ne.fesh)	ψυχὴν (ψυχή, psuchē G5590)	egyező	LXX_OS
HAMART-001	1Móz 3:14	1Móz 3:14	אָר֤וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 3:17	1Móz 3:17	אֲדָמָה֙ ('a.da.Mah)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 4:11	1Móz 4:11	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 6:11	1Móz 6:11	תִּשָּׁחֵ֥ת (ti.sha.Chet)	ἐφθάρη (φθείρω, phtheirō G5351)	egyező	LXX_OS
HAMART-001	1Móz 9:25	1Móz 9:25	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:15	5Móz 27:15	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:16	5Móz 27:16	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:17	5Móz 27:17	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:18	5Móz 27:18	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:19	5Móz 27:19	אָר֗וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:20	5Móz 27:20	אָר֗וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:21	5Móz 27:21	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:22	5Móz 27:22	אָר֗וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:23	5Móz 27:23	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:24	5Móz 27:24	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:25	5Móz 27:25	אָרוּר֙ ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:26	5Móz 27:26	אָר֗וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 28:16	5Móz 28:16	אָר֥וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 28:17	5Móz 28:17	אָר֥וּר ('a.Rur)	ἐπικατάρατοι (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 28:18	5Móz 28:18	אָר֥וּר ('a.Rur)	ἐπικατάρατα (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 28:19	5Móz 28:19	אָר֥וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	Jer 17:5	Jer 17:5	אָר֤וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	Zsolt 14:1	Zsolt(LXX) 13:1	הִֽשְׁחִ֗יתוּ (hish.Chi.tu)	διέφθειραν (διαφθείρω, diaphtheirō G1311)	egyező	LXX_OS
HAMART-001	Zsolt 53:2	Zsolt(LXX) 52:2	הִֽ֝שְׁחִ֗יתוּ (hish.Chi.tu)	διεφθάρησαν (διαφθείρω, diaphtheirō G1311)	egyező	LXX_OS
ISTENTISZT-001	1Móz 4:26	1Móz 4:26	קְרֹ֖א (k.Ro')	ἐπικαλεῖσθαι (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Móz 12:8	1Móz 12:8	יִּקְרָ֖א (i.yik.Ra')	ἐπεκαλέσατο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Móz 13:4	1Móz 13:4	יִּקְרָ֥א (i.yik.Ra')	ἐπεκαλέσατο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Móz 21:33	1Móz 21:33	יִּ֨קְרָא (i.Yik.ra'-)	ἐπεκαλέσατο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Móz 26:25	1Móz 26:25	יִּקְרָא֙ (i.yik.Ra')	ἐπεκαλέσατο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Kir 18:24	1Kir 18:24	אֶקְרָ֣א ('ek.Ra')	ἐπικαλέσομαι (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Kir 18:25	1Kir 18:25	קִרְאוּ֙ (kir.'U)	ἐπικαλέσασθε (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Kir 18:26	1Kir 18:26	יִּקְרְא֣וּ (i.yik.re.'U)	ἐπεκαλοῦντο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	2Kir 5:11	2Kir 5:11	קָרָא֙ (ka.Ra')	ἐπικαλέσεται (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Sof 3:9	Sof 3:9	קְרֹ֤א (k.Ro')	ἐπικαλεῖσθαι (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zak 13:9	Zak 13:9	יִקְרָ֣א (yik.Ra')	ἐπικαλέσεται (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zsolt 116:4	Zsolt(LXX) 114:4	אֶקְרָ֑א ('ek.Ra')	ἐπεκαλεσάμην (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zsolt 116:13	Zsolt(LXX) 115:4	אֶקְרָֽא ('ek.Ra')	ἐπικαλέσομαι (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zsolt 116:17	Zsolt(LXX) 115:8	אֶקְרָֽא ('ek.Ra')	nincs megfelelő a görögben (LXX-minusz)	LXX-minusz	adat/lxx_dontesek.tsv
ISTENTISZT-001	Jóel 2:32	Jóel(LXX) 3:5	קֹרֵֽא (ko.Re')	ἐπικαλέσηται (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zsolt 105:1	Zsolt(LXX) 104:1	קִרְא֣וּ (kir.'U)	ἐπικαλεῖσθε (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	1Krón 16:8	1Krón 16:8	קִרְא֣וּ (kir.'U)	ἐπικαλεῖσθε (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Ézs 12:4	Ézs 12:4	קִרְא֣וּ (kir.'U)	βοάω (boaō G0994)	eltérő	adat/lxx_dontesek.tsv
ISTENTISZT-001	Jer 10:25	Jer 10:25	קָרָ֑אוּ (ka.Ra.'u)	ἐπεκαλέσαντο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	Zsolt 79:6	Zsolt(LXX) 78:6	קָרָֽאוּ (ka.Ra.'u)	ἐπεκαλέσαντο (ἐπικαλέω, epikaleō G1941)	egyező	LXX_OS
ISTENTISZT-001	2Móz 33:19	2Móz 33:19	קָרָ֧אתִֽי (ka.Ra.ti)	καλέω (kaleō G2564)	eltérő	adat/lxx_dontesek.tsv
ISTENTISZT-001	2Móz 34:5	2Móz 34:5	יִּקְרָ֥א (i.yik.Ra')	καλέω (kaleō G2564)	eltérő	adat/lxx_dontesek.tsv
KIRALY-001	Zsolt 110:4	Zsolt(LXX) 109:4	כֹהֵ֥ן (kho.Hen)	τάξιν (τάξις, taxis G5010)	egyező	LXX_OS
TEREMT-001	1Móz 1:2	1Móz 1:2	תְה֑וֹם (te.Hom)	ἀβύσσου (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	1Móz 7:11	1Móz 7:11	תְּה֣וֹם (te.Hom)	ἀβύσσου (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	1Móz 8:2	1Móz 8:2	תְּה֔וֹם (te.Hom)	ἀβύσσου (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	5Móz 8:7	5Móz 8:7	תְהֹמֹ֔ת (te.ho.Mot)	ἀβύσσων (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	5Móz 33:13	5Móz 33:13	תְּה֖וֹם (te.Hom)	ἀβύσσων (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Jób 28:14	Jób 28:14	תְּה֣וֹם (te.Hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 33:7	Zsolt(LXX) 32:7	תְּהוֹמֽוֹת (te.ho.Mot)	ἀβύσσους (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 36:7	Zsolt(LXX) 35:7	תְּה֣וֹם (te.Hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
TEREMT-001	Zsolt 42:8	Zsolt(LXX) 41:8	תְּה֣וֹם (te.Hom)	ἄβυσσος (ἄβυσσος, abussos G0012)	egyező	LXX_OS
