strong	csoport	modell	darab	forras	bemenet_token	kimenet_token	koltseg_usd	koltseg_forras	futo_osszeg_usd
G1311	E	google/gemini-3.1-flash-lite	0	halozat	2349	421	0.001219	openrouter	0.232265
G1311	E	qwen/qwen3.7-flash	0	halozat	2279	418	0.000123	openrouter	0.232388
G1941	A	deepseek/deepseek-v4-flash	0	cache	3318	602	0.000355	openrouter	0.232743
G1941	A	google/gemini-3.8-flash	0	cache	3534	13395	0.052882	openrouter	0.285625
G1941	A	anthropic/claude-haiku-4.5	0	halozat	0	0	0.0	openrouter	0.285625
G1941	A	openai/gpt-4o-mini	0	halozat	3355	1580	0.001326	openrouter	0.286951
G1941	A	google/gemini-3.1-flash-lite	0	halozat	3534	1827	0.003624	openrouter	0.290575
G1941	A	qwen/qwen3.7-flash	0	halozat	3523	1658	0.000321	openrouter	0.290897
G1944	E	deepseek/deepseek-v4-flash	0	cache	2034	201	0.00013	openrouter	0.291027
G1944	E	google/gemini-3.8-flash	0	cache	2171	2558	0.011221	openrouter	0.302247
G1944	E	anthropic/claude-haiku-4.5	0	cache	2496	213	0.003561	openrouter	0.305808
G1944	E	openai/gpt-4o-mini	0	halozat	2033	135	0.000261	openrouter	0.306069
G1944	E	google/gemini-3.1-flash-lite	0	halozat	2171	196	0.000837	openrouter	0.306906
G1944	E	qwen/qwen3.7-flash	0	halozat	2086	203	8.9e-05	openrouter	0.306995
G2671	E	deepseek/deepseek-v4-flash	0	cache	2177	382	0.000221	openrouter	0.307217
G2671	E	google/gemini-3.8-flash	0	cache	2309	2707	0.011883	openrouter	0.3191
G2671	E	anthropic/claude-haiku-4.5	0	cache	2690	467	0.005025	openrouter	0.324125
G2671	E	openai/gpt-4o-mini	0	halozat	2195	242	0.00035	openrouter	0.324474
G2671	E	google/gemini-3.1-flash-lite	0	halozat	2309	374	0.001138	openrouter	0.325613
G2671	E	qwen/qwen3.7-flash	0	halozat	2234	392	0.000118	openrouter	0.325731
G2672	N	deepseek/deepseek-v4-flash	0	cache	2287	516	0.000303	openrouter	0.326034
G2672	N	google/gemini-3.8-flash	0	cache	2430	2119	0.009769	openrouter	0.335802
G2672	N	anthropic/claude-haiku-4.5	0	cache	2784	564	0.005604	openrouter	0.341406
G2672	N	openai/gpt-4o-mini	0	halozat	2279	416	0.000467	openrouter	0.341873
G2672	N	google/gemini-3.1-flash-lite	0	halozat	2430	598	0.001504	openrouter	0.343378
G2672	N	qwen/qwen3.7-flash	0	halozat	2352	478	0.000133	openrouter	0.34351
G3777	V	deepseek/deepseek-v4-flash	0	cache	2863	1146	0.000619	openrouter	0.344129
G3777	V	google/gemini-3.8-flash	0	cache	3091	3816	0.016628	openrouter	0.360757
G3777	V	anthropic/claude-haiku-4.5	0	cache	3554	1422	0.010664	openrouter	0.371421
G3777	V	openai/gpt-4o-mini	0	halozat	2880	28	0.000324	openrouter	0.371745
G3777	V	google/gemini-3.1-flash-lite	0	halozat	3091	1260	0.002663	openrouter	0.374408
G3777	V	qwen/qwen3.7-flash	0	halozat	3067	1309	0.000262	openrouter	0.37467
G4151	E	deepseek/deepseek-v4-flash	0	cache	2015	83	8.2e-05	openrouter	0.374753
G4151	E	deepseek/deepseek-v4-flash	1	cache	2238	411	0.000237	openrouter	0.37499
G4151	E	deepseek/deepseek-v4-flash	2	cache	3497	1973	0.00104	openrouter	0.37603
G4151	E	deepseek/deepseek-v4-flash	3	cache	2834	1155	0.000624	openrouter	0.376653
G4151	E	deepseek/deepseek-v4-flash	4	cache	2115	251	0.000155	openrouter	0.376808
G4151	E	deepseek/deepseek-v4-flash	5	cache	3794	2212	0.001165	openrouter	0.377973
G4151	E	deepseek/deepseek-v4-flash	6	cache	3452	1944	0.00102	openrouter	0.378994
G4151	E	deepseek/deepseek-v4-flash	7	cache	3485	1987	0.001042	openrouter	0.380036
G4151	E	deepseek/deepseek-v4-flash	8	cache	2046	121	9.2e-05	openrouter	0.380128
G4151	E	deepseek/deepseek-v4-flash	9	cache	2134	240	0.000155	openrouter	0.380284
G4151	E	deepseek/deepseek-v4-flash	10	cache	2281	438	0.000259	openrouter	0.380542
G4151	E	deepseek/deepseek-v4-flash	11	cache	3266	1611	0.000851	openrouter	0.381394
G4151	E	google/gemini-3.8-flash	0	cache	2133	819	0.004671	openrouter	0.386065
G4151	E	google/gemini-3.8-flash	1	cache	2366	3193	0.013748	openrouter	0.399813
G4151	E	google/gemini-3.8-flash	2	cache	3657	8184	0.033433	openrouter	0.433246
G4151	E	google/gemini-3.8-flash	3	cache	3006	4397	0.018743	openrouter	0.451989
G4151	E	google/gemini-3.8-flash	4	cache	2235	4008	0.016706	openrouter	0.468695
G4151	E	google/gemini-3.8-flash	5	cache	4061	5332	0.023041	openrouter	0.491736
G4151	E	google/gemini-3.8-flash	6	cache	3640	8644	0.035145	openrouter	0.526881
G4151	E	google/gemini-3.8-flash	7	cache	3635	4275	0.018757	openrouter	0.545638
G4151	E	google/gemini-3.8-flash	8	cache	2164	4439	0.018269	openrouter	0.563908
G4151	E	google/gemini-3.8-flash	9	cache	2248	4819	0.019757	openrouter	0.583665
G4151	E	google/gemini-3.8-flash	10	cache	2388	2072	0.009561	openrouter	0.593226
G4151	E	google/gemini-3.8-flash	11	cache	3409	5589	0.023516	openrouter	0.616741
G4151	E	anthropic/claude-haiku-4.5	0	cache	2455	93	0.00292	openrouter	0.619661
G4151	E	anthropic/claude-haiku-4.5	1	cache	2717	433	0.004882	openrouter	0.624543
G4151	E	anthropic/claude-haiku-4.5	2	cache	4288	2222	0.015398	openrouter	0.639941
G4151	E	anthropic/claude-haiku-4.5	3	cache	3416	1285	0.009841	openrouter	0.649782
G4151	E	anthropic/claude-haiku-4.5	4	cache	2561	182	0.003471	openrouter	0.653253
G4151	E	anthropic/claude-haiku-4.5	5	cache	4611	2602	0.017621	openrouter	0.670874
G4151	E	anthropic/claude-haiku-4.5	6	cache	4201	2191	0.015156	openrouter	0.68603
G4151	E	anthropic/claude-haiku-4.5	7	cache	4348	2241	0.015553	openrouter	0.701583
G4151	E	anthropic/claude-haiku-4.5	8	cache	2487	135	0.003162	openrouter	0.704745
G4151	E	anthropic/claude-haiku-4.5	9	cache	2602	286	0.004032	openrouter	0.708777
G4151	E	anthropic/claude-haiku-4.5	10	cache	2777	523	0.005392	openrouter	0.714169
G4151	E	anthropic/claude-haiku-4.5	11	cache	4022	1896	0.013502	openrouter	0.727671
G4151	E	openai/gpt-4o-mini	0	halozat	2012	26	0.000193	openrouter	0.727864
G4151	E	openai/gpt-4o-mini	1	halozat	2242	392	0.000447	openrouter	0.728311
G4151	E	openai/gpt-4o-mini	2	halozat	3524	1851	0.001514	openrouter	0.729825
G4151	E	openai/gpt-4o-mini	3	halozat	2833	1074	0.000945	openrouter	0.73077
G4151	E	openai/gpt-4o-mini	4	halozat	2107	236	0.000333	openrouter	0.731102
G4151	E	openai/gpt-4o-mini	5	halozat	3804	2146	0.001733	openrouter	0.732836
G4151	E	openai/gpt-4o-mini	6	halozat	3467	1846	0.001503	openrouter	0.734339
G4151	E	openai/gpt-4o-mini	7	halozat	3546	1915	0.001556	openrouter	0.735895
G4151	E	openai/gpt-4o-mini	8	halozat	2038	113	0.000249	openrouter	0.736144
G4151	E	openai/gpt-4o-mini	9	halozat	2132	218	0.000326	openrouter	0.736469
G4151	E	openai/gpt-4o-mini	10	halozat	2274	410	0.000462	openrouter	0.736932
G4151	E	openai/gpt-4o-mini	11	halozat	3304	1588	0.001324	openrouter	0.738255
G4151	E	google/gemini-3.1-flash-lite	0	halozat	2133	88	0.000665	openrouter	0.73892
G4151	E	google/gemini-3.1-flash-lite	1	halozat	2366	399	0.00119	openrouter	0.74011
G4151	E	google/gemini-3.1-flash-lite	2	halozat	3657	1874	0.003725	openrouter	0.743836
G4151	E	google/gemini-3.1-flash-lite	3	halozat	3006	1137	0.002457	openrouter	0.746293
G4151	E	google/gemini-3.1-flash-lite	4	halozat	2235	237	0.000914	openrouter	0.747207
G4151	E	google/gemini-3.1-flash-lite	5	halozat	4061	2309	0.004479	openrouter	0.751686
G4151	E	google/gemini-3.1-flash-lite	6	halozat	3640	1898	0.003757	openrouter	0.755443
G4151	E	google/gemini-3.1-flash-lite	7	halozat	3635	1892	0.003747	openrouter	0.759189
G4151	E	google/gemini-3.1-flash-lite	8	halozat	2164	145	0.000758	openrouter	0.759948
G4151	E	google/gemini-3.1-flash-lite	9	halozat	2248	242	0.000925	openrouter	0.760873
