# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/auditok.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.9
id	lepes	proveniencia	datum
TEREMT-002	B4	scope=range:Ézs 34:11 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=23 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 40:17 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=11 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 40:23 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=12 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 41:29 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=10 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 44:9 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=17 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 45:18 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=33 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 45:19 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=26 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 49:4 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=30 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 59:4 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=19 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:1Móz 1:2 | forras=TSK_kereszthivatkozasok.tsv | n=9 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:1Sám 12:21 | forras=TSK_kereszthivatkozasok.tsv | n=20 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:5Móz 32:10 | forras=TSK_kereszthivatkozasok.tsv | n=19 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jer 4:23 | forras=TSK_kereszthivatkozasok.tsv | n=23 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 6:18 | forras=TSK_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 12:24 | forras=TSK_kereszthivatkozasok.tsv | n=10 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 26:7 | forras=TSK_kereszthivatkozasok.tsv | n=11 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 107:40 | forras=TSK_kereszthivatkozasok.tsv | n=29 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:10 | forras=TSK_kereszthivatkozasok.tsv | n=30 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 29:21 | forras=TSK_kereszthivatkozasok.tsv | n=22 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 34:11 | forras=TSK_kereszthivatkozasok.tsv | n=13 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:17 | forras=TSK_kereszthivatkozasok.tsv | n=6 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:23 | forras=TSK_kereszthivatkozasok.tsv | n=17 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 41:29 | forras=TSK_kereszthivatkozasok.tsv | n=11 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 44:9 | forras=TSK_kereszthivatkozasok.tsv | n=43 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 45:18 | forras=TSK_kereszthivatkozasok.tsv | n=13 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 45:19 | forras=TSK_kereszthivatkozasok.tsv | n=52 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 49:4 | forras=TSK_kereszthivatkozasok.tsv | n=24 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 59:4 | forras=TSK_kereszthivatkozasok.tsv | n=23 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:1Móz 1:2 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:1Sám 12:21 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:5Móz 32:10 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jer 4:23 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 6:18 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 12:24 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 26:7 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Zsolt 107:40 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:10 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 29:21 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 34:11 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=5 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:17 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:23 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 41:29 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 44:9 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 45:18 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 45:19 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:03Z	2026.09.25
