forras	fajl	sor	karakter
Thayer	konkordancia/Thayer_teljes.tsv	5427	4509565
BDB	konkordancia/BDB_teljes_unabridged.tsv	8091	6429306
TBESG	konkordancia/TBESG.txt	11105	4302344
UBS_jelentesek	konkordancia/UBS_DNTG_jelentesek.tsv	9079	2923253
UBS_referenciak	konkordancia/UBS_DNTG_referenciak.tsv	130952	6469355
SDBH	konkordancia/SDBH_domenek.tsv	22284	2389365
SDGNT	konkordancia/SDGNT_domenek.tsv	9079	1193069
