# T1.1: lekérdezés-találatok, amelyek NEM jelöltek (a nem-mag versek TSK/Károli-KH célpontjai, igealak, mező-kollokáció). Jelöltté léptetésük gate-kérdés (T1_TEREMT002_gate.md).
igehely	forras_kereses
Jer 50:39	TSK Jel 18:2 (Votes=7); TSK Ézs 14:23 (Votes=4); TSK Ézs 13:20 (Votes=2); Károli-KH (forrás-vers: Ézs 13:20)
Jer 50:40	TSK Jel 18:2 (Votes=7); TSK Ézs 14:23 (Votes=4)
Jer 50:42	TSK Ézs 5:30 (Votes=2)
Jer 50:45	TSK Ézs 13:20 (Votes=2)
Jer 51:15	TSK Ézs 45:18 (Votes=4)
Jer 51:2	igealak H1238
Jer 51:25	TSK Ézs 14:23 (Votes=3); TSK Ézs 13:20 (Votes=2)
Jer 51:26	TSK Ézs 14:23 (Votes=3)
Jer 51:29	TSK Ézs 13:20 (Votes=2)
Jer 51:33	TSK Ézs 13:22 (Votes=3)
Jer 51:37	TSK Jel 18:2 (Votes=8); TSK Mal 1:3 (Votes=2); TSK Ézs 13:20 (Votes=1)
Jer 51:42	TSK Ézs 14:23 (Votes=3)
Jer 51:43	TSK Ézs 14:23 (Votes=3); TSK Ézs 13:20 (Votes=4)
Jer 51:60	TSK Jel 18:2 (Votes=6)
Jer 51:62	TSK Náh 2:10 (Votes=2); TSK Ézs 13:20 (Votes=1)
Jer 51:63	TSK Jel 18:21 (Votes=8)
Jer 51:64	TSK Jel 18:2 (Votes=6); TSK Jel 18:21 (Votes=8); TSK Ézs 13:20 (Votes=1); Károli-KH (forrás-vers: Jel 18:21)
Jer 51:8	TSK Jel 18:2 (Votes=8)
Jer 52:13	TSK Ézs 24:10 (Votes=2)
Jer 52:14	TSK Ézs 24:10 (Votes=2)
Jer 52:24-27	Károli-KH (forrás-vers: 2Kir 21:13)
Jer 52:7	TSK Ézs 24:10 (Votes=2)
Jer 52:7-14	Károli-KH (forrás-vers: 2Kir 21:13)
Jer 5:1	TSK Ézs 59:4 (Votes=2)
Jer 5:10	TSK Sir 2:8 (Votes=3)
Jer 5:13	TSK Ézs 41:29 (Votes=5)
Jer 5:4	TSK Ézs 59:4 (Votes=3)
Jer 5:5	TSK Ézs 59:4 (Votes=3)
Jer 6:23	TSK Ézs 5:30 (Votes=3)
Jer 7:29	TSK Jer 9:10 (Votes=3)
Jer 7:34	TSK Jel 18:23 (Votes=7); Károli-KH (forrás-vers: Jel 18:23)
Jer 7:4	TSK Ézs 59:4 (Votes=5)
Jer 7:8	TSK Ézs 59:4 (Votes=5)
Jer 8:14	TSK Jer 9:15 (Votes=5); Károli-KH (forrás-vers: Jer 9:15)
Jer 8:18	TSK Jer 9:10 (Votes=2)
Jer 8:2	TSK Zsolt 33:6 (Votes=4)
Jer 9:11	TSK Mal 1:3 (Votes=2)
Jer 9:25	TSK Ézs 24:10 (Votes=2)
Jer 9:26	TSK Ézs 24:10 (Votes=2)
Ján 10:12	TSK Ez 34:12-16 (Votes=10)
Ján 10:14	TSK Ján 10:11 (Votes=47)
Ján 10:15	TSK Ján 10:11 (Votes=47)
Ján 10:17	TSK Ján 10:11 (Votes=16)
Ján 10:18	TSK Ján 10:11 (Votes=16)
Ján 10:9	TSK Ez 34:12-16 (Votes=6)
Ján 15:13	TSK Ján 10:11 (Votes=45)
Ján 17:4	TSK Ézs 49:4 (Votes=2)
Ján 17:5	TSK Ézs 49:4 (Votes=2)
Ján 18:20	TSK Ézs 45:19 (Votes=7)
Ján 1:1	TSK Zsolt 33:6 (Votes=18)
Ján 1:1-3	Károli-KH (forrás-vers: Zsolt 33:6)
Ján 1:11	TSK Ézs 49:4 (Votes=2)
Ján 1:3	TSK Zsolt 33:6 (Votes=18)
Ján 20:22	TSK Zsolt 33:6 (Votes=10)
Ján 21:15	TSK Ez 34:12-16 (Votes=4); TSK 1Móz 33:13 (Votes=2)
Ján 21:17	TSK 1Móz 33:13 (Votes=2)
Ján 7:26	TSK Ézs 45:19 (Votes=2)
Ján 7:28	TSK Ézs 45:19 (Votes=2)
Ján 7:37	TSK Ézs 45:19 (Votes=2)
Ján 7:39	TSK Ézs 45:19 (Votes=2)
Jób 11:7	TSK Ézs 40:12 (Votes=9); TSK Jób 26:14 (Votes=6)
Jób 11:9	TSK Ézs 40:12 (Votes=9); TSK Jób 26:14 (Votes=6)
Jób 12:14	TSK Mal 1:4 (Votes=2)
Jób 12:17-24	Károli-KH (forrás-vers: Ézs 40:23)
Jób 12:19	Károli-KH (forrás-vers: Jób 12:24)
Jób 12:20	TSK Jób 12:24 (Votes=3)
Jób 12:21	TSK Zsolt 107:40 (Votes=8); TSK Ézs 40:23 (Votes=5); Károli-KH (forrás-vers: Zsolt 107:40)
Jób 13:21	TSK Sir 2:8 (Votes=2)
Jób 15:31	TSK Ézs 59:4 (Votes=2)
Jób 15:35	TSK Ézs 59:4 (Votes=9); Károli-KH (forrás-vers: Ézs 59:4)
Jób 17:4	TSK Jób 12:24 (Votes=2)
Jób 18:5	TSK Ez 32:7 (Votes=3)
Jób 18:6	TSK Ez 32:7 (Votes=3)
Jób 20:8	TSK Jel 18:21 (Votes=3)
Jób 21:17	TSK Jel 18:23 (Votes=3)
Jób 21:22	TSK Ézs 40:14 (Votes=5)
Jób 25:6	TSK Ézs 40:17 (Votes=0)
Jób 26:10-13	Károli-KH (forrás-vers: Ézs 40:12)
Jób 26:13	TSK Zsolt 104:30 (Votes=7); TSK Zsolt 33:6 (Votes=8)
Jób 28:25	TSK Ézs 40:12 (Votes=9)
Jób 33:4	TSK Zsolt 104:30 (Votes=15); TSK Zsolt 33:6 (Votes=17)
Jób 34:19	TSK Ézs 40:23 (Votes=2)
Jób 34:20	TSK Ézs 40:23 (Votes=2)
Jób 34:29	TSK Mal 1:4 (Votes=2)
Jób 36:29	TSK Jób 26:14 (Votes=5)
Jób 38:11	TSK Ézs 40:12 (Votes=16)
Jób 38:4	TSK Ézs 40:12 (Votes=16); TSK Ézs 24:23 (Votes=2)
Jób 38:5-10	Károli-KH (forrás-vers: Ézs 40:12)
Jób 38:7	TSK Ézs 24:23 (Votes=2)
Jób 40:9	TSK Jób 26:14 (Votes=5)
Jób 4:12	TSK Jób 26:14 (Votes=5)
Jób 5:14	TSK Ámós 8:9 (Votes=5)
Jób 9:4	TSK Mal 1:4 (Votes=2)
Jób 9:6	TSK Jel 20:11 (Votes=4)
Jób 9:8	TSK Jób 26:7 (Votes=13)
Jóel 1:10	TSK Jer 9:10 (Votes=2)
Jóel 1:12	TSK Jer 9:10 (Votes=2)
Jóel 2:1	TSK ApCsel 2:20 (Votes=6); TSK Ez 34:12-16 (Votes=1)
Jóel 2:10-31	Károli-KH (forrás-vers: Jóel 3:15)
Jóel 2:11	TSK Jóel 3:16 (Votes=10)
Jóel 2:2	TSK Ez 32:7 (Votes=5); TSK Jóel 2:10 (Votes=-1)
Jóel 2:3	TSK Ez 34:12-16 (Votes=1)
Jóel 2:6	TSK Náh 2:10 (Votes=5)
Jóel 3:1	TSK Jóel 2:31 (Votes=4)
Jóel 3:14	TSK ApCsel 2:20 (Votes=5)
Jóel 3:19	TSK Mal 1:3 (Votes=3)
Jón 2:8	TSK 1Sám 12:21 (Votes=3)
Józs 10:24	TSK Zsolt 107:40 (Votes=3)
Józs 10:26	TSK Zsolt 107:40 (Votes=3)
Józs 2:11	TSK Náh 2:10 (Votes=2)
Józs 8:20	TSK Jóel 2:30 (Votes=1)
Kol 2:3	TSK Ézs 40:14 (Votes=4)
Luk 10:9	Károli-KH (forrás-vers: Náh 2:10)
Luk 11:53	TSK Ézs 29:21 (Votes=2)
Luk 11:54	TSK Ézs 29:21 (Votes=2)
Luk 14:26	TSK Mal 1:3 (Votes=1)
Luk 14:34-35	Károli-KH (forrás-vers: Mal 1:4)
Luk 15:4	TSK Ez 34:12-16 (Votes=5); TSK Ez 34:12-16 (Votes=9)
Luk 15:6	TSK Ez 34:12-16 (Votes=5)
Luk 15:7	TSK Ez 34:12-16 (Votes=9)
Luk 19:10	TSK Ez 34:12-16 (Votes=9); TSK Ez 34:12-16 (Votes=14)
Luk 19:39	Károli-KH (forrás-vers: Luk 21:26)
Luk 19:43	TSK Ézs 24:10 (Votes=2)
Luk 1:16	TSK Zsolt 80:6-7 (Votes=2)
Luk 1:51	TSK Ézs 40:23 (Votes=2)
Luk 1:52	TSK Ézs 40:23 (Votes=2)
Luk 21:11	TSK Jóel 2:30 (Votes=10)
Luk 21:24	TSK Ézs 24:10 (Votes=2)
Luk 21:27	TSK Mk 13:24 (Votes=2)
Luk 21:33	Károli-KH (forrás-vers: Mt 24:35)
Luk 23:44	TSK Ámós 8:9 (Votes=8)
Luk 24:26	TSK Ézs 49:4 (Votes=2)
Luk 5:31	TSK Ez 34:12-16 (Votes=9)
Luk 5:32	TSK Ez 34:12-16 (Votes=9)
Luk 7:50	Károli-KH (forrás-vers: Luk 21:26)
Luk 8:27	TSK Jel 18:2 (Votes=1)
Luk 8:28	TSK Jel 18:2 (Votes=1)
Mal 3:13	TSK Ézs 45:19 (Votes=4)
Mal 3:14	TSK Ézs 45:19 (Votes=4)
Mal 3:5	TSK Ézs 29:21 (Votes=2)
Mal 4:1	TSK Jóel 2:31 (Votes=9); TSK ApCsel 2:19 (Votes=3)
Mal 4:5	TSK Jóel 2:31 (Votes=9); TSK ApCsel 2:20 (Votes=7)
Mal 4:6	TSK ApCsel 2:19 (Votes=3)
Mik 2:1	TSK Ézs 59:4 (Votes=4)
Mik 2:13	TSK Ézs 24:10 (Votes=2)
Mik 2:6	TSK Ézs 29:21 (Votes=2)
Mik 2:7	TSK Ézs 29:21 (Votes=2)
Mik 3:12	TSK Ézs 24:10 (Votes=2)
Mik 3:6	TSK Ámós 8:9 (Votes=6); Károli-KH (forrás-vers: Ámós 8:9)
Mik 4:6	TSK Ez 34:12-16 (Votes=8)
Mik 4:7	TSK Ézs 24:23 (Votes=3); TSK Ez 34:12-16 (Votes=8)
Mik 5:4	TSK Ján 10:11 (Votes=15)
Mik 7:14	TSK Ez 34:12-16 (Votes=31); TSK Ez 34:12-16 (Votes=5)
Mik 7:15	TSK Ez 34:12-16 (Votes=31)
Mik 7:2	TSK Ézs 59:4 (Votes=6)
Mik 7:4	TSK Luk 21:25 (Votes=5)
Mik 7:5	TSK Ézs 59:4 (Votes=6)
Mk 13:26	TSK Luk 21:25 (Votes=9); TSK Ézs 24:23 (Votes=2)
Mk 15:33	TSK Luk 21:25 (Votes=7); TSK Ámós 8:9 (Votes=10)
Mk 2:17	TSK Ez 34:12-16 (Votes=7)
Mk 4:12	TSK Zsolt 80:6-7 (Votes=2)
Mk 5:3	TSK Jel 18:2 (Votes=2)
Mk 5:5	TSK Jel 18:2 (Votes=2)
Mt 12:30	TSK Mal 1:4 (Votes=1)
Mt 15:24	TSK Ez 34:12-16 (Votes=3)
Mt 15:8	TSK Ézs 45:19 (Votes=1)
Mt 15:9	TSK Ézs 45:19 (Votes=1)
Mt 17:17	TSK Ézs 49:4 (Votes=3)
Mt 18:10	TSK Ez 34:12-16 (Votes=3)
Mt 18:14	TSK Ez 34:12-16 (Votes=3)
Mt 20:28	TSK Ján 10:11 (Votes=17)
Mt 22:15	TSK Ézs 29:21 (Votes=2)
Mt 23:34	TSK Ézs 24:10 (Votes=2)
Mt 23:35	TSK Ézs 24:10 (Votes=2)
Mt 23:37	TSK Ézs 49:4 (Votes=3)
Mt 24:21	TSK Mt 24:29 (Votes=2)
Mt 24:3	TSK Ézs 24:19 (Votes=2)
Mt 24:31	TSK Mk 13:24 (Votes=4)
Mt 24:8	TSK Mt 24:29 (Votes=0)
Mt 25:31	TSK Jel 20:11 (Votes=11)
Mt 26:15	TSK Ézs 29:21 (Votes=2)
Mt 27:45	TSK Luk 21:25 (Votes=5); TSK Ámós 8:9 (Votes=9); TSK Jóel 2:31 (Votes=3); TSK ApCsel 2:20 (Votes=3)
Mt 27:51	TSK Jóel 2:10 (Votes=-1)
Mt 5:18	TSK Mt 24:35 (Votes=228)
Mt 6:10	TSK Ézs 24:23 (Votes=1)
Mt 6:13	TSK Ézs 24:23 (Votes=-1)
Márk 16:12	Károli-KH (forrás-vers: Luk 21:25)
Márk 9:50	Károli-KH (forrás-vers: Mal 1:4)
Mát 5:18	Károli-KH (forrás-vers: Mt 24:35)
Máté 24:29	Károli-KH (forrás-vers: Ézs 13:10)
Neh 9:11	TSK Jel 18:21 (Votes=2)
Neh 9:19	TSK 5Móz 32:10 (Votes=5)
Neh 9:21	TSK 5Móz 32:10 (Votes=5)
Náh 1:5	TSK Jóel 2:10 (Votes=1); TSK Ézs 24:19 (Votes=3)
Náh 2:2	igealak H1238
Náh 3:4	TSK Jel 18:23 (Votes=7)
Náh 3:7	TSK Náh 2:10 (Votes=2)
Péld 12:10	TSK 1Móz 33:13 (Votes=2)
Péld 13:9	TSK Ez 32:7 (Votes=3)
Péld 15:8	TSK Ézs 45:19 (Votes=4)
Péld 18:10	TSK Jóel 3:16 (Votes=7)
Péld 1:21	TSK Ézs 45:19 (Votes=2)
Péld 20:20	TSK Ez 32:8 (Votes=2)
Péld 21:30	TSK Mal 1:4 (Votes=2)
Péld 24:20	TSK Jel 18:23 (Votes=3)
Péld 28:21	TSK Ézs 29:21 (Votes=2)
Péld 30:4	TSK Ézs 40:12 (Votes=22); Károli-KH (forrás-vers: Ézs 40:12)
Péld 30:5	TSK Ézs 45:19 (Votes=6); TSK Mt 24:35 (Votes=210)
Péld 3:11	Károli-KH (forrás-vers: Jób 26:14)
Péld 4:16	TSK Ézs 59:4 (Votes=4)
Péld 4:18	TSK Jel 18:23 (Votes=3)
Péld 4:19	TSK Jel 18:23 (Votes=3)
Péld 7:2	TSK 5Móz 32:10 (Votes=5)
Péld 8:1	TSK Ézs 45:19 (Votes=3)
Péld 8:23	TSK Jób 26:7 (Votes=7)
Péld 8:26	TSK Ézs 40:12 (Votes=12)
Péld 8:27	TSK Jób 26:7 (Votes=7)
Péld 8:28	TSK Ézs 40:12 (Votes=12)
Péld 8:4	TSK Ézs 45:19 (Votes=3)
Péld 8:6	TSK Ézs 45:19 (Votes=1)
Róm 10:21	TSK Ézs 49:4 (Votes=2)
Róm 11:33	TSK Jób 26:14 (Votes=5)
Róm 1:22	TSK Ézs 44:9 (Votes=4)
Róm 1:25	TSK Zsolt 33:6 (Votes=7)
Róm 2:18	TSK 5Móz 32:10 (Votes=4)
Róm 2:5	TSK Jel 20:11 (Votes=10)
Róm 3:2	TSK 5Móz 32:10 (Votes=3)
Sir 1:16	TSK Jer 9:10 (Votes=2)
Sir 2:11	TSK Jer 9:10 (Votes=2)
Sir 2:17	TSK Sir 2:8 (Votes=2)
Sir 2:2	TSK Sir 2:8 (Votes=2)
Sir 2:5	TSK Sir 2:8 (Votes=2)
Sir 3:15	TSK Jer 9:15 (Votes=4)
Sir 3:19	TSK Jer 9:15 (Votes=2)
Sir 3:2	TSK Ézs 5:30 (Votes=2)
Sir 3:37	TSK Mal 1:4 (Votes=2)
Sir 4:21	TSK Mal 1:4 (Votes=3)
Sir 4:22	TSK Mal 1:4 (Votes=3)
Siral 1:4	Károli-KH (forrás-vers: Ez 34:12-16)
Sof 1:14	TSK Mt 24:29 (Votes=8); TSK Mk 13:24 (Votes=2); TSK Jóel 2:31 (Votes=6); TSK ApCsel 2:19 (Votes=3)
Sof 1:15	TSK Mt 24:29 (Votes=8); TSK Ézs 13:10 (Votes=4); TSK Ez 34:12-16 (Votes=3)
Sof 1:16	TSK Ézs 13:10 (Votes=4); TSK Jóel 2:31 (Votes=6)
Sof 1:18	TSK Mk 13:24 (Votes=2); TSK ApCsel 2:19 (Votes=3)
Sof 2:13	TSK Náh 2:10 (Votes=3)
Sof 2:15	TSK Náh 2:10 (Votes=3)
Sof 2:2	TSK ApCsel 2:20 (Votes=3)
Sof 2:3	TSK ApCsel 2:20 (Votes=3)
Sof 2:6	TSK Sof 2:14 (Votes=1)
Sof 3:13	TSK Ez 34:12-16 (Votes=3)
Sof 3:19	TSK Ez 34:12-16 (Votes=64)
Sof 3:20	TSK Ez 34:12-16 (Votes=64)
Sof 3:6	TSK Náh 2:10 (Votes=2)
Tit 1:2	TSK Mt 24:35 (Votes=106)
Tit 2:14	TSK Ján 10:11 (Votes=17)
Tit 3:5	TSK Zsolt 104:30 (Votes=6)
Zak 10:12	TSK Jóel 3:16 (Votes=3)
Zak 10:6	TSK Jóel 3:16 (Votes=2)
Zak 12:5	TSK Jóel 3:16 (Votes=2)
Zak 12:8	TSK Jóel 3:16 (Votes=2)
Zak 13:7	TSK Ján 10:11 (Votes=17)
Zak 1:16	TSK 2Kir 21:13 (Votes=2)
Zak 2:8	TSK 5Móz 32:10 (Votes=8)
Zak 9:9	TSK Ézs 24:23 (Votes=2)
Zsid 10:26	TSK Luk 21:26 (Votes=3)
Zsid 10:27	TSK Luk 21:26 (Votes=3)
Zsid 11:3	TSK Zsolt 33:6 (Votes=29)
Zsid 12:2	TSK Ézs 49:4 (Votes=2)
Zsid 12:22	TSK Ézs 24:23 (Votes=4)
Zsid 12:26	TSK Jóel 3:16 (Votes=3)
Zsid 13:20	TSK Ján 10:11 (Votes=22)
Zsid 1:10	TSK Ézs 40:12 (Votes=20)
Zsid 1:11	TSK Mt 24:35 (Votes=94)
Zsid 1:12	TSK Ézs 40:12 (Votes=20); TSK Mt 24:35 (Votes=94)
Zsolt 102:10	Károli-KH (forrás-vers: Zsolt 80:6-7)
Zsolt 102:25	TSK Ézs 40:12 (Votes=17)
Zsolt 102:26	TSK Ézs 40:12 (Votes=17); TSK Mt 24:35 (Votes=100)
Zsolt 103:5	Károli-KH (forrás-vers: Ézs 13:22)
Zsolt 104:2	TSK Jób 26:7 (Votes=11); TSK Ézs 40:12 (Votes=8)
Zsolt 104:3	TSK Ézs 40:12 (Votes=8)
Zsolt 104:5	TSK Jób 26:7 (Votes=11)
Zsolt 106:47	TSK Ez 34:12-16 (Votes=61)
Zsolt 107:4	TSK 5Móz 32:10 (Votes=3); TSK Jób 12:24 (Votes=2); TSK Zsolt 107:40 (Votes=3)
Zsolt 107:5	TSK 5Móz 32:10 (Votes=3)
Zsolt 108:9	TSK 2Sám 8:2 (Votes=2)
Zsolt 111:7	TSK Ézs 45:19 (Votes=3)
Zsolt 111:8	TSK Ézs 45:19 (Votes=3)
Zsolt 114:7	TSK Jóel 2:10 (Votes=0)
Zsolt 115:16	TSK Ézs 45:18 (Votes=14)
Zsolt 115:4	TSK 1Sám 12:21 (Votes=2); TSK Ézs 41:29 (Votes=2)
Zsolt 115:4-8	Károli-KH (forrás-vers: Ézs 41:29)
Zsolt 115:5	Károli-KH (forrás-vers: Ézs 44:9)
Zsolt 115:8	TSK 1Sám 12:21 (Votes=2); TSK Ézs 41:29 (Votes=2); TSK Ézs 44:9 (Votes=4)
Zsolt 119:137	TSK Ézs 45:19 (Votes=3)
Zsolt 119:138	TSK Ézs 45:19 (Votes=3)
Zsolt 127:1	TSK Mal 1:4 (Votes=2)
Zsolt 129:3	Károli-KH (forrás-vers: Ézs 45:18)
Zsolt 12:6	TSK Ézs 45:19 (Votes=2)
Zsolt 132:13-14	Károli-KH (forrás-vers: Ez 34:12-16)
Zsolt 135:15	TSK Ézs 41:29 (Votes=2)
Zsolt 135:18	TSK Ézs 41:29 (Votes=2); TSK Ézs 44:9 (Votes=4)
Zsolt 137:7	TSK Mal 1:4 (Votes=2); Károli-KH (forrás-vers: Zsolt 80:6-7)
Zsolt 139:6	TSK Jób 26:14 (Votes=6)
Zsolt 145:3	TSK Jób 26:14 (Votes=6)
Zsolt 147:19	TSK 5Móz 32:10 (Votes=4)
Zsolt 147:20	TSK 5Móz 32:10 (Votes=4)
Zsolt 148:1	TSK Zsolt 33:6 (Votes=6)
Zsolt 148:5	TSK Zsolt 33:6 (Votes=6)
Zsolt 14:6	TSK Jel 20:11 (Votes=3)
Zsolt 14:7	TSK Jel 20:11 (Votes=3)
Zsolt 17:8	TSK 5Móz 32:10 (Votes=7)
Zsolt 18:2	TSK Jóel 3:16 (Votes=5)
Zsolt 18:7	TSK Jóel 2:10 (Votes=5)
Zsolt 19:10	TSK Ézs 45:19 (Votes=3)
Zsolt 19:15	Károli-KH (forrás-vers: Zsolt 104:30)
Zsolt 19:7	TSK Ézs 45:19 (Votes=3); TSK Mt 24:35 (Votes=88)
Zsolt 22:14	TSK Náh 2:10 (Votes=6)
Zsolt 22:22	TSK Ézs 49:4 (Votes=2)
Zsolt 22:31	TSK Ézs 49:4 (Votes=2)
Zsolt 23:1	TSK Ez 34:12-16 (Votes=3); TSK Ez 34:12-16 (Votes=3); TSK Ján 10:11 (Votes=45)
Zsolt 23:2	TSK Ez 34:12-16 (Votes=3); TSK Ez 34:12-16 (Votes=3)
Zsolt 24:2	TSK Jób 26:7 (Votes=9)
Zsolt 24:6	TSK Ézs 45:19 (Votes=2)
Zsolt 29:11	TSK Jóel 3:16 (Votes=4)
Zsolt 29:3	TSK Jób 26:14 (Votes=5)
Zsolt 31:10	TSK Ez 34:12-16 (Votes=3)
Zsolt 31:8	TSK Ez 34:12-16 (Votes=3)
Zsolt 32:10	TSK 5Móz 32:10 (Votes=6)
Zsolt 32:7	TSK 5Móz 32:10 (Votes=6)
Zsolt 33:9	TSK Zsolt 33:6 (Votes=15)
Zsolt 37:36	TSK Jel 18:21 (Votes=2)
Zsolt 44:13	TSK Zsolt 80:6-7 (Votes=2)
Zsolt 44:14	TSK Zsolt 80:6-7 (Votes=2); Károli-KH (forrás-vers: Zsolt 80:6-7)
Zsolt 46:1	TSK Jóel 3:16 (Votes=4)
Zsolt 46:11	TSK Jóel 3:16 (Votes=4)
Zsolt 46:3	TSK Luk 21:25 (Votes=8)
Zsolt 47:8	TSK Jel 20:11 (Votes=5)
Zsolt 51:10	TSK Zsolt 80:6-7 (Votes=5)
Zsolt 60:3	TSK Jer 9:15 (Votes=2)
Zsolt 60:8	TSK 2Sám 8:2 (Votes=3)
Zsolt 61:3	TSK Jóel 3:16 (Votes=6)
Zsolt 62:10	TSK Ézs 59:4 (Votes=3)
Zsolt 62:4	TSK Ézs 59:4 (Votes=2)
Zsolt 62:9	TSK Ézs 40:17 (Votes=11)
Zsolt 69:13	TSK Ézs 45:19 (Votes=3)
Zsolt 69:21	TSK Jer 9:15 (Votes=2)
Zsolt 69:32	TSK Ézs 45:19 (Votes=4)
Zsolt 72:10	TSK 2Sám 8:2 (Votes=2)
Zsolt 72:11	TSK 2Sám 8:2 (Votes=2)
Zsolt 72:3	TSK Ézs 66:12 (Votes=6)
Zsolt 72:7	TSK Ézs 66:12 (Votes=6)
Zsolt 75:8	TSK Jer 9:15 (Votes=2)
Zsolt 76:12	TSK Ézs 40:23 (Votes=2)
Zsolt 78:66	TSK Zsolt 107:40 (Votes=3)
Zsolt 79:4	TSK Zsolt 80:6-7 (Votes=4); Károli-KH (forrás-vers: Zsolt 80:6-7)
Zsolt 7:13	TSK Ézs 59:4 (Votes=3)
Zsolt 7:14	TSK Ézs 59:4 (Votes=3)
Zsolt 7:15	Károli-KH (forrás-vers: Ézs 59:4)
Zsolt 80:1	TSK Ján 10:11 (Votes=15)
Zsolt 80:19	TSK Zsolt 80:6-7 (Votes=4)
Zsolt 80:3	TSK Zsolt 80:6-7 (Votes=4)
Zsolt 80:5	TSK Jer 9:15 (Votes=4)
Zsolt 83:6	TSK 2Sám 8:2 (Votes=1)
Zsolt 89:14	TSK Jel 20:11 (Votes=5)
Zsolt 89:34	TSK Mt 24:35 (Votes=141)
Zsolt 91:1	TSK Jóel 3:16 (Votes=4)
Zsolt 91:2	TSK Jóel 3:16 (Votes=4)
Zsolt 93:3	TSK Luk 21:25 (Votes=9); TSK Ézs 5:30 (Votes=3)
Zsolt 93:4	TSK Luk 21:25 (Votes=9); TSK Ézs 5:30 (Votes=3)
Zsolt 97:1	TSK Ézs 24:23 (Votes=2)
Zsolt 97:2	TSK Jel 20:11 (Votes=5)
Zsolt 97:7	TSK Ézs 44:9 (Votes=5)
Zsolt 9:10	TSK Ézs 45:19 (Votes=5)
Zsolt 9:7	TSK Jel 20:11 (Votes=7)
Zsolt 9:8	TSK Jel 20:11 (Votes=7)
Ámós 1:2	TSK Jóel 3:16 (Votes=10)
Ámós 3:8	TSK Jóel 3:16 (Votes=3)
Ámós 4:1	TSK Ez 34:12-16 (Votes=2)
Ámós 4:13	TSK Ámós 8:9 (Votes=4)
Ámós 4:3	TSK Ez 34:12-16 (Votes=2)
Ámós 5:10	TSK Ézs 29:21 (Votes=6); Károli-KH (forrás-vers: Ézs 29:21)
Ámós 5:12	TSK Ézs 29:21 (Votes=6)
Ámós 5:18	TSK Ez 34:12-16 (Votes=0)
Ámós 5:20	TSK Mt 24:29 (Votes=7); TSK Mk 13:24 (Votes=3); TSK Ez 34:12-16 (Votes=0)
Ámós 5:4	TSK Ézs 45:19 (Votes=12)
Ámós 5:8	TSK Ámós 8:9 (Votes=6); TSK Jóel 2:10 (Votes=-1); Károli-KH (forrás-vers: Ámós 8:9)
Ámós 6:2	TSK Mal 1:4 (Votes=2)
Ámós 7:10	TSK Ézs 29:21 (Votes=2)
Ámós 7:17	TSK Ézs 29:21 (Votes=2)
Ámós 7:7	TSK 2Kir 21:13 (Votes=7); TSK Sir 2:8 (Votes=3)
Ámós 7:8	TSK 2Kir 21:13 (Votes=7); TSK Sir 2:8 (Votes=3)
Ámós 8:10	TSK Ézs 13:10 (Votes=2); TSK Luk 21:25 (Votes=9); Károli-KH (forrás-vers: Ézs 5:30)
Ámós 9:1	TSK Sof 2:14 (Votes=3)
Ámós 9:14	TSK Ez 34:12-16 (Votes=43)
Én 1:7	TSK Ez 34:12-16 (Votes=2)
Én 1:8	TSK Ez 34:12-16 (Votes=2)
Én 3:6	TSK Jóel 2:30 (Votes=1)
Én 8:5	TSK 5Móz 32:10 (Votes=5)
Ézs 10:15	TSK Mal 1:4 (Votes=2)
Ézs 10:16	TSK Mal 1:4 (Votes=2); TSK Ez 34:12-16 (Votes=6)
Ézs 10:22	TSK 2Kir 21:13 (Votes=3)
Ézs 10:4	TSK Mal 1:4 (Votes=2)
Ézs 11:11	TSK Ez 34:12-16 (Votes=75)
Ézs 11:14	TSK Mal 1:4 (Votes=3)
Ézs 11:16	TSK Ez 34:12-16 (Votes=75)
Ézs 11:6	TSK Ez 34:12-16 (Votes=3)
Ézs 11:7	TSK Ez 34:12-16 (Votes=3)
Ézs 12:6	TSK Ézs 24:23 (Votes=3)
Ézs 13:13	TSK Luk 21:25 (Votes=10)
Ézs 13:14	TSK Luk 21:25 (Votes=10)
Ézs 13:15	TSK ApCsel 2:20 (Votes=3)
Ézs 13:19	TSK Náh 2:10 (Votes=2); TSK Sof 2:14 (Votes=3); TSK Jel 18:2 (Votes=5)
Ézs 13:21	TSK Ézs 14:23 (Votes=4); TSK Mal 1:3 (Votes=2); Károli-KH (forrás-vers: Jel 18:2)
Ézs 13:6-10	Károli-KH (forrás-vers: Mt 24:29)
Ézs 13:7	TSK Náh 2:10 (Votes=4)
Ézs 13:8	TSK Náh 2:10 (Votes=4)
Ézs 13:9	TSK Jóel 2:31 (Votes=6); TSK ApCsel 2:20 (Votes=3)
Ézs 13:9-10	Károli-KH (forrás-vers: Ez 32:7)
Ézs 19:1	TSK Jób 12:24 (Votes=2)
Ézs 19:13	TSK Ézs 40:23 (Votes=2)
Ézs 19:14	TSK Ézs 40:23 (Votes=2)
Ézs 19:3	igealak H1238
Ézs 1:15	TSK Ézs 45:19 (Votes=3)
Ézs 21:3	TSK Náh 2:10 (Votes=3)
Ézs 21:8	TSK Jel 18:2 (Votes=5)
Ézs 21:9	TSK Jel 18:2 (Votes=5)
Ézs 22:4	TSK Luk 21:25 (Votes=9)
Ézs 22:5	TSK Luk 21:25 (Votes=9)
