# T1.1: lekérdezés-találatok, amelyek NEM jelöltek (a nem-mag versek TSK/Károli-KH célpontjai, igealak, mező-kollokáció). Jelöltté léptetésük gate-kérdés (T1_TEREMT002_gate.md).
igehely	forras_kereses
2Pét 3:12	TSK Mk 13:24 (Votes=2); TSK Luk 21:25 (Votes=11); TSK Luk 21:26 (Votes=4); TSK Mt 24:35 (Votes=99); TSK Jel 20:11 (Votes=10)
2Pét 3:5	TSK Zsolt 33:6 (Votes=18)
2Pét 3:7	TSK ApCsel 2:20 (Votes=5); TSK Mt 24:35 (Votes=99); TSK Jel 20:11 (Votes=12)
2Pét 3:9	TSK Ézs 13:22 (Votes=2)
2Sám 12:31	TSK 2Sám 8:2 (Votes=2)
2Sám 18:14	Károli-KH (forrás-vers: Jóel 2:10)
2Sám 19:8	Károli-KH (forrás-vers: Jóel 2:10)
2Sám 1:23	Károli-KH (forrás-vers: Ézs 13:22)
2Sám 24:17	TSK Ján 10:11 (Votes=23)
2Sám 8:12	TSK 2Sám 8:2 (Votes=2)
2Sám 8:14	TSK 2Sám 8:2 (Votes=2)
2Sám 8:6	TSK 2Sám 8:2 (Votes=3)
2Tim 2:25	TSK Zsolt 80:6-7 (Votes=2)
2Tim 2:26	TSK Zsolt 80:6-7 (Votes=2)
3Móz 11:13	TSK Jel 18:2 (Votes=3)
3Móz 11:19	TSK Jel 18:2 (Votes=3)
3Móz 26:20	TSK Ézs 49:4 (Votes=2)
3Móz 26:36	TSK Luk 21:26 (Votes=5)
4Móz 23:19	TSK Ézs 45:19 (Votes=13); TSK Mt 24:35 (Votes=269)
4Móz 23:20	TSK Ézs 45:19 (Votes=13)
4Móz 24:17	TSK 2Sám 8:2 (Votes=5); Károli-KH (forrás-vers: 2Sám 8:2)
5Móz 11:16	TSK 1Sám 12:21 (Votes=4)
5Móz 11:6	TSK Ézs 24:19 (Votes=3)
5Móz 21:15	TSK Mal 1:3 (Votes=2)
5Móz 21:16	TSK Mal 1:3 (Votes=2)
5Móz 27:15	TSK Ézs 44:9 (Votes=3)
5Móz 28:32	TSK Luk 21:26 (Votes=3)
5Móz 28:34	TSK Luk 21:26 (Votes=3)
5Móz 28:65	TSK Luk 21:26 (Votes=7)
5Móz 28:67	TSK Luk 21:26 (Votes=7)
5Móz 29:18	TSK Jer 9:15 (Votes=2)
5Móz 29:29	TSK Ézs 45:19 (Votes=2)
5Móz 30:11	TSK Ézs 45:19 (Votes=2)
5Móz 30:14	TSK Ézs 45:19 (Votes=2)
5Móz 32:15	TSK Ez 34:12-16 (Votes=2)
5Móz 32:21	TSK 1Sám 12:21 (Votes=2)
5Móz 32:35	TSK Ézs 13:22 (Votes=2)
5Móz 32:4	TSK Ézs 45:19 (Votes=2)
5Móz 4:19	TSK Zsolt 33:6 (Votes=5)
5Móz 4:36	TSK 5Móz 32:10 (Votes=4)
5Móz 8:15	TSK 5Móz 32:10 (Votes=9)
5Móz 8:16	TSK 5Móz 32:10 (Votes=9)
Abd 1:10	TSK Mal 1:3 (Votes=3)
Abd 1:18	TSK Mal 1:3 (Votes=2)
Abd 1:21	TSK Mal 1:3 (Votes=2)
ApCsel 12:23	TSK Zsolt 107:40 (Votes=3)
ApCsel 17:30	TSK Jel 20:11 (Votes=9)
ApCsel 17:31	TSK Jel 20:11 (Votes=9)
ApCsel 2:21	TSK Ez 34:12-16 (Votes=1)
ApCsel 2:4	TSK Ézs 45:19 (Votes=2)
ApCsel 2:8	TSK Ézs 45:19 (Votes=2)
ApCsel 3:14	TSK Ézs 29:21 (Votes=3)
ApCsel 8:11	TSK Jel 18:23 (Votes=2)
Bír 10:14	TSK Ézs 44:9 (Votes=3)
Bír 12:6	TSK Ézs 29:21 (Votes=2)
Bír 16:25	TSK Zsolt 80:6-7 (Votes=2)
Bír 1:6	TSK Zsolt 107:40 (Votes=3)
Bír 1:7	TSK Zsolt 107:40 (Votes=3)
Bír 20:38	TSK Jóel 2:30 (Votes=1)
Bír 20:40	TSK Jóel 2:30 (Votes=4)
Bír 3:29	TSK 2Sám 8:2 (Votes=2)
Bír 3:30	TSK 2Sám 8:2 (Votes=2)
Bír 4:21	TSK Zsolt 107:40 (Votes=3)
Csel 1:1	Károli-KH (forrás-vers: Mk 13:25)
Dán 11:19	TSK Jel 18:21 (Votes=3)
Dán 11:38	TSK Ézs 44:9 (Votes=4)
Dán 12:1	TSK Mk 13:24 (Votes=2); TSK Luk 21:25 (Votes=12)
Dán 2:21	Károli-KH (forrás-vers: Ézs 40:23)
Dán 2:35	TSK Jel 20:11 (Votes=11)
Dán 4:16	TSK Jób 12:24 (Votes=2)
Dán 4:32	Károli-KH (forrás-vers: Ézs 40:17)
Dán 4:33	TSK Jób 12:24 (Votes=2); TSK Zsolt 107:40 (Votes=5)
Dán 4:34	TSK Ézs 40:17 (Votes=9)
Dán 4:35	TSK Ézs 40:17 (Votes=9)
Dán 5:18	TSK Zsolt 107:40 (Votes=3)
Dán 5:23	TSK Ézs 44:9 (Votes=4)
Dán 5:30	TSK Zsolt 107:40 (Votes=3)
Dán 5:5	TSK Zsolt 107:40 (Votes=3)
Dán 5:6	TSK Zsolt 107:40 (Votes=3); TSK Náh 2:10 (Votes=5)
Dán 7:10	TSK Mk 13:24 (Votes=2); TSK Ézs 24:23 (Votes=2)
Dán 7:11	TSK Mt 24:29 (Votes=5)
Dán 7:12	TSK Mt 24:29 (Votes=5)
Dán 7:18	TSK Ézs 24:23 (Votes=2)
Dán 7:27	TSK Ézs 24:23 (Votes=2)
Dán 7:9	TSK Ézs 24:23 (Votes=2)
Ef 2:1	TSK Zsolt 104:30 (Votes=4)
Ef 2:4	TSK Zsolt 104:30 (Votes=5)
Ef 2:5	TSK Zsolt 104:30 (Votes=5)
Ef 4:18	TSK Ézs 44:9 (Votes=3)
Ef 5:2	TSK Ján 10:11 (Votes=12)
Ef 5:8	TSK Ézs 44:9 (Votes=4)
Ez 11:10	TSK Mal 1:4 (Votes=2)
Ez 11:17	TSK Ez 34:12-16 (Votes=78)
Ez 13:19	TSK Ézs 29:21 (Votes=2)
Ez 14:15	TSK Jer 9:10 (Votes=3)
Ez 20:22	TSK Sir 2:8 (Votes=2)
Ez 20:41	TSK Ez 34:12-16 (Votes=35)
Ez 22:29	TSK Ézs 59:4 (Votes=3)
Ez 22:31	TSK Ézs 59:4 (Votes=3)
Ez 23:31	TSK 2Kir 21:13 (Votes=3)
Ez 23:34	TSK 2Kir 21:13 (Votes=3)
Ez 24:10	TSK 2Kir 21:13 (Votes=2)
Ez 24:11	TSK 2Kir 21:13 (Votes=2)
Ez 25:13	TSK Mal 1:3 (Votes=2); Károli-KH (forrás-vers: Mal 1:3)
Ez 25:14	TSK Mal 1:3 (Votes=2); TSK Mal 1:4 (Votes=7)
Ez 26:21	TSK Jel 18:21 (Votes=7)
Ez 27:24	TSK Jel 18:23 (Votes=2)
Ez 27:25	TSK Jel 18:23 (Votes=2)
Ez 27:33	TSK Jel 18:23 (Votes=3)
Ez 27:34	TSK Jel 18:23 (Votes=3)
Ez 28:25	TSK Ez 34:12-16 (Votes=83)
Ez 28:26	TSK Ez 34:12-16 (Votes=83)
Ez 29:11	TSK Jer 9:10 (Votes=3)
Ez 30:18	TSK Ez 32:7 (Votes=3)
Ez 30:3	TSK Ez 32:7 (Votes=5); TSK Ez 34:12-16 (Votes=5)
Ez 32:7-8	Károli-KH (forrás-vers: Jóel 3:15); Károli-KH (forrás-vers: Jóel 2:31)
Ez 33:21	Károli-KH (forrás-vers: Ez 34:12-16)
Ez 33:28	TSK Jer 9:10 (Votes=3)
Ez 34:11	TSK Ez 34:12-16 (Votes=10); TSK Ján 10:11 (Votes=16)
Ez 34:15	TSK 1Móz 33:13 (Votes=3)
Ez 34:16	TSK Ján 10:11 (Votes=16); TSK 1Móz 33:13 (Votes=3)
Ez 34:18	TSK Ez 34:12-16 (Votes=20)
Ez 34:23	TSK Ez 34:12-16 (Votes=4); TSK Ján 10:11 (Votes=21); TSK 1Móz 33:13 (Votes=2); TSK 4Móz 11:12 (Votes=2); Károli-KH (forrás-vers: Ján 10:11)
Ez 34:25	TSK Ez 34:12-16 (Votes=20); TSK 1Móz 33:13 (Votes=2)
Ez 34:27	TSK Ez 34:12-16 (Votes=3)
Ez 34:31	Károli-KH (forrás-vers: Ez 34:12-16)
Ez 34:4	TSK Ez 34:12-16 (Votes=11)
Ez 35:3	TSK Mal 1:3 (Votes=3)
Ez 35:4	TSK Mal 1:3 (Votes=3)
Ez 35:7	TSK Mal 1:3 (Votes=1)
Ez 35:8	TSK Mal 1:3 (Votes=1)
Ez 35:9	TSK Mal 1:4 (Votes=5)
Ez 36:10	TSK Ézs 45:18 (Votes=6)
Ez 36:12	TSK Ézs 45:18 (Votes=6)
Ez 36:14	TSK Mal 1:3 (Votes=2)
Ez 36:15	TSK Mal 1:3 (Votes=2)
Ez 36:24	TSK Ez 34:12-16 (Votes=43)
Ez 36:29	TSK Ez 34:12-16 (Votes=3)
Ez 36:3	TSK Mal 1:3 (Votes=2)
Ez 36:30	TSK Ez 34:12-16 (Votes=3)
Ez 36:4	TSK Zsolt 80:6-7 (Votes=2); TSK Mal 1:3 (Votes=2)
Ez 36:7	TSK Mal 1:3 (Votes=2)
Ez 36:9	TSK Mal 1:3 (Votes=2)
Ez 37:21	TSK Ez 34:12-16 (Votes=31)
Ez 37:22	TSK Ez 34:12-16 (Votes=31)
Ez 37:24	TSK Ján 10:11 (Votes=19); Károli-KH (forrás-vers: Ján 10:11)
Ez 37:9	TSK Zsolt 104:30 (Votes=8)
Ez 38:19	TSK Jóel 3:16 (Votes=6)
Ez 38:8	TSK Ez 34:12-16 (Votes=27)
Ez 39:18	TSK Ez 34:12-16 (Votes=6)
Ez 39:27	TSK Ez 34:12-16 (Votes=37)
Ez 3:19	TSK Ézs 49:4 (Votes=3)
Ez 44:5	Károli-KH (forrás-vers: Ez 34:12-16)
Ez 7:10	TSK Ézs 13:22 (Votes=2)
Ez 7:7	TSK Ézs 13:22 (Votes=2)
Ezsd 8:22	TSK Ézs 45:19 (Votes=2)
Ezsdr 1:1	Károli-KH (forrás-vers: Ez 32:8)
Ezsdr 1:1-11	Károli-KH (forrás-vers: Ez 34:12-16)
Fil 2:10	TSK Ézs 49:4 (Votes=2)
Fil 2:9	TSK Ézs 49:4 (Votes=2)
Gal 4:11	TSK Ézs 49:4 (Votes=4)
Gal 4:19	TSK 4Móz 11:12 (Votes=2)
Hab 2:18	TSK 1Sám 12:21 (Votes=6); TSK Ézs 41:29 (Votes=2); TSK Ézs 44:9 (Votes=5)
Hab 2:20	TSK Ézs 44:9 (Votes=5)
Hab 2:3	TSK Ézs 13:22 (Votes=2)
Hab 3:6	TSK Ézs 24:19 (Votes=2)
Hag 2:6	TSK Jóel 3:16 (Votes=8)
Hós 10:1	igealak H1238
Hós 11:10	TSK Jóel 3:16 (Votes=3)
Hós 13:5	TSK 5Móz 32:10 (Votes=9)
Hós 2:18	TSK Ez 34:12-16 (Votes=2)
Hós 4:3	TSK Jer 9:10 (Votes=5)
Hós 7:11	TSK Jób 12:24 (Votes=2)
Hós 8:4	TSK Ézs 44:9 (Votes=4)
Hós 8:6	TSK Ézs 44:9 (Votes=4)
Jak 1:15	TSK Ézs 59:4 (Votes=6)
Jak 1:17	TSK Ézs 40:14 (Votes=1)
Jak 4:13	TSK Mal 1:4 (Votes=1)
Jak 4:16	TSK Mal 1:4 (Votes=1)
Jak 4:3	TSK Ézs 45:19 (Votes=4)
Jak 5:6	TSK Ézs 29:21 (Votes=5)
Jel 10:1	TSK Jel 18:21 (Votes=2)
Jel 10:3	TSK Jel 18:2 (Votes=1)
Jel 11:10	TSK Zsolt 80:6-7 (Votes=2)
Jel 11:13	TSK Jóel 3:16 (Votes=3)
Jel 11:15	TSK Ézs 24:23 (Votes=2)
Jel 11:19	TSK Jóel 3:16 (Votes=3)
Jel 11:7	TSK Ézs 24:10 (Votes=2)
Jel 11:8	TSK Ézs 24:10 (Votes=2)
Jel 12:8	TSK Jel 20:11 (Votes=5); TSK Jel 18:21 (Votes=3)
Jel 12:9	TSK Jel 18:23 (Votes=2)
Jel 13:13	TSK Jel 18:23 (Votes=3)
Jel 13:16	TSK Jel 18:23 (Votes=3)
Jel 14:1	TSK Ézs 24:23 (Votes=2)
Jel 14:15	TSK Jel 18:2 (Votes=1)
Jel 14:8	TSK Jel 18:2 (Votes=10); TSK Ézs 14:23 (Votes=4)
Jel 16:10	TSK Ézs 5:30 (Votes=4)
Jel 16:11	TSK Ézs 5:30 (Votes=4)
Jel 16:13	TSK Jel 18:2 (Votes=2)
Jel 16:18	TSK Jóel 3:16 (Votes=5)
Jel 16:19	TSK Jel 18:2 (Votes=5)
Jel 16:20	TSK Jel 20:11 (Votes=6); TSK Jel 18:21 (Votes=3)
Jel 16:8	TSK ApCsel 2:20 (Votes=4)
Jel 17:18	TSK Jel 18:2 (Votes=4)
Jel 17:2	TSK Jel 18:23 (Votes=3)
Jel 17:5	TSK Ézs 24:10 (Votes=3); TSK Jel 18:2 (Votes=4); TSK Jel 18:23 (Votes=3)
Jel 17:6	TSK Ézs 24:10 (Votes=3)
Jel 18:10	TSK Jel 18:2 (Votes=4); TSK Jel 18:21 (Votes=2)
Jel 18:11	TSK Jel 18:23 (Votes=3)
Jel 18:18	TSK Jóel 2:30 (Votes=1)
Jel 18:19	TSK Jel 18:23 (Votes=3)
Jel 18:22	TSK Jel 18:21 (Votes=3); TSK Jel 18:23 (Votes=3)
Jel 18:3	TSK Jel 18:23 (Votes=11)
Jel 18:9	TSK Jóel 2:30 (Votes=2); TSK Jel 18:23 (Votes=3)
Jel 19:11	TSK Jel 20:11 (Votes=3)
Jel 19:18	TSK Zsolt 107:40 (Votes=3); TSK Ézs 40:23 (Votes=2)
Jel 19:20	TSK Ézs 40:23 (Votes=2)
Jel 19:4	TSK Ézs 24:23 (Votes=2)
Jel 19:6	TSK Ézs 24:23 (Votes=2)
Jel 1:15	TSK Jel 18:2 (Votes=0)
Jel 20:2	TSK Jel 20:11 (Votes=5)
Jel 21:1	TSK Jel 20:11 (Votes=15)
Jel 21:23	TSK Ézs 24:23 (Votes=6)
Jel 21:5	TSK Zsolt 104:30 (Votes=7)
Jel 21:8	TSK Jel 18:23 (Votes=3)
Jel 22:15	TSK Jel 18:23 (Votes=5)
Jel 22:5	TSK Ézs 24:23 (Votes=5); TSK Jel 18:23 (Votes=2)
Jel 3:14	TSK Mt 24:35 (Votes=69)
Jel 4:2	TSK Jel 20:11 (Votes=4)
Jel 5:2	TSK Jel 18:2 (Votes=1); TSK Jel 18:21 (Votes=4)
Jel 6:12	TSK Mt 24:29 (Votes=11); TSK Mk 13:24 (Votes=4); TSK Ézs 13:10 (Votes=4); TSK Jóel 3:15 (Votes=2); TSK Luk 21:25 (Votes=15); TSK Ez 32:7 (Votes=3); TSK Ámós 8:9 (Votes=3); TSK Jóel 2:10 (Votes=2); TSK Jóel 2:30 (Votes=3); TSK Jóel 2:31 (Votes=11); TSK ApCsel 2:20 (Votes=4); TSK Ézs 5:30 (Votes=3); TSK Ézs 24:23 (Votes=3)
Jel 6:13	TSK Mk 13:25 (Votes=2); TSK Jóel 3:15 (Votes=2); TSK Ez 32:7 (Votes=3); TSK Jóel 2:31 (Votes=11)
Jel 6:14	TSK Mk 13:24 (Votes=4); TSK Ézs 13:10 (Votes=4); TSK Luk 21:25 (Votes=15); TSK Mt 24:35 (Votes=66); TSK Ézs 24:23 (Votes=3); TSK Jel 20:11 (Votes=6)
Jel 6:17	TSK Mt 24:29 (Votes=11); TSK Jóel 2:30 (Votes=3)
Jel 7:16	TSK Ez 34:12-16 (Votes=3)
Jel 7:17	TSK Ján 10:11 (Votes=38)
Jel 8:11	TSK Jer 9:15 (Votes=2)
Jel 8:12	TSK Mt 24:29 (Votes=8); TSK Ézs 13:10 (Votes=5); TSK Ez 32:7 (Votes=3); TSK Ámós 8:9 (Votes=3); TSK Jóel 2:10 (Votes=1)
Jer 10:12	TSK Ézs 45:18 (Votes=10)
Jer 10:14	TSK Ézs 44:9 (Votes=6)
Jer 10:15	TSK 1Sám 12:21 (Votes=5); TSK Ézs 44:9 (Votes=6)
Jer 10:16	TSK Ézs 41:29 (Votes=2)
