lxx_fajl	igehely_lxx	igehely_karoli
1-kings	1 Kings 6:1	1Kir 6:3
1-kings	1 Kings 6:2	1Kir 6:4
1-kings	1 Kings 6:3	1Kir 6:5
1-kings	1 Kings 6:4	1Kir 6:6
1-kings	1 Kings 6:5	1Kir 6:7
1-kings	1 Kings 6:6	1Kir 6:8
1-kings	1 Kings 6:7	1Kir 6:9
1-kings	1 Kings 6:8	1Kir 6:10
1-kings	1 Kings 6:9	1Kir 6:11
1-kings	1 Kings 6:10	1Kir 6:12
1-kings	1 Kings 6:15	1Kir 6:17
1-kings	1 Kings 6:16	1Kir 6:18
1-kings	1 Kings 6:17	1Kir 6:19
1-kings	1 Kings 6:19	1Kir 6:21
1-kings	1 Kings 6:20	1Kir 6:22
1-kings	1 Kings 6:21	1Kir 6:23
1-kings	1 Kings 6:22	1Kir 6:24
1-kings	1 Kings 6:23	1Kir 6:25
1-kings	1 Kings 6:24	1Kir 6:26
1-kings	1 Kings 6:25	1Kir 6:27
1-kings	1 Kings 6:26	1Kir 6:28
1-kings	1 Kings 6:27	1Kir 6:29
1-kings	1 Kings 6:28	1Kir 6:30
1-kings	1 Kings 6:29	1Kir 6:31
1-kings	1 Kings 6:30	1Kir 6:32
1-kings	1 Kings 6:31	1Kir 6:33
1-kings	1 Kings 6:32	1Kir 6:34
1-kings	1 Kings 6:33	1Kir 6:35
1-kings	1 Kings 6:34	1Kir 6:36
1-kings	1 Kings 6:35	1Kir 6:37
1-kings	1 Kings 6:36	1Kir 6:38
1-kings	1 Kings 22:1	1Kir 22:2
1-kings	1 Kings 22:2	1Kir 22:3
1-kings	1 Kings 22:3	1Kir 22:4
1-kings	1 Kings 22:4	1Kir 22:5
1-kings	1 Kings 22:5	1Kir 22:6
1-kings	1 Kings 22:6	1Kir 22:7
1-kings	1 Kings 22:7	1Kir 22:8
1-kings	1 Kings 22:8	1Kir 22:9
1-kings	1 Kings 22:9	1Kir 22:10
1-kings	1 Kings 22:10	1Kir 22:11
1-kings	1 Kings 22:11	1Kir 22:12
1-kings	1 Kings 22:12	1Kir 22:13
1-kings	1 Kings 22:13	1Kir 22:14
1-kings	1 Kings 22:14	1Kir 22:15
1-kings	1 Kings 22:15	1Kir 22:16
1-kings	1 Kings 22:16	1Kir 22:17
1-kings	1 Kings 22:17	1Kir 22:18
1-kings	1 Kings 22:18	1Kir 22:19
1-kings	1 Kings 22:19	1Kir 22:20
1-kings	1 Kings 22:20	1Kir 22:21
1-kings	1 Kings 22:21	1Kir 22:22
1-kings	1 Kings 22:22	1Kir 22:23
1-kings	1 Kings 22:23	1Kir 22:24
1-kings	1 Kings 22:24	1Kir 22:25
1-kings	1 Kings 22:25	1Kir 22:26
1-kings	1 Kings 22:26	1Kir 22:27
1-kings	1 Kings 22:27	1Kir 22:28
1-kings	1 Kings 22:28	1Kir 22:29
1-kings	1 Kings 22:29	1Kir 22:30
1-kings	1 Kings 22:30	1Kir 22:31
1-kings	1 Kings 22:31	1Kir 22:32
1-kings	1 Kings 22:32	1Kir 22:33
1-kings	1 Kings 22:33	1Kir 22:34
1-kings	1 Kings 22:34	1Kir 22:35
1-kings	1 Kings 22:35	1Kir 22:36
1-kings	1 Kings 22:36	1Kir 22:37
1-kings	1 Kings 22:37	1Kir 22:38
1-kings	1 Kings 22:38	1Kir 22:39
1-kings	1 Kings 22:39	1Kir 22:40
1-kings	1 Kings 22:40	1Kir 22:41
1-kings	1 Kings 22:41	1Kir 22:42
1-kings	1 Kings 22:42	1Kir 22:43
1-kings	1 Kings 22:44	1Kir 22:44
1-kings	1 Kings 22:45	1Kir 22:45
1-kings	1 Kings 22:46	1Kir 22:46
1-kings	1 Kings 22:51	1Kir 22:51
1-kings	1 Kings 22:52	1Kir 22:52
1-kings	1 Kings 22:53	1Kir 22:53
1-kings	1 Kings 22:54	1Kir 22:54
1-samuel	1 Samuel 17:1	1Sám 17:5
1-samuel	1 Samuel 17:2	1Sám 17:6
1-samuel	1 Samuel 17:3	1Sám 17:7
1-samuel	1 Samuel 17:4	1Sám 17:8
1-samuel	1 Samuel 17:5	1Sám 17:9
1-samuel	1 Samuel 17:6	1Sám 17:10
1-samuel	1 Samuel 17:7	1Sám 17:11
1-samuel	1 Samuel 17:8	1Sám 17:12
1-samuel	1 Samuel 17:9	1Sám 17:13
1-samuel	1 Samuel 17:10	1Sám 17:14
1-samuel	1 Samuel 17:11	1Sám 17:15
1-samuel	1 Samuel 17:32	1Sám 17:36
1-samuel	1 Samuel 17:33	1Sám 17:37
1-samuel	1 Samuel 17:34	1Sám 17:38
1-samuel	1 Samuel 17:35	1Sám 17:39
1-samuel	1 Samuel 17:36	1Sám 17:40
1-samuel	1 Samuel 17:37	1Sám 17:41
1-samuel	1 Samuel 17:38	1Sám 17:42
1-samuel	1 Samuel 17:39	1Sám 17:43
1-samuel	1 Samuel 17:40	1Sám 17:44
1-samuel	1 Samuel 17:42	1Sám 17:46
1-samuel	1 Samuel 17:43	1Sám 17:47
1-samuel	1 Samuel 17:44	1Sám 17:48
1-samuel	1 Samuel 17:45	1Sám 17:49
1-samuel	1 Samuel 17:46	1Sám 17:50
1-samuel	1 Samuel 17:47	1Sám 17:51
1-samuel	1 Samuel 17:48	1Sám 17:52
1-samuel	1 Samuel 17:49	1Sám 17:53
1-samuel	1 Samuel 17:51	1Sám 17:55
1-samuel	1 Samuel 17:52	1Sám 17:56
1-samuel	1 Samuel 17:53	1Sám 17:57
1-samuel	1 Samuel 17:54	1Sám 17:58
1-samuel	1 Samuel 18:6	1Sám 18:7
1-samuel	1 Samuel 18:7	1Sám 18:8
1-samuel	1 Samuel 18:8	1Sám 18:9
1-samuel	1 Samuel 18:9	1Sám 18:10
1-samuel	1 Samuel 18:12	1Sám 18:13
1-samuel	1 Samuel 18:13	1Sám 18:14
1-samuel	1 Samuel 18:14	1Sám 18:15
1-samuel	1 Samuel 18:15	1Sám 18:16
1-samuel	1 Samuel 18:16	1Sám 18:17
1-samuel	1 Samuel 18:20	1Sám 18:21
1-samuel	1 Samuel 18:21	1Sám 18:22
1-samuel	1 Samuel 18:22	1Sám 18:23
1-samuel	1 Samuel 18:23	1Sám 18:24
1-samuel	1 Samuel 18:24	1Sám 18:25
1-samuel	1 Samuel 18:25	1Sám 18:26
1-samuel	1 Samuel 18:26	1Sám 18:27
1-samuel	1 Samuel 18:27	1Sám 18:28
1-samuel	1 Samuel 18:28	1Sám 18:29
1-samuel	1 Samuel 18:29	1Sám 18:30
1-samuel	1 Samuel 20:1	1Sám 20:2
1-samuel	1 Samuel 20:2	1Sám 20:3
1-samuel	1 Samuel 20:3	1Sám 20:4
1-samuel	1 Samuel 20:4	1Sám 20:5
1-samuel	1 Samuel 20:5	1Sám 20:6
1-samuel	1 Samuel 20:6	1Sám 20:7
1-samuel	1 Samuel 20:7	1Sám 20:8
1-samuel	1 Samuel 20:8	1Sám 20:9
1-samuel	1 Samuel 20:9	1Sám 20:10
1-samuel	1 Samuel 20:10	1Sám 20:11
1-samuel	1 Samuel 20:11	1Sám 20:12
1-samuel	1 Samuel 20:12	1Sám 20:13
1-samuel	1 Samuel 20:13	1Sám 20:14
1-samuel	1 Samuel 20:14	1Sám 20:15
1-samuel	1 Samuel 20:15	1Sám 20:16
1-samuel	1 Samuel 20:16	1Sám 20:17
1-samuel	1 Samuel 20:17	1Sám 20:18
1-samuel	1 Samuel 20:18	1Sám 20:19
1-samuel	1 Samuel 20:19	1Sám 20:20
1-samuel	1 Samuel 20:20	1Sám 20:21
1-samuel	1 Samuel 20:21	1Sám 20:22
1-samuel	1 Samuel 20:22	1Sám 20:23
1-samuel	1 Samuel 20:23	1Sám 20:24
1-samuel	1 Samuel 20:24	1Sám 20:25
1-samuel	1 Samuel 20:25	1Sám 20:26
1-samuel	1 Samuel 20:26	1Sám 20:27
1-samuel	1 Samuel 20:27	1Sám 20:28
1-samuel	1 Samuel 20:28	1Sám 20:29
1-samuel	1 Samuel 20:29	1Sám 20:30
1-samuel	1 Samuel 20:30	1Sám 20:31
1-samuel	1 Samuel 20:31	1Sám 20:32
1-samuel	1 Samuel 20:32	1Sám 20:33
1-samuel	1 Samuel 20:33	1Sám 20:34
1-samuel	1 Samuel 20:34	1Sám 20:35
1-samuel	1 Samuel 20:35	1Sám 20:36
1-samuel	1 Samuel 20:36	1Sám 20:37
1-samuel	1 Samuel 20:37	1Sám 20:38
1-samuel	1 Samuel 20:38	1Sám 20:39
1-samuel	1 Samuel 20:39	1Sám 20:40
1-samuel	1 Samuel 20:40	1Sám 20:41
1-samuel	1 Samuel 20:41	1Sám 20:42
1-samuel	1 Samuel 21:1	1Sám 20:43
1-samuel	1 Samuel 23:2	1Sám 23:1
1-samuel	1 Samuel 23:3	1Sám 23:2
1-samuel	1 Samuel 23:4	1Sám 23:3
1-samuel	1 Samuel 23:5	1Sám 23:4
1-samuel	1 Samuel 23:6	1Sám 23:5
1-samuel	1 Samuel 23:7	1Sám 23:6
1-samuel	1 Samuel 23:8	1Sám 23:7
1-samuel	1 Samuel 23:9	1Sám 23:8
1-samuel	1 Samuel 23:10	1Sám 23:9
1-samuel	1 Samuel 23:11	1Sám 23:10
1-samuel	1 Samuel 23:13	1Sám 23:12
1-samuel	1 Samuel 23:14	1Sám 23:13
1-samuel	1 Samuel 23:15	1Sám 23:14
1-samuel	1 Samuel 23:16	1Sám 23:15
