osztaly	igehely_karoli	horgony	allapot
KJV	1Sám 7:17	H3478=Israel	EGYEZIK
KJV	Náh 2:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Náh 2:13		NINCS_ELLENORIZHETO_HORGONY
KJV	1Kir 21:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Kir 21:29		NINCS_ELLENORIZHETO_HORGONY
KJV	2Móz 32:1	H4872=Moses	EGYEZIK
KJV	2Móz 32:35	H175=Aaron	EGYEZIK
KJV	3Móz 16:1	H4872=Moses	EGYEZIK
KJV	3Móz 16:34	H3478=Israel	EGYEZIK
KJV	Zsolt 16:1	H1732=David	EGYEZIK
KJV	Zsolt 16:11		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 6:1	H3389=Jerusalem	EGYEZIK
KJV	Jer 6:30		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 23:1		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 23:21		NINCS_ELLENORIZHETO_HORGONY
KJV	5Móz 20:1		NINCS_ELLENORIZHETO_HORGONY
KJV	5Móz 20:20		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 29:1	H3389=Jerusalem	EGYEZIK
KJV	2Krón 29:36		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 13:1		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 13:22		NINCS_ELLENORIZHETO_HORGONY
KJV	Bír 13:1	H3478=Israel	EGYEZIK
KJV	Bír 13:25		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 43:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 43:13		NINCS_ELLENORIZHETO_HORGONY
KJV	2Sám 21:1	H1732=David	EGYEZIK
KJV	2Sám 21:22	H1732=David	EGYEZIK
MT	Jón 1:1		NINCS_ELLENORIZHETO_HORGONY
MT	Jón 1:16		NINCS_ELLENORIZHETO_HORGONY
MT	1Sám 24:1	H1732=David	EGYEZIK
MT	1Sám 24:23	H1732=David	EGYEZIK
MT	Ézs 56:1		NINCS_ELLENORIZHETO_HORGONY
MT	Ézs 56:12		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 19:1	H1732=David	EGYEZIK
MT	Zsolt 19:15		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 89:1		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 89:53		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 40:1	H1732=David	EGYEZIK
MT	Zsolt 40:18		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 18:1	H1732=David	EGYEZIK
MT	Zsolt 18:51	H1732=David	EGYEZIK
MT	Zsolt 75:1		NINCS_ELLENORIZHETO_HORGONY
MT	Zsolt 75:11		NINCS_ELLENORIZHETO_HORGONY
