karoli_konyv	book_key	fejezet	karoli_max	kjv_max	mt_max	osztaly
Ez	ezekiel	13	23	23	23	KJV
Ez	ezekiel	14	23	23	23	KJV
Ez	ezekiel	15	8	8	8	KJV
Ez	ezekiel	16	63	63	63	KJV
Ez	ezekiel	17	24	24	24	KJV
Ez	ezekiel	18	32	32	32	KJV
Ez	ezekiel	19	14	14	14	KJV
Ez	ezekiel	20	49	49	49	KJV
Ez	ezekiel	21	32	32	32	KJV
Ez	ezekiel	22	31	31	31	KJV
Ez	ezekiel	23	49	49	49	KJV
Ez	ezekiel	24	27	27	27	KJV
Ez	ezekiel	25	17	17	17	KJV
Ez	ezekiel	26	21	21	21	KJV
Ez	ezekiel	27	36	36	36	KJV
Ez	ezekiel	28	26	26	26	KJV
Ez	ezekiel	29	21	21	21	KJV
Ez	ezekiel	30	26	26	26	KJV
Ez	ezekiel	31	18	18	18	KJV
Ez	ezekiel	32	32	32	32	KJV
Ez	ezekiel	33	33	33	33	KJV
Ez	ezekiel	34	31	31	31	KJV
Ez	ezekiel	35	15	15	15	KJV
Ez	ezekiel	36	38	38	38	KJV
Ez	ezekiel	37	28	28	28	KJV
Ez	ezekiel	38	23	23	23	KJV
Ez	ezekiel	39	29	29	29	KJV
Ez	ezekiel	40	49	49	49	KJV
Ez	ezekiel	41	26	26	26	KJV
Ez	ezekiel	42	20	20	20	KJV
Ez	ezekiel	43	27	27	27	KJV
Ez	ezekiel	44	31	31	31	KJV
Ez	ezekiel	45	25	25	25	KJV
Ez	ezekiel	46	24	24	24	KJV
Ez	ezekiel	47	23	23	23	KJV
Ez	ezekiel	48	35	35	35	KJV
Dán	daniel	1	21	21	21	KJV
Dán	daniel	2	49	49	49	KJV
Dán	daniel	3	33	30	30	EGYIK_SEM
Dán	daniel	4	34	37	37	KEZI
Dán	daniel	5	31	31	31	KJV
Dán	daniel	6	28	28	28	KJV
Dán	daniel	7	28	28	28	KJV
Dán	daniel	8	27	27	27	KJV
Dán	daniel	9	27	27	27	KJV
Dán	daniel	10	21	21	21	KJV
Dán	daniel	11	45	45	45	KJV
Dán	daniel	12	13	13	13	KJV
Hós	hosea	1	11	11	11	KJV
Hós	hosea	2	22	23	23	EGYIK_SEM
Hós	hosea	3	5	5	5	KJV
Hós	hosea	4	19	19	19	KJV
Hós	hosea	5	15	15	15	KJV
Hós	hosea	6	11	11	11	KJV
Hós	hosea	7	16	16	16	KJV
Hós	hosea	8	14	14	14	KJV
Hós	hosea	9	17	17	17	KJV
Hós	hosea	10	15	15	15	KJV
Hós	hosea	11	11	12	11	MT
Hós	hosea	12	14	14	15	KJV
Hós	hosea	13	15	16	16	EGYIK_SEM
Hós	hosea	14	10	9	9	EGYIK_SEM
Jóel	joel	1	20	20	20	KJV
Jóel	joel	2	32	32	32	KJV
Jóel	joel	3	21	21	21	KJV
Ámós	amos	1	15	15	15	KJV
Ámós	amos	2	16	16	16	KJV
Ámós	amos	3	15	15	15	KJV
Ámós	amos	4	13	13	13	KJV
Ámós	amos	5	27	27	27	KJV
Ámós	amos	6	14	14	14	KJV
Ámós	amos	7	17	17	17	KJV
Ámós	amos	8	14	14	14	KJV
Ámós	amos	9	15	15	15	KJV
Abd	obadiah	1	21	21	21	KJV
Jón	jonah	1	16	17	16	MT
Jón	jonah	2	11	10	11	MT
Jón	jonah	3	10	10	10	KJV
Jón	jonah	4	11	11	11	KJV
Mik	micah	1	16	16	16	KJV
Mik	micah	2	13	13	13	KJV
Mik	micah	3	12	12	12	KJV
Mik	micah	4	13	13	13	KJV
Mik	micah	5	15	15	15	KJV
Mik	micah	6	16	16	16	KJV
Mik	micah	7	20	20	20	KJV
Náh	nahum	1	15	15	15	KJV
Náh	nahum	2	13	13	13	KJV
Náh	nahum	3	19	19	19	KJV
Hab	habakkuk	1	17	17	17	KJV
Hab	habakkuk	2	20	20	20	KJV
Hab	habakkuk	3	19	19	19	KJV
Sof	zephaniah	1	18	18	18	KJV
Sof	zephaniah	2	15	15	15	KJV
Sof	zephaniah	3	20	20	20	KJV
Hag	haggai	1	15	15	15	KJV
Hag	haggai	2	23	23	23	KJV
Zak	zechariah	1	21	21	21	KJV
Zak	zechariah	2	13	13	13	KJV
Zak	zechariah	3	10	10	10	KJV
Zak	zechariah	4	14	14	14	KJV
Zak	zechariah	5	11	11	11	KJV
Zak	zechariah	6	15	15	15	KJV
Zak	zechariah	7	14	14	14	KJV
Zak	zechariah	8	23	23	23	KJV
Zak	zechariah	9	17	17	17	KJV
Zak	zechariah	10	12	12	12	KJV
Zak	zechariah	11	17	17	17	KJV
Zak	zechariah	12	14	14	14	KJV
Zak	zechariah	13	9	9	9	KJV
Zak	zechariah	14	21	21	21	KJV
Mal	malachi	1	14	14	14	KJV
Mal	malachi	2	17	17	17	KJV
Mal	malachi	3	18	18	18	KJV
Mal	malachi	4	6	6	6	KJV
