sorszam	level	oldal	bbox	hocr_sor	gepi_jelzesek	itelet
85	121	109	272,2441,1909,2485	able particle ἀριε, which in the epic and lyric poets, as a prefix to substantives, strengthens	c5_nem_igazolt, latin_torzkep	
86	121	109	277,2495,1915,2542	the meaning; whence ἀρείων, ἄριστος, ἀρέσκω, to please ; ἀρετή, fitness; ἀρετάω, to be of	c5_nem_igazolt	
87	121	109	275,2551,1910,2598	use, to thrive, in Homer and later writers. Cf. Od. viii. 329, οὐκ ἀρετᾷ κακὰ ἔργα;	(csak görög, jelzés nélkül)	
88	121	109	275,2607,1911,2653	xix. 114, λαοὶ ἀρετῶσι, “ the people prosper, are happy.’—Akin to the Latin ars, artus,	(csak görög, jelzés nélkül)	
89	347	335	666,371,1699,421	᾿Εκκλησία 335 ᾿Επικαλέω	c5_nem_igazolt	
90	347	335	370,475,2002,523	1 Cor. vi. 4, xiv. 4, 5,12; Acts xii. 1, ἐπέβαλεν «Ἡρώδης ὁ βασιλεὺς τὰς χεῖρας κακῶσαί	(csak görög, jelzés nélkül)	
91	347	335	368,531,1998,577	τινας τῶν ἀπὸ τῆς ἐκκὰλ.; ver. 5; Rom. xvi. 23; 1 Cor. x. 32, ἀπρόσκοποι καὶ ᾿Ιουδαίοις	c5_nem_igazolt	
92	347	335	364,588,1996,633	γίνεσθε καὶ “Ελλησιν καὶ τῇ ἐκκλησίᾳ τοῦ θεοῦ; xi. 22, xii. 28, xv. 9; Gal. i 13; Phil	c5_nem_igazolt	
93	347	335	364,643,1997,688	iii. 6; Col. 1. 18,24. It is designated ἐκκλ. τοῦ θεοῦ in 1 Cor. x. 32, xi. 22, xv. 9;	(csak görög, jelzés nélkül)	
94	347	335	365,698,1995,746	Gal. 1. 13; 1 Tim. iii 5,15; cf. Acts xx. 28, ποιμαίνειν τὴν ἐκκλ. τοῦ θεοῦ ἣν περιεποιή-	c5_nem_igazolt	
