sorszam	level	oldal	bbox	hocr_sor	gepi_jelzesek	itelet
159	757	742	300,1788,1934,1833	ἐνεκάλουν αὐτῷ. Rom. viii. 33, ris ἐγκαλέσει κατὰ ἐκλεκτῶν ;= to bring an accusation	latin_torzkep	
160	757	742	302,1846,1938,1891	or charge against. The passive, of the accused person, and indeed ἐγκαλεῖσθαι περί	(csak görög, jelzés nélkül)	
161	757	742	304,1898,1476,1948	τινος, to be accused of a thing, Acts xix. 40, xxiii. 29, xxvi. 2, 7.	(csak görög, jelzés nélkül)	
162	757	742	376,1980,1934,2035	"Ey«*Xn μα, Tos, τό, (a) accusation, complaint, (Ὁ) reproach. Thuc., Dem., Aristotle,	(csak görög, jelzés nélkül)	
163	757	742	381,2173,1935,2223	᾿Ανέγκλητος, ον, irreproachable, one against whom a reproach cannot be raised	c5_nem_igazolt	
164	757	742	308,2232,1935,2277	(also when it is said to be raised), Xen. Hell. vi. 1, 4, οὐκ ἀνέγκλητος ἂν δικαίως εἴης	(csak görög, jelzés nélkül)	
165	757	742	306,2287,1935,2335	ἐν τῇ πατρίδι. 3 Macc. v. 31. In the N. T. only in Paul’s writings, and (a) with	(csak görög, jelzés nélkül)	
166	757	742	306,2344,1935,2387	reference to God’s judgment, 1 Cor. i. 8, ἕως τέλους ἀνεγκλήτους, and Col. 1, 22,	(csak görög, jelzés nélkül)	
167	757	742	307,2399,1935,2445	παραστῆσαι ὑμᾶς ἁγίους καὶ ἀμώμους καὶ ἀνεγκλήτους κατενώπιον αὐτοῦ. (Ὁ) In a	(csak görög, jelzés nélkül)	
168	757	742	306,2509,1525,2559	Tit, i. 6, 7, among the directions for the choice of πρεσβ. or ἐπίσκ.	latin_torzkep	
169	757	742	385,2584,1936,2640	Ἐπικαλέω. Absolutely =to call upon God for oneself, Rom. x. 14, πῶς οὖν	c5_nem_igazolt	
170	757	742	310,2643,1936,2696	ἐπικαλέσονται εἰς ὃν οὐκ ἐπίστευσαν. Acts vii. 59, ἐλιθοβόλουν τὸν Στέφανον	c5_nem_igazolt	
171	929	914	352,1148,513,1188	ἄβυσσος,	(csak görög, jelzés nélkül)	
172	929	914	350,1198,563,1242	ἀγαθοεργέω,	(csak görög, jelzés nélkül)	
173	929	914	350,1246,563,1289	ἀγαθοποιέω,	(csak görög, jelzés nélkül)	
174	929	914	350,1297,560,1338	ἀγαθοποιΐα,	(csak görög, jelzés nélkül)	
175	929	914	350,1344,556,1388	ἀγαθοποιός,	(csak görög, jelzés nélkül)	
176	929	914	351,1394,505,1438	ἀγαθός,.	(csak görög, jelzés nélkül)	
177	929	914	350,1444,557,1487	ἀγαθωσύνη,	(csak görög, jelzés nélkül)	
178	929	914	350,1495,613,1536	ἀγαλλιάομαι,.	(csak görög, jelzés nélkül)	
179	929	914	350,1544,558,1586	ἀγαλλίασις,	(csak görög, jelzés nélkül)	
180	929	914	350,1594,500,1635	ἀγαπάω,	(csak görög, jelzés nélkül)	
181	929	914	350,1706,530,1735	ἀγαπητός,	(csak görög, jelzés nélkül)	
182	929	914	350,1741,500,1785	ἀγγελία,	(csak görög, jelzés nélkül)	
183	929	914	351,1793,512,1834	ἀγγέλλω,	(csak görög, jelzés nélkül)	
184	929	914	350,1889,610,1934	ἀγενεαλόγητος,	(csak görög, jelzés nélkül)	
185	929	914	351,1989,524,2033	ἁγιασμός,	(csak görög, jelzés nélkül)	
186	929	914	350,2040,509,2131	ἅγιος, . ἁγιότης,	(csak görög, jelzés nélkül)	
187	929	914	351,2139,528,2181	ἁγιωσύνη,	(csak görög, jelzés nélkül)	
188	929	914	351,2189,506,2230	ἁγνεία,.	(csak görög, jelzés nélkül)	
189	929	914	351,2238,617,2379	ἁγνίζω,. : ἁγνισμός, : ἀγνοέω,.	(csak görög, jelzés nélkül)	
190	929	914	351,2386,618,2676	ἀγνόημα, . ἄγνοια,. . ἁγνός, . 3 ἁγνότης, ᾿ ἁγνῶς, . ἀγνωσία,	(csak görög, jelzés nélkül)	
191	929	914	914,1000,1087,1042	ἄγνωστος,	(csak görög, jelzés nélkül)	
192	929	914	912,1346,1116,1437	ἀγωνία, . > fi ayovifouat,	latin_torzkep	
193	929	914	913,1444,1063,1488	ἀδελφός,	(csak görög, jelzés nélkül)	
194	929	914	911,1493,1101,1538	ἀδελφότης,	(csak görög, jelzés nélkül)	
195	929	914	913,1592,1107,1636	ἀδιάκριτος,	(csak görög, jelzés nélkül)	
196	929	914	914,1642,1177,1883	> , ἀδικέω,. : > / ἀδίκημα, Ξ ἀδικία, : ἄδικος, - ἀδόκιμος,	(csak görög, jelzés nélkül)	
197	929	914	916,1890,1068,1933	ΝΜ ἄξυμος,.	c5_nem_igazolt	
198	929	914	916,1937,1178,2029	> , ἀθανασία, ᾿ ΝΜ ἄθεος,	c5_nem_igazolt	
199	929	914	917,2039,1070,2128	ἀΐδιος, . αἰδώς,	(csak görög, jelzés nélkül)	
200	929	914	917,2187,1168,2232	αἱματεκχυσία,	(csak görög, jelzés nélkül)	
201	929	914	917,2235,1069,2280	αἵρεσις,.	(csak görög, jelzés nélkül)	
202	929	914	918,2330,1077,2379	ec se αἱρετίζω,	latin_torzkep	
203	929	914	916,2382,1084,2428	αἱρετικός,	(csak görög, jelzés nélkül)	
204	929	914	916,2482,1182,2573	> Ul αἰσθάνομαι, . αἴσθησις,	latin_torzkep	
205	929	914	918,2582,1180,2672	αἰσθητήριον, . αἰτέω,	(csak görög, jelzés nélkül)	
206	929	914	1470,971,1964,1046	PAGE αἴτημα, : 73	(csak görög, jelzés nélkül)	
207	929	914	1471,1049,1962,1090	αἰών, . i 74, 620	(csak görög, jelzés nélkül)	
208	929	914	1471,1098,1963,1140	αἰώνιος,. 79	(csak görög, jelzés nélkül)	
209	929	914	1470,1145,1963,1197	ἀκαθαρσία, 320	(csak görög, jelzés nélkül)	
210	929	914	1470,1194,1962,1246	ἀκαθάρτης, 321	(csak görög, jelzés nélkül)	
211	929	914	1470,1243,1964,1295	ἀκάθαρτος, 820	(csak görög, jelzés nélkül)	
212	929	914	1471,1292,1964,1345	ἀκαίρως, 740	(csak görög, jelzés nélkül)	
213	929	914	1471,1390,1964,1442	ἀκατάγνωστος, 676	(csak görög, jelzés nélkül)	
214	929	914	1471,1445,1964,1485	ἀκαταστασία,. 739	(csak görög, jelzés nélkül)	
215	929	914	1472,1495,1964,1535	ἀκατάστατος,. α: 1399	(csak görög, jelzés nélkül)	
216	929	914	1473,1539,1965,1588	ἀκοή, 82, 623	(csak görög, jelzés nélkül)	
217	929	914	1474,1594,1965,1634	ἀκολουθέω, 80	(csak görög, jelzés nélkül)	
218	929	914	1473,1691,1965,1736	ἀκροβυστία,. 625	(csak görög, jelzés nélkül)	
219	929	914	1474,1736,1967,1785	ἄκων, ΤΑ	c5_nem_igazolt	
220	929	914	1473,1786,1966,1837	ἀλήθεια, 86, 627-631	(csak görög, jelzés nélkül)	
221	929	914	1473,1837,1966,1885	ἀληθεύω, 3 89, 631	(csak görög, jelzés nélkül)	
222	929	914	1475,1890,1966,1931	ἀληθής,. 84, 631	(csak görög, jelzés nélkül)	
223	929	914	1476,1933,1636,1984	ἀληθινός,	(csak görög, jelzés nélkül)	
224	929	914	1476,1989,1966,2028	ἀλλάσσω, . 89	(csak görög, jelzés nélkül)	
225	929	914	1476,2034,1966,2086	ἀλληγορέω, 96	(csak görög, jelzés nélkül)	
226	929	914	1476,2082,1968,2134	ἀλλογενής, 150	(csak görög, jelzés nélkül)	
227	929	914	1476,2132,1967,2182	ἄλλος, 209	(csak görög, jelzés nélkül)	
228	929	914	1477,2185,1968,2230	ἀχλοτριοεπίσκοπος,. 528	c5_nem_igazolt	
229	929	914	1476,2230,1970,2283	ἀλλότριος, 94	(csak görög, jelzés nélkül)	
230	929	914	1478,2283,1968,2329	ἀχλοτριόω, . 2 95	c5_nem_igazolt	
231	929	914	1477,2330,1969,2381	ἁμαρτάνω, 98, 633	(csak görög, jelzés nélkül)	
232	929	914	1477,2383,1970,2427	ἁμάρτημα, 100	(csak görög, jelzés nélkül)	
233	929	914	1477,2428,1970,2480	ἁμαρτία, . 100	(csak görög, jelzés nélkül)	
234	929	914	1478,2476,1971,2530	ἁμαρτωλός, 102, 634	(csak görög, jelzés nélkül)	
235	929	914	1479,2525,1642,2577	ἀμίαντος,	(csak görög, jelzés nélkül)	
236	949	934	1207,1097,1391,1149	ΓΝ αν ‘nds,	c5_nem_igazolt	
237	949	934	1204,1185,1997,1256	νην’ be, 455	(csak görög, jelzés nélkül)	
238	949	934	1759,1262,1997,1297	ὃ . 702	(csak görög, jelzés nélkül)	
239	949	934	1210,1357,1998,1414	ppiyn nie, . ς΄, 368	latin_torzkep	
240	949	934	1329,1423,1997,1464	ς . . 746, 859	(csak görög, jelzés nélkül)	
241	949	934	1211,1743,2000,1816	ἼΩΝ, 618, 715, 142	c5_nem_igazolt	
242	949	934	1212,1813,2000,1867	mS ΤΟΝ, . 397	c5_nem_igazolt, latin_torzkep	
243	949	934	1213,1846,1815,1920	τρὶς, 8ῦ, 88, 627	(csak görög, jelzés nélkül)	
244	949	934	1214,2013,2001,2064	ΟΝ, . 205. 712}	(csak görög, jelzés nélkül)	
245	182	170	698,378,1687,421	Δαίμων 170 Δαίμων	c5_nem_igazolt	
246	182	170	376,480,2007,527	the contrary, the use οἵ δαιμόνιον prevailed probably for the same reason, that strange	latin_torzkep	
247	182	170	377,592,2008,639	δαιμόνια (not δαίμονες) instead of θεοί, the nature of the evil spirits thus designated being	(csak görög, jelzés nélkül)	
248	182	170	376,649,2010,693	obscure to human knowledge, and alien to human life. The LXX. do not use δαίμων ;	heberdetektor, latin_torzkep	
249	182	170	451,745,1421,810	While the LXX. employ δαιμόνιον in a bad sense	(csak görög, jelzés nélkül)	
250	182	170	375,812,2011,858	xxxiv. 14; VW, Isa. xiii 21; Ἢν, Ps. cvi. 37, Deut. xxxii. 15, and even in contrast with	c5_nem_igazolt, latin_torzkep	
251	182	170	377,869,2014,915	θεός, Deut. xxxii. 17, ἔθυσαν δαιμονίοις καὶ οὐ θεῷ, θεοῖς οἷς οὐκ ἤδεισαν, cf. Ps. evi. 37, of	c5_nem_igazolt	
252	182	170	375,925,2013,972	destructive powers, Ps. xci. 6, οὐ φοβηθήσῃ ἀπὸ δαιμονίου μεσημβρίνου, cf. Tob. iii. 8,	c5_nem_igazolt	
253	182	170	375,980,2012,1024	vi. 18, viii. 3, where ἄγγελος stands in contrast with δαιμόνιον, Philo endeavours still to	(csak görög, jelzés nélkül)	
254	182	170	376,1149,2013,1194	Bible, which we find also in Josephus, de Bell. Jud. vii. 6. 3, τὰ yap καλούμενα δαιμόνια	(csak görög, jelzés nélkül)	
255	182	170	375,1202,2013,1249	πονηρῶν ἐστὶν ἀνθρώπων πνεύματα, τοῖς ζῶσιν εἰσδυόμενα καὶ κτείνοντα τοὺς βοηθείας μὴ	c5_nem_igazolt	
256	182	170	376,1261,2014,1305	τυγχάνοντας. We can only regard it as a modification of these views when Justin Martyr	c5_nem_igazolt	
257	182	170	376,1372,2013,1418	according to whom demons are the souls of men who lived in the golden age, now the	latin_torzkep	
258	182	170	377,1537,2017,1582	which held its ground, eg., in δαιμονάω (N. T. δαιμονίζομαι), even when the doctrine of	(csak görög, jelzés nélkül)	
259	182	170	377,1644,2014,1699	δαιμονάω = to be deranged, syn. παραφρονεῖν ; in the Tragedians = to be in the power of a	c5_nem_igazolt	
260	182	170	377,1816,2015,1863	tion was included in the name, the word δαίμων or δαιμόνιον was applied specially to evil	(csak görög, jelzés nélkül)	
261	182	170	378,1856,2014,1920	spirits (Ὁ ‘udp, Ps. Ixxviii. 49; ef. Prov. xvi. 14; 1 Sam. xix. 9 2), πνεύματα ἀκάθαρτα,	(csak görög, jelzés nélkül)	
262	182	170	377,1926,2012,1973	vid. ἀκάθαρτος. Thus δαίμων or δαιμόνιον is parallel to wv. ἀκάθ., Mark v. 12, comp.	(csak görög, jelzés nélkül)	
263	182	170	378,1982,2014,2031	vv. 2, 8, iii. 30, ὅτε ἔλεγον Πνεῦμα ἀκάθαρτον ἔχει ; cf. ver. 22, ἔλεγον ὅτε Βεελζεβοὺλ ἔχει	c5_nem_igazolt	
264	182	170	380,2037,2012,2083	καὶ ὅτι ἐν τῷ ἄρχοντι τῶν δαιμωνίων ἐκβάλλει τὰ δαιμονία. So in Luke viii. 29; Rev.	c5_nem_igazolt	
265	182	170	379,2093,2012,2140	xviii. 2. Cf. Rev. xvi. 13, πνεύματα τρία ἀκάθ., with ver. 14, εἰσὶν γὰρ πνεύματα δαι-	(csak görög, jelzés nélkül)	
266	182	170	378,2142,2014,2200	μονίων. Luke iv. 88, πνεῦμα δαιμονίου ἀκαθάρτου ; viii. 2 -- πνεύματα πονηρά. They	(csak görög, jelzés nélkül)	
267	182	170	379,2259,2015,2308	Mark iii, 22 seq., cf. Matt. xii. 26, 6 σατανᾶς τὸν σατανᾶν ἐκβάλλει, with the ἄρχων	(csak görög, jelzés nélkül)	
268	182	170	380,2314,2014,2363	τῶν δαιμονίων, Matt. ix. 34, xii. 24, Mark iii. 22, Luke xi. 15, and are put in opposi-	(csak görög, jelzés nélkül)	
269	182	170	382,2371,2014,2419	tion in 1 Cor. x. 20, 21, as in Deut. xxxii. 17, with Θεός and κύριος, cf. 1 Tim. iv. 1,	(csak görög, jelzés nélkül)	
270	182	170	380,2425,2012,2474	ἀποστήσονταί τινες τῆς πίστεως προσέχοντες πνεύμασιν πλάνοις καὶ διδασκαλίαις δαι-	(csak görög, jelzés nélkül)	
271	182	170	379,2478,2013,2533	μονίων ; Jas. ii. 19, cal τὸ δαιμόνια πιστεύουσιν, καὶ φρίσσουσιν; in connection with	latin_torzkep	
272	182	170	379,2538,2012,2584	idolatry (cf. Deut. xxxii. 17; Ps. evi. 37), Rev. ix. 20, ἵνα μὴ προσκυνήσουσιν τὰ δαιμόνια	latin_torzkep	
273	182	170	380,2591,2011,2639	καὶ τὰ εἴδωλα τὰ χρυσᾶ x.7.r., where the spiritual background of idolatry and a more	latin_torzkep	
274	80	68	775,353,1718,411	"Adns 68 “4δης	(csak görög, jelzés nélkül)	
275	80	68	429,575,2076,627	Zeitschrift fir die Kunde des Morgenlandes, 1839, 462), to be derived from “the funda-	latin_torzkep	
276	80	68	431,624,2077,679	mental idea of the entire family of Sxvi Gri, ndwi, Sde’, Seis, etc., whose germ is δ, signifying	latin_torzkep	
277	80	68	432,739,2081,797	tions, viz. that of sinking down and that of going asunder (as in χάω, hio, yadda, etc.) ;	latin_torzkep	
278	80	68	433,912,1928,962	space, as in the word hell (Germ. Holle), and in χάσμα, χάος (also used for hell).”	latin_torzkep	
279	80	68	438,1359,2086,1404	of God is revealed, Deut. xxxii. 22, Hence the glimpses of light caught by the righteous,	latin_torzkep	
280	80	68	439,1413,2084,1460	as in Ps. xlix. 15, 16. See Stier on Luke xvi. 23, “In borrowing the word ays from	latin_torzkep	
281	80	68	443,1754,2089,1799	even the variety of the mythical inventions has not obliterated the essential unity, even in	latin_torzkep	
282	80	68	445,1979,2088,2023	chaste sobriety, due to the earnest sternness of monotheism” (Giider in Herzog’s Encyki.).	latin_torzkep	
283	80	68	447,2144,2092,2192	result of their life. Hence ὁ θάνατος καὶ ὁ ans, Rev. xx. 13,14; cf. vi. 8,...0 θάνατος,	(csak görög, jelzés nélkül)	
284	80	68	448,2203,2092,2249	καὶ ὁ ἅδης ἀκολουθεῖ per’ αὐτοῦ, that is, Hades in the train of death, as its consequence.	c5_nem_igazolt	
285	80	68	450,2258,2094,2305	Christ as the Redeemer, ἔχεν τὰς κλεῖς τοῦ θανάτου καὶ τοῦ adov, Rev. i. 18. The	(csak görög, jelzés nélkül)	
286	80	68	449,2311,2093,2365	redeemed say, ποῦ σου, θάνατε, τὸ κέντρον ; ποῦ σου, ἅδη (al. θάνατε), τὸ νῖκος; 1 Cor.	c5_nem_igazolt	
287	80	68	450,2370,2094,2415	xv. 55, thus celebrating the redemption realized in Christ, vid. Acts ii. 27, 81, οὐκ ἐγκατε-	c5_nem_igazolt, latin_torzkep	
288	80	68	449,2426,2096,2472	λείφθη εἰς ἄδην, from Ps. xvi. 8-11. When, therefore, it is said to Capernaum, ἡ ἕως	(csak görög, jelzés nélkül)	
289	80	68	452,2482,2096,2528	οὐρανοῦ ὑψώθης, ἕως ἅδου καταβήσῃ, or καταβιβασθήσῃ, Matt. xi. 23, Luke x. 15, it is	c5_nem_igazolt	
290	80	68	454,2648,2098,2698	brought to shame. The promise, on the contrary, in Matt. xvi. 18, οἰκοδομήσω μου τὴν	(csak görög, jelzés nélkül)	
291	275	263	635,376,1636,429	᾿Εριθεία 268 Ἔρχομαι	c5_nem_igazolt	
292	275	263	310,480,1947,529	ambitious litigiousness. In Ignat. ad Philadelph. 8, παρακαλῶ δὲ ὑμᾶς μηδὲν κατ᾽ ἐριθείαν	latin_torzkep	
293	275	263	310,537,1944,587	πράσσειν, ἀλλὰ κατὰ χριστομαθίαν, it signifies clearly, according to the connection, 8ε7-	c5_nem_igazolt	
294	275	263	310,591,1946,641	willed positiveness. ᾿Ἐριθευτικός in Eustath, Opuse. lxviii. 53, βλάσφημος ἄρα ἐστὶ καὶ	c5_nem_igazolt	
295	275	263	313,647,1946,697	ἐριθευτικός καὶ φιλόνεικος. Instructive is also Polyb. x. 25. 9, οἱ δὲ, τῆς στρατηγίας	c5_nem_igazolt, latin_torzkep	
296	275	263	312,702,1945,752	ὀρεγόμενοι, διὰ ταύτης τῆς ἀρχῆς ἐξεριθεύονται τοὺς νέους καὶ παρασκευάξουσιν εὔνους	c5_nem_igazolt	
297	275	263	312,760,1946,806	συναγωνιστὰς εἰς τὸ μέλλον -- ἴο manage the youth for self. The explanation, therefore,	c5_nem_igazolt, latin_torzkep	
298	275	263	312,814,1946,860	of Suidas is correct, that ἐριθεύεσθαι is eventually = δεκάξεσθαι, to let oneself be bribed ;	c5_nem_igazolt, latin_torzkep	
299	275	263	313,925,1948,975	maintained, ἡ ἐριθεία εἴρηται ἀπὸ τῆς τοῦ μισθοῦ δόσεως. The original meaning is	(csak görög, jelzés nélkül)	
300	275	263	313,972,1948,1035	perhaps the opposite —Suidas adduces κατεριθεύομαι τὸ ἐναντίον to maintain the opposite.	c5_nem_igazolt	
301	275	263	314,1039,1949,1086	Thus we may perhaps describe the general meaning of ἐριθεία, selfishness, self-willedness.	(csak görög, jelzés nélkül)	
302	275	263	321,1208,1949,1253	belong to classical Greek, such a meaning could be only very seldom proved.) In the N. Τὶ	c5_nem_igazolt	
303	275	263	319,1261,1951,1308	Phil. i. 17, of δὲ ἐξ ἐριθείας τὸν Χριστὸν καταγγέλλουσιν οὐχ ἁγνῶς, οἰόμενοι θλῖψιν	(csak görög, jelzés nélkül)	
304	275	263	320,1317,1951,1365	ἐγείρειν τοῖς δεσμοῖς μου; Phil. ii. 3, μηδὲν κατὰ ἐριθείαν μηδὲ κατὰ κενοδόξιαν ἀλλὰ	c5_nem_igazolt	
305	275	263	321,1372,1951,1419	τῇ ταπεινοφροσύνῃ ἀλλήλους ἡγούμενοι ὑπερέχοντας ἑαυτῶν, μὴ τὰ ἑαυτῶν ἕκαστοι	(csak görög, jelzés nélkül)	
306	275	263	323,1430,1951,1472	σκοποῦντες. This reference to self-seeking, self-willedness, as in Ign. ἐ,6,, lies here and every-	(csak görög, jelzés nélkül)	
307	275	263	324,1595,1953,1642	prominence to, and to characterize a special feature; Jas. iii, 14, εἰ δὲ ζῆλον πικρὸν ἔχετε	(csak görög, jelzés nélkül)	
308	275	263	324,1646,1959,1703	καὶ ἐριθείαν ἐν τῇ καρδίᾳ ὑμῶν, μὴ κατακαυχᾶσθε καὶ ψεύδεσθε κατὰ τῆς ἀληθείας ;	(csak görög, jelzés nélkül)	
309	275	263	325,1707,1954,1754	ver. 16, ὅπου γὰρ ζῆλος καὶ ἐριθεία, ἐκεὶ ἀκαταστασία καὶ πᾶν φαῦλον πρᾶγμα.---Ἐ756-	c5_nem_igazolt	
310	275	263	326,1762,1955,1808	where still, Rom. ii. 8, τοῖς δὲ ἐξ ἐριθείας καὶ ἀπειθοῦσιν μὲν τῇ ἀληθείᾳ, where the	(csak görög, jelzés nélkül)	
311	275	263	327,1814,1956,1870	meaning litigiousness certainly gives no admissible sense ; Gal. v. 20, ἔρις, ζῆλος, θυμοί,	latin_torzkep	
312	275	263	328,1874,1672,1922	ἐριθεῖαι w.t.r.; 2 Cor. xii. 20, ἔρις, ζῆλος, θυμοί, ἐριθεῖαι, καταλαλίαι K.7.d.	c5_nem_igazolt	
313	275	263	400,1985,1958,2031	"Epxopast, to come, the opposite of ὑπάγειν, Mark vi. 31, John viii 14. For	(csak görög, jelzés nélkül)	
314	275	263	331,2039,1959,2089	the grammatical forms, cf. Winer, ὃ xv.; Kriiger, § xl. Among the specialities of N. T.	latin_torzkep	
315	275	263	410,2150,1960,2197	(1) Ἔρχεσθαι ἐν, answering to the Hebrew 3 813, to denote a special mode of coming,	c5_nem_igazolt	
316	275	263	335,2261,1963,2307	the Attic use of ἐν in verbs of motion. So in Luke ii. 27, ἦλθεν ἐν τῷ πνεύματι eis τὸ	(csak görög, jelzés nélkül)	
317	275	263	338,2315,1964,2363	ἱερόν; cf. 1 Kings xiii. 1, ἄνθρωπος τοῦ θεοῦ ἐξ ᾿Ιούδα παρεγένετο ἐν λόγῳ κυρίου eis B.;	c5_nem_igazolt	
318	275	263	337,2370,1964,2415	Ps. lxvi. 13, εἰσελεύσομαι εἰς τὸν οἶκόν σου ἐν ὁλοκαυτώμασιν ; Ps. lxxi. 16; Lev. xvi. 3;	(csak görög, jelzés nélkül)	
319	275	263	339,2426,1964,2473	Heb. ix. 25, ὁ ἀρχιερεὺς εἰσέρχεται εἰς τὰ ἅγια κατ᾽ ἐνιαυτὸν ἐν αἵματι ἀλλοτρίῳ. This	(csak görög, jelzés nélkül)	
320	275	263	339,2484,1963,2530	is an expression or representation familiar to us only in such connections as ἐν χαρᾷ épy.,	(csak görög, jelzés nélkül)	
321	275	263	341,2537,1964,2584	Rom. xv. 32; ἐν λύπῃ, 2 Cor. ii. 1. The subject characterizes itself in the given manner.	(csak görög, jelzés nélkül)	
322	275	263	338,2595,1966,2640	ἜἜρχεσθαι denotes an appearing or self-manifestation, and by ἐν the distinctive form or	c5_nem_igazolt	
323	275	263	343,2651,1967,2697	manner of the manifestation is specified; Matt. xxi. 32, ἦλθεν yap ᾿Ιωάννης πρὸς ὑμᾶς	(csak görög, jelzés nélkül)	
324	370	358	682,400,1670,455	Κλῆρος 358 Κληρόω	c5_nem_igazolt	
325	370	358	347,505,1983,550	of the measured out portions of land.”) Josh. xiii. 23; Deut. iv. 38 (cf. κληρονομία ἐν	(csak görög, jelzés nélkül)	
326	370	358	347,546,1983,611	τοῖς ἡγιασμένοις) ; Num. xxxiii, 54, 9723 yy OF-MIN. In this sense, perhaps, 1 Pet.	latin_torzkep	
327	370	358	348,617,1982,662	v. 3, κατακυριεύοντες τῶν κλήρων, cf. with ver. 2, is to be explained agreeably to Deut. iv. 20,	(csak görög, jelzés nélkül)	
328	370	358	349,727,1986,774	the churches assigned to them; cf. Theophanes, Hom. 12 in Suic. ii, 111, ὦ κλῆρος ἐμός,	(csak görög, jelzés nélkül)	
329	370	358	350,785,1986,829	addressed to his hearers. This view is favoured by the change of the reading into τοῦ	(csak görög, jelzés nélkül)	
330	370	358	350,839,1986,885	κλήρου, which was perhaps made in favour of the first explanation. For the plural is	(csak görög, jelzés nélkül)	
331	370	358	350,952,1986,997	plural in post-apostolic times designated the particular churches assigned to the pres-	latin_torzkep	
332	370	358	427,1114,1988,1160	Κληρόω, to cast lots, to determine by lot, ic. to determine something, or concerning	c5_nem_igazolt	
333	370	358	349,1171,1988,1216	some one, τινὰ, ἐπὶ τινί, or also with two accusatives, or with following infinitive; the	(csak görög, jelzés nélkül)	
334	370	358	351,1282,1989,1328	eg. to be chosen by lot, οἱ κεκληρωμένοι, those chosen by lot; 1 Sam. xiv. 41, κληροῦται	(csak görög, jelzés nélkül)	
335	370	358	353,1338,1998,1384	᾿Ιωνάθαν καὶ Σαούλ, Jonathan and Saul were hit upon by lot ; ver. 42, κατακληροῦται ᾽Ιων."	c5_nem_igazolt, latin_torzkep	
336	370	358	351,1387,1990,1444	=12, in the Niphal; whereas Eur. Hee. 102, ἐκληρώθην δούλη, to be appointed a slave by	(csak görög, jelzés nélkül)	
337	370	358	352,1450,1990,1496	lot. In the N. T. only in Eph. i. 11, ἐν ᾧ (sc. τῷ Χριστῷ) καὶ ἐκληρώθημεν, προορισθέντες	(csak görög, jelzés nélkül)	
338	370	358	352,1505,1990,1550	ἐὸν εἰς τὸ εἶναι x.7.d., “in whom the lot has fallen upon us also, as foreordained thereto, . .. to	latin_torzkep	
339	370	358	352,1561,1989,1606	be,” ete. By the combination of the ἐκληρώθ. with eis τὸ εἶναι, which Hofmann also	(csak görög, jelzés nélkül)	
340	370	358	353,1673,1989,1720	ἐκληρώθ. and mpoop. require supplementing. If eis τὸ εἶναι be taken with προορ., the great	(csak görög, jelzés nélkül)	
341	370	358	353,1731,1989,1775	difficulty arises that (as was done in edition 1) ἐκληρώθ. has to be taken as an independent	(csak görög, jelzés nélkül)	
342	370	358	353,1843,1991,1889	to be supplemented with κλῆρος θεοῦ, after Deut. iv. 20, Esth. iv. additam., ἱλάσθητι τῷ	latin_torzkep	
343	370	358	355,1890,1991,1943	κλήρῳ σου; Zech. ii. 16, Sn, with God as subject, κατακληρονομήσει κύριος τὸν ᾿Ιούδαν	c5_nem_igazolt	
344	370	358	354,1952,1991,1999	... καὶ αἱρετιεῖ ἔτι τὴν ᾿Ιερουσαλήμ. Thus Erasmus, in sortem asciti; Bengel, eramus	c5_nem_igazolt, latin_torzkep	
345	370	358	355,2004,1990,2054	facti noma, hereditas Domini. Tt is incorrect to argue that the context treats of Israel,	latin_torzkep	
346	370	358	354,2120,1991,2165	ἐν ᾧ καὶ ἐκληρ. was to refer to Israel or to Christians of Israel, it must at least have	(csak görög, jelzés nélkül)	
347	370	358	353,2175,1993,2222	been said, ἐν ᾧ καὶ ἡμεῖς of προηλπικότες x.7.X., quite apart from the question whether	(csak görög, jelzés nélkül)	
348	370	358	353,2290,1991,2335	separate the subject of ἐκληρώθημεν from the ἡμεῖς of the foregoing sentences. Against	(csak görög, jelzés nélkül)	
349	370	358	352,2342,1991,2396	the explanation advanced by Harless, ἐκληρώθημεν -- ἔδωκε ἡμῖν κλῆρον, after Grotius,	(csak görög, jelzés nélkül)	
350	370	358	353,2403,1991,2447	κληροῦν, dicitur qui alteri dat possessionem, κληροῦσθαι, qui eam accipit, two considerations	c5_nem_igazolt, latin_torzkep	
351	370	358	353,2567,1992,2615	middle κληροῦσθαι, which signifies to receive something by lot, eg. Philo, Vit. Mos. 3, τὸν	c5_nem_igazolt	
352	370	358	354,2620,1990,2674	yap μέσον ταῦτα τοῦ κόσμου τόπον κεκλήρωται ; Lucian, De Luct. 2, κεκληρῶσθαι yap	(csak görög, jelzés nélkül)	
353	370	358	354,2680,1990,2729	φησι τὸν Πλούτωνα ἄρχειν τῶν ἀποθανόντων; and in this case the accusative of the	c5_nem_igazolt	
354	531	519	683,372,1624,439	Σάρξ 519 Σάρξ	c5_nem_igazolt	
355	531	519	336,490,1964,536	ἔσχηκεν ἄνεσιν ἡ σὰρξ ἡμῶν, comp. ii. 13, οὐκ ἔσχηκα ἄνεσιν τῷ πνεύματί μου, and	(csak görög, jelzés nélkül)	
356	531	519	336,546,1965,646	other places, is not to be classed here, but under (11... Compare there ψυχὴ ... σάρξ.	(csak görög, jelzés nélkül)	
357	531	519	410,657,1965,699	As σάρξ is the outward form of human nature——the medium of that nature,—the word	(csak görög, jelzés nélkül)	
